"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,timestamp
Myanmar,8,,,,,8,,0.1,,Mar 22,20200329000131
Namibia,8,,,,2,6,,3,,Mar 13,20200329000131
Seychelles,8,+1,,,,8,,81,,Mar 13,20200329000131
Suriname,8,,,,,8,,14,,Mar 12,20200329000131
Gabon,7,,1,,,6,,3,0.4,Mar 12,20200329000131
Zimbabwe,7,+2,1,,,6,,0.5,0.07,Mar 19,20200329000131
Antigua and Barbuda,7,,,,,7,,71,,Mar 12,20200329000131
Grenada,7,,,,,7,,62,,Mar 21,20200329000131
Benin,6,,,,,6,,0.5,,Mar 15,20200329000131
Eritrea,6,,,,,6,,2,,Mar 20,20200329000131
Vatican City,6,+2,,,,6,,"7,491",,Mar 05,20200329000131
Cabo Verde,5,,1,,,4,,9,2,Mar 19,20200329000131
Sudan,5,+2,1,,,4,,0.1,0.02,Mar 12,20200329000131
Nepal,5,+1,,,1,4,,0.2,,Jan 23,20200329000131
Angola,5,+1,,,,5,,0.2,,Mar 19,20200329000131
Fiji,5,,,,,5,,6,,Mar 18,20200329000131
Mauritania,5,+2,,,,5,,1,,Mar 12,20200329000131
Montserrat,5,,,,,5,,"1,002",,Mar 17,20200329000131
St. Barth,5,,,,,5,,506,,Feb 29,20200329000131
Syria,5,,,,,5,,0.3,,Mar 21,20200329000131
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18,20200329000131
Congo,4,,,,,4,,0.7,,Mar 14,20200329000131
Turks and Caicos,4,+2,,,,4,,103,,Mar 22,20200329000131
Gambia,3,,1,,,2,,1,0.4,Mar 16,20200329000131
Bhutan,3,,,,,3,,4,,Mar 05,20200329000131
CAR,3,,,,,3,,0.6,,Mar 14,20200329000131
Chad,3,,,,,3,,0.2,,Mar 18,20200329000131
Liberia,3,,,,,3,,0.6,,Mar 15,20200329000131
Libya,3,+2,,,,3,,0.4,,Mar 23,20200329000131
Saint Lucia,3,,,,1,2,,16,,Mar 12,20200329000131
Sint Maarten,3,,,,,3,,70,,Mar 17,20200329000131
Somalia,3,,,,,3,,0.2,,Mar 15,20200329000131
MS Zaandam,2,,,,,2,,,,Mar 26,20200329000131
Anguilla,2,,,,,2,,133,,Mar 25,20200329000131
Belize,2,,,,,2,,5,,Mar 22,20200329000131
British Virgin Islands,2,,,,,2,,66,,Mar 24,20200329000131
Guinea-Bissau,2,,,,,2,,1,,Mar 24,20200329000131
Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24,20200329000131
Papua New Guinea,1,,,,,1,,0.1,,Mar 19,20200329000131
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10,20200329000131
Timor-Leste,1,,,,,1,,0.8,,Mar 20,20200329000131
China,"81,394",,"3,295",,"74,971","3,128",886,57,2,Jan 10,20200329000131
Total:,"662,598","+66,232","30,840","+3,496","141,468","490,290","25,544",85.0,4.0,,20200329000131
