"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,967",,"3,248",,"71,150","6,569","2,136",56,20200321000006
Italy,"47,021","+5,986","4,032",+627,"5,129","37,860","2,655",778,20200321000006
Spain,"21,510","+3,433","1,093",+262,"1,588","18,829",939,460,20200321000006
Germany,"19,848","+4,528",68,+24,180,"19,600",2,237,20200321000006
Iran,"19,644","+1,237","1,433",+149,"6,745","11,466",,234,20200321000006
USA,"19,393","+5,604",256,+49,147,"18,990",64,59,20200321000006
France,"12,612","+1,617",450,+78,"1,587","10,575","1,297",193,20200321000006
S. Korea,"8,652",+87,94,+3,"2,233","6,325",59,169,20200321000006
Switzerland,"5,407","+1,185",56,+13,15,"5,336",,625,20200321000006
UK,"3,983",+714,177,+33,65,"3,741",20,59,20200321000006
Netherlands,"2,994",+534,106,+30,2,"2,886",210,175,20200321000006
Austria,"2,649",+470,6,,9,"2,634",14,294,20200321000006
Belgium,"2,257",+462,37,+16,204,"2,016",164,195,20200321000006
Norway,"1,952",+162,7,,1,"1,944",27,360,20200321000006
Sweden,"1,639",+200,16,+5,16,"1,607",21,162,20200321000006
Denmark,"1,255",+104,9,+3,1,"1,245",37,217,20200321000006
Canada,"1,077",+204,12,,14,"1,051",1,29,20200321000006
Malaysia,"1,030",+130,3,+1,87,940,26,32,20200321000006
Portugal,"1,020",+234,6,+2,5,"1,009",26,100,20200321000006
Brazil,970,+330,11,+4,2,957,18,5,20200321000006
Japan,963,+20,33,,215,715,50,8,20200321000006
Australia,877,+121,7,,46,824,2,34,20200321000006
Czechia,833,+139,,,4,829,6,78,20200321000006
Diamond Princess,712,,8,+1,527,177,14,,20200321000006
Israel,705,+28,1,+1,15,689,10,81,20200321000006
Ireland,683,+126,3,,5,675,6,138,20200321000006
Turkey,670,+311,9,+5,,661,,8,20200321000006
Pakistan,501,+47,3,+1,13,485,,2,20200321000006
Greece,495,+31,10,+4,19,466,20,47,20200321000006
Luxembourg,484,+149,5,+1,6,473,1,773,20200321000006
Qatar,470,+10,,,10,460,6,163,20200321000006
Finland,450,+50,,,10,440,2,81,20200321000006
Chile,434,+92,,,6,428,7,23,20200321000006
Ecuador,426,+166,7,+4,3,416,2,24,20200321000006
Poland,425,+70,5,,13,407,3,11,20200321000006
Iceland,409,+79,,,5,404,1,"1,199",20200321000006
Singapore,385,+40,,,131,254,14,66,20200321000006
Indonesia,369,+60,32,+7,17,320,,1,20200321000006
Saudi Arabia,344,+70,,,8,336,,10,20200321000006
Slovenia,341,+22,1,,,340,9,164,20200321000006
Thailand,322,+50,1,,42,279,1,5,20200321000006
Romania,308,+31,,,31,277,11,16,20200321000006
Bahrain,298,+19,1,,125,172,4,175,20200321000006
Egypt,285,+29,8,+1,42,235,,3,20200321000006
Estonia,283,+16,,,1,282,1,213,20200321000006
Peru,263,+29,4,+3,1,258,5,8,20200321000006
Hong Kong,256,+48,4,,98,154,4,34,20200321000006
Russia,253,+54,1,,12,240,,2,20200321000006
India,249,+55,5,+1,23,221,,0.2,20200321000006
Philippines,230,+13,18,+1,8,204,1,2,20200321000006
Iraq,208,+16,17,+4,49,142,,5,20200321000006
South Africa,202,+52,,,,202,,3,20200321000006
Panama,200,+63,1,,1,198,7,46,20200321000006
Lebanon,177,+20,4,,4,169,3,26,20200321000006
Mexico,164,+46,1,,4,159,1,1,20200321000006
Kuwait,159,+11,,,22,137,5,37,20200321000006
Argentina,158,+30,3,,3,152,,3,20200321000006
Colombia,145,+37,,,1,144,,3,20200321000006
San Marino,144,,14,,4,126,12,"4,244",20200321000006
UAE,140,,2,+2,31,107,2,14,20200321000006
Slovakia,137,+13,,,,137,2,25,20200321000006
Armenia,136,+14,,,1,135,2,46,20200321000006
Taiwan,135,+27,2,+1,28,105,,6,20200321000006
Serbia,135,+32,1,+1,2,132,4,15,20200321000006
Croatia,130,+20,1,,5,124,,32,20200321000006
Bulgaria,127,+20,3,,1,123,,18,20200321000006
Costa Rica,113,+26,2,+1,2,109,2,22,20200321000006
Latvia,111,+25,,,1,110,,59,20200321000006
Uruguay,110,+31,,,,110,,32,20200321000006
Algeria,94,+4,11,+2,32,51,,2,20200321000006
Vietnam,91,+6,,,17,74,,0.9,20200321000006
Bosnia and Herzegovina,89,+25,,,2,87,1,27,20200321000006
Hungary,85,+12,4,+3,7,74,6,9,20200321000006
Jordan,85,+16,,,1,84,,8,20200321000006
Faeroe Islands,80,+8,,,3,77,,"1,637",20200321000006
Morocco,79,+16,3,+1,2,74,1,2,20200321000006
Brunei,78,+5,,,1,77,2,178,20200321000006
North Macedonia,76,+26,,,1,75,1,36,20200321000006
Andorra,75,+1,,,1,74,2,971,20200321000006
Cyprus,75,+8,,,,75,1,62,20200321000006
Sri Lanka,73,+13,,,3,70,,3,20200321000006
Dominican Republic,72,+38,2,,,70,,7,20200321000006
Albania,70,+6,2,,2,66,2,24,20200321000006
Belarus,69,+18,,,15,54,,7,20200321000006
Moldova,66,+17,1,,1,64,3,16,20200321000006
Venezuela,65,+23,,,1,64,,2,20200321000006
Malta,64,+11,,,2,62,1,145,20200321000006
