"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"80,576",+24,"3,042",,"23,605","53,929","5,737",20200307001626
S. Korea,"6,593",+309,43,+1,"6,415",135,52,20200307001626
Iran,"4,747","+1,234",124,+16,"3,710",913,,20200307001626
Italy,"4,636",+778,197,+49,"3,916",523,462,20200307001626
Diamond Princess,696,,6,,478,212,34,20200307001626
Germany,670,+125,,,653,17,8,20200307001626
France,653,+230,9,+2,632,12,23,20200307001626
Japan,420,+56,6,,368,46,34,20200307001626
Spain,401,+119,8,+5,387,6,9,20200307001626
USA,316,+95,15,+3,286,15,8,20200307001626
Switzerland,214,+94,1,,210,3,,20200307001626
UK,164,+48,2,+1,144,18,,20200307001626
Sweden,137,+43,,,136,1,,20200307001626
Singapore,130,+13,,,48,82,9,20200307001626
Netherlands,128,+46,1,+1,127,,1,20200307001626
Norway,127,+33,,,126,1,,20200307001626
Belgium,109,+59,,,108,1,1,20200307001626
Hong Kong,108,+3,2,,55,51,6,20200307001626
Malaysia,83,+28,,,60,23,,20200307001626
Austria,66,+23,,,64,2,1,20200307001626
Australia,63,+3,2,,39,22,1,20200307001626
Bahrain,60,+5,,,56,4,,20200307001626
Kuwait,58,,,,57,1,,20200307001626
Canada,52,+15,,,44,8,1,20200307001626
Iraq,48,+8,4,+1,43,1,,20200307001626
Thailand,48,+1,1,,16,31,1,20200307001626
Taiwan,45,+1,1,,29,15,,20200307001626
Greece,45,+14,,,45,,1,20200307001626
UAE,45,+17,,,40,5,2,20200307001626
Iceland,43,+8,,,43,,,20200307001626
India,31,+1,,,28,3,,20200307001626
San Marino,23,+2,1,,22,,4,20200307001626
Denmark,23,+3,,,22,1,,20200307001626
Lebanon,22,+6,,,22,,1,20200307001626
Israel,21,+4,,,19,2,,20200307001626
Czechia,19,+7,,,19,,,20200307001626
Ireland,18,+5,,,18,,,20200307001626
Algeria,17,,,,17,,,20200307001626
Vietnam,17,+1,,,1,16,,20200307001626
Oman,16,,,,14,2,,20200307001626
Palestine,16,+9,,,16,,,20200307001626
Egypt,15,+12,,,14,1,,20200307001626
Finland,15,+3,,,14,1,,20200307001626
Brazil,13,+5,,,13,,,20200307001626
Ecuador,13,,,,13,,1,20200307001626
Portugal,13,+4,,,13,,,20200307001626
Russia,13,+6,,,11,2,,20200307001626
Croatia,11,+1,,,11,,,20200307001626
Qatar,11,+3,,,11,,,20200307001626
Macao,10,,,,1,9,,20200307001626
Estonia,10,+5,,,10,,,20200307001626
Georgia,9,,,,9,,1,20200307001626
Romania,9,+3,,,6,3,,20200307001626
Argentina,8,+6,,,8,,,20200307001626
Slovenia,8,+2,,,8,,,20200307001626
Azerbaijan,6,,,,6,,,20200307001626
Belarus,6,,,,6,,,20200307001626
Mexico,6,,,,5,1,,20200307001626
Pakistan,6,+1,,,5,1,,20200307001626
Philippines,5,+2,1,,2,2,1,20200307001626
Saudi Arabia,5,,,,4,1,,20200307001626
Chile,5,+1,,,5,,,20200307001626
Poland,5,+4,,,5,,,20200307001626
Indonesia,4,+2,,,4,,,20200307001626
New Zealand,4,,,,4,,,20200307001626
Senegal,4,,,,4,,,20200307001626
Hungary,4,,,,4,,,20200307001626
Luxembourg,3,+1,,,3,,,20200307001626
North Macedonia,3,+2,,,3,,,20200307001626
Bosnia and Herzegovina,3,+1,,,3,,,20200307001626
Dominican Republic,2,+1,,,2,,,20200307001626
Morocco,2,,,,2,,1,20200307001626
Cameroon,2,+2,,,2,,,20200307001626
Afghanistan,1,,,,1,,,20200307001626
Andorra,1,,,,1,,,20200307001626
Armenia,1,,,,1,,,20200307001626
Cambodia,1,,,,0,1,,20200307001626
Jordan,1,,,,1,,,20200307001626
Latvia,1,,,,0,1,,20200307001626
Lithuania,1,,,,1,,,20200307001626
Monaco,1,,,,1,,,20200307001626
Nepal,1,,,,0,1,,20200307001626
Nigeria,1,,,,1,,,20200307001626
Sri Lanka,1,,,,0,1,,20200307001626
Tunisia,1,,,,1,,,20200307001626
Ukraine,1,,,,1,,,20200307001626
Bhutan,1,+1,,,1,,,20200307001626
Colombia,1,+1,,,1,,,20200307001626
Costa Rica,1,,,,1,,,20200307001626
Gibraltar,1,,,,1,,1,20200307001626
Vatican City,1,+1,,,1,,,20200307001626
Liechtenstein,1,,,,1,,,20200307001626
Peru,1,+1,,,1,,,20200307001626
Serbia,1,+1,,,1,,,20200307001626
Slovakia,1,+1,,,1,,,20200307001626
South Africa,1,,,,1,,,20200307001626
Togo,1,+1,,,1,,,20200307001626
Total:,"101,961","3,544","3,466",79,"42,369","56,126","6,401",20200307001626
