"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,timestamp
Channel Islands,36,,,,,36,,207,,20200325000056
Mayotte,36,+12,,,,36,,132,,20200325000056
Guam,32,+3,1,,,31,,190,6,20200325000056
Honduras,30,,,,,30,,3,,20200325000056
Macao,29,+4,,,10,19,,45,,20200325000056
Bolivia,29,+2,,,,29,,2,,20200325000056
Paraguay,27,+5,2,+1,,25,1,4,0.3,20200325000056
French Polynesia,25,+7,,,,25,,89,,20200325000056
Kenya,25,+9,,,,25,,0.5,,20200325000056
Monaco,23,,,,1,22,,586,,20200325000056
French Guiana,23,+3,,,6,17,,77,,20200325000056
Isle of Man,23,+10,,,,23,,270,,20200325000056
Guatemala,21,+1,1,,,20,,1,0.06,20200325000056
Jamaica,21,+2,1,,2,18,,7,0.3,20200325000056
Togo,20,+2,,,1,19,,2,,20200325000056
Barbados,18,+1,,,,18,,63,,20200325000056
Aruba,17,+8,,,1,16,,159,,20200325000056
Madagascar,17,+5,,,,17,,0.6,,20200325000056
U.S. Virgin Islands,17,,,,,17,,163,,20200325000056
Gibraltar,15,,,,5,10,,445,,20200325000056
Maldives,13,,,,5,8,,24,,20200325000056
Ethiopia,12,+1,,,,12,,0.1,,20200325000056
Tanzania,12,,,,,12,,0.2,,20200325000056
Mongolia,10,,,,,10,,3,,20200325000056
New Caledonia,10,+2,,,,10,,35,,20200325000056
Equatorial Guinea,9,,,,,9,,6,,20200325000056
Uganda,9,,,,,9,,0.2,,20200325000056
Saint Martin,8,,,,,8,,207,,20200325000056
Dominica,7,+5,,,,7,,97,,20200325000056
Haiti,7,+1,,,,7,,0.6,,20200325000056
Namibia,7,+3,,,2,5,,3,,20200325000056
Seychelles,7,,,,,7,,71,,20200325000056
Suriname,7,+2,,,,7,,12,,20200325000056
Cayman Islands,6,+1,1,,,5,,91,15,20200325000056
Curaçao,6,+2,1,,,5,,37,6,20200325000056
Gabon,6,,1,,,5,,3,0.4,20200325000056
Benin,6,,,,,6,,0.5,,20200325000056
Bermuda,6,,,,,6,,96,,20200325000056
Guyana,5,,1,,,4,,6,1,20200325000056
Bahamas,5,+1,,,1,4,,13,,20200325000056
El Salvador,5,+2,,,,5,,0.8,,20200325000056
Greenland,5,+1,,,2,3,,88,,20200325000056
Congo,4,,,,,4,,0.7,,20200325000056
Fiji,4,+1,,,,4,,4,,20200325000056
Guinea,4,,,,,4,,0.3,,20200325000056
Vatican City,4,+3,,,,4,,"4,994",,20200325000056
Eswatini,4,,,,,4,,3,,20200325000056
Cabo Verde,3,,1,+1,,2,,5,2,20200325000056
Gambia,3,+1,1,,,2,,1,0.4,20200325000056
Sudan,3,+1,1,,,2,,0.07,0.02,20200325000056
Zimbabwe,3,,1,,,2,,0.2,0.07,20200325000056
Angola,3,,,,,3,,0.09,,20200325000056
Antigua and Barbuda,3,,,,,3,,31,,20200325000056
CAR,3,,,,,3,,0.6,,20200325000056
