"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"81,008",,"3,255",,"71,740","6,013","1,927",56,20200322000024
Italy,"53,578","+6,557","4,825",+793,"6,072","42,681","2,857",886,20200322000024
Spain,"25,496","+3,925","1,378",+285,"2,125","21,993","1,612",545,20200322000024
USA,"24,218","+4,835",302,+46,171,"23,745",64,73,20200322000024
Germany,"22,364","+2,516",84,+16,209,"22,071",2,267,20200322000024
Iran,"20,610",+966,"1,556",+123,"7,635","11,419",,245,20200322000024
France,"14,459","+1,847",562,+112,"1,587","12,310","1,525",222,20200322000024
S. Korea,"8,799",+147,102,+8,"2,612","6,085",59,172,20200322000024
Switzerland,"6,863","+1,248",80,+24,131,"6,652",141,793,20200322000024
UK,"5,018","+1,035",233,+56,93,"4,692",20,74,20200322000024
Netherlands,"3,631",+637,136,+30,2,"3,493",354,212,20200322000024
Austria,"2,992",+343,8,+2,9,"2,975",15,332,20200322000024
Belgium,"2,815",+558,67,+30,263,"2,485",288,243,20200322000024
Norway,"2,164",+205,7,,6,"2,151",28,399,20200322000024
Sweden,"1,770",+131,20,+4,16,"1,734",71,175,20200322000024
Canada,"1,328",+241,19,+7,14,"1,295",1,35,20200322000024
Denmark,"1,326",+71,13,+4,1,"1,312",42,229,20200322000024
Portugal,"1,280",+260,12,+6,5,"1,263",26,126,20200322000024
Malaysia,"1,183",+153,8,+5,114,"1,061",26,37,20200322000024
Brazil,"1,178",+208,18,+7,2,"1,158",18,6,20200322000024
Australia,"1,072",+144,7,,46,"1,019",2,42,20200322000024
Japan,"1,054",+47,36,+1,215,803,55,8,20200322000024
Czechia,995,+162,,,6,989,7,93,20200322000024
Turkey,947,+277,21,+12,,926,,11,20200322000024
Israel,883,+178,1,,36,846,15,102,20200322000024
Ireland,785,+102,3,,5,777,13,159,20200322000024
Diamond Princess,712,,8,,567,137,15,,20200322000024
Luxembourg,670,+186,8,+3,6,656,3,"1,070",20200322000024
Pakistan,645,+144,3,,13,629,,3,20200322000024
Chile,537,+103,1,+1,8,528,7,28,20200322000024
Poland,536,+111,5,,13,518,3,14,20200322000024
Ecuador,532,+106,7,,3,522,2,30,20200322000024
Greece,530,+35,13,+3,19,498,18,51,20200322000024
Finland,523,+73,1,+1,10,512,2,94,20200322000024
Qatar,481,+11,,,27,454,6,167,20200322000024
Iceland,473,+64,1,+1,5,467,1,"1,386",20200322000024
Indonesia,450,+81,38,+6,20,392,,2,20200322000024
Singapore,432,+47,2,+2,140,290,14,74,20200322000024
Thailand,411,+89,1,,44,366,7,6,20200322000024
Saudi Arabia,392,+48,,,16,376,,11,20200322000024
Slovenia,383,+42,1,,,382,12,184,20200322000024
Romania,367,+59,,,52,315,14,19,20200322000024
India,332,+83,5,,23,304,,0.2,20200322000024
Peru,318,+55,5,+1,1,312,5,10,20200322000024
Bahrain,310,+12,1,,125,184,4,182,20200322000024
Philippines,307,+77,19,+1,13,275,1,3,20200322000024
Russia,306,+53,1,,16,289,,2,20200322000024
Estonia,306,+23,,,2,304,,231,20200322000024
Egypt,294,+9,10,+2,42,242,,3,20200322000024
Hong Kong,273,+17,4,,98,171,4,36,20200322000024
Panama,245,+45,3,+2,1,241,7,57,20200322000024
South Africa,240,+38,,,2,238,,4,20200322000024
Lebanon,230,+53,4,,8,218,4,34,20200322000024
Iraq,214,+6,17,,51,146,,5,20200322000024
Croatia,206,+76,1,,5,200,,50,20200322000024
Mexico,203,+39,2,+1,4,197,1,2,20200322000024
Colombia,196,+51,,,1,195,,4,20200322000024
Slovakia,178,+41,,,7,171,2,33,20200322000024
Kuwait,176,+17,,,27,149,5,41,20200322000024
Serbia,171,+36,1,,2,168,4,20,20200322000024
Bulgaria,163,+36,3,,3,157,3,23,20200322000024
San Marino,160,+9,20,+6,4,136,12,"4,715",20200322000024
Armenia,160,+24,,,1,159,2,54,20200322000024
Argentina,158,,4,+1,3,151,,3,20200322000024
Taiwan,153,+18,2,,28,123,,6,20200322000024
UAE,153,+13,2,,38,113,2,15,20200322000024
Algeria,139,+45,15,+4,65,59,,3,20200322000024
Latvia,124,+13,,,1,123,,66,20200322000024
Costa Rica,117,+4,2,,2,113,2,23,20200322000024
Dominican Republic,112,+40,3,+1,,109,,10,20200322000024
Uruguay,110,,,,,110,3,32,20200322000024
Hungary,103,+18,4,,7,92,6,11,20200322000024
Jordan,100,+16,,,1,99,,10,20200322000024
Lithuania,99,+30,1,,1,97,1,36,20200322000024
Morocco,96,+10,3,,3,90,1,3,20200322000024
Vietnam,94,+3,,,17,77,2,1.0,20200322000024
Bosnia and Herzegovina,93,+4,1,+1,2,90,1,28,20200322000024
Faeroe Islands,92,+12,,,3,89,,"1,883",20200322000024
Andorra,88,+13,,,1,87,2,"1,139",20200322000024
North Macedonia,85,+9,,,1,84,1,41,20200322000024
Cyprus,84,+9,1,+1,3,80,3,70,20200322000024
Brunei,83,+5,,,1,82,2,190,20200322000024
Moldova,80,+14,1,,1,78,3,20,20200322000024
Sri Lanka,77,+4,,,3,74,2,4,20200322000024
Albania,76,+6,2,,2,72,2,26,20200322000024
Belarus,76,+7,,,15,61,,8,20200322000024
Malta,73,+9,,,2,71,1,165,20200322000024
Venezuela,70,+5,,,15,55,2,2,20200322000024
Burkina Faso,64,+24,3,+2,5,56,,3,20200322000024
Tunisia,60,+6,1,,1,58,7,5,20200322000024
Guadeloupe,56,+5,1,,,55,4,140,20200322000024
Senegal,56,+9,,,5,51,,3,20200322000024
Kazakhstan,54,+2,,,,54,,3,20200322000024
Azerbaijan,53,+9,1,,11,41,,5,20200322000024
Cambodia,53,+2,,,2,51,,3,20200322000024
Palestine,53,+5,,,17,36,,10,20200322000024
New Zealand,52,,,,,52,,11,20200322000024
Oman,52,+4,,,13,39,,10,20200322000024
Georgia,49,+5,,,1,48,1,12,20200322000024
Trinidad and Tobago,49,+40,,,,49,,35,20200322000024
Ukraine,47,+6,3,,1,43,,1,20200322000024
Réunion,47,+9,,,,47,,52,20200322000024
Uzbekistan,41,+8,,,,41,,1,20200322000024
Cameroon,40,+13,,,2,38,,2,20200322000024
Martinique,37,+5,1,,,36,7,99,20200322000024
Liechtenstein,37,+9,,,,37,,970,20200322000024
Channel Islands,32,+20,,,,32,,184,20200322000024
Bangladesh,24,+4,2,+1,3,19,,0.1,20200322000024
Afghanistan,24,,,,1,23,,0.6,20200322000024
Honduras,24,,,,,24,,2,20200322000024
DRC,23,+5,1,+1,,22,,0.3,20200322000024
Paraguay,22,+4,1,+1,,21,1,3,20200322000024
Nigeria,22,+10,,,1,21,,0.1,20200322000024
Cuba,21,,1,,,20,,2,20200322000024
Ghana,21,+5,1,+1,,20,,0.7,20200322000024
Puerto Rico,21,+7,,,,21,,7,20200322000024
Jamaica,19,,1,,2,16,,6,20200322000024
Bolivia,19,+3,,,,19,,2,20200322000024
Guyana,18,+3,1,,,17,,23,20200322000024
Macao,18,+1,,,10,8,,28,20200322000024
Monaco,18,+7,,,1,17,,459,20200322000024
French Guiana,18,+3,,,,18,,60,20200322000024
Guatemala,17,+5,1,,,16,,0.9,20200322000024
Rwanda,17,,,,,17,,1,20200322000024
Montenegro,16,+2,,,,16,,25,20200322000024
Togo,16,+7,,,,16,,2,20200322000024
French Polynesia,15,+4,,,,15,,53,20200322000024
Guam,15,+1,,,,15,,89,20200322000024
Mauritius,14,+2,1,+1,,13,,11,20200322000024
Barbados,14,+8,,,,14,,49,20200322000024
Ivory Coast,14,+5,,,1,13,,0.5,20200322000024
Kyrgyzstan,14,+8,,,,14,,2,20200322000024
Maldives,13,,,,3,10,,24,20200322000024
Mayotte,11,+4,,,,11,,40,20200322000024
Gibraltar,10,,,,2,8,,297,20200322000024
Mongolia,10,+4,,,,10,,3,20200322000024
Ethiopia,9,,,,,9,,0.08,20200322000024
Kenya,7,,,,,7,,0.1,20200322000024
Seychelles,7,,,,,7,,71,20200322000024
Equatorial Guinea,6,,,,,6,,4,20200322000024
Tanzania,6,,,,,6,,0.1,20200322000024
U.S. Virgin Islands,6,+3,,,,6,,57,20200322000024
Gabon,5,+1,1,,,4,,2,20200322000024
Aruba,5,,,,1,4,,47,20200322000024
Saint Martin,5,+1,,,,5,,129,20200322000024
Suriname,5,+1,,,,5,,9,20200322000024
Bahamas,4,,,,,4,,10,20200322000024
New Caledonia,4,+2,,,,4,,14,20200322000024
Cayman Islands,3,,1,,,2,,46,20200322000024
Curaçao,3,,1,,,2,,18,20200322000024
Cabo Verde,3,+2,,,,3,,5,20200322000024
CAR,3,,,,,3,,0.6,20200322000024
Congo,3,,,,,3,,0.5,20200322000024
El Salvador,3,+2,,,,3,,0.5,20200322000024
Liberia,3,+1,,,,3,,0.6,20200322000024
Madagascar,3,,,,,3,,0.1,20200322000024
Namibia,3,,,,,3,,1,20200322000024
St. Barth,3,,,,,3,,304,20200322000024
Zimbabwe,3,+2,,,,3,,0.2,20200322000024
Sudan,2,,1,,,1,,0.05,20200322000024
Angola,2,+1,,,,2,,0.06,20200322000024
Benin,2,,,,,2,,0.2,20200322000024
Bermuda,2,,,,,2,,32,20200322000024
Bhutan,2,,,,,2,,3,20200322000024
Fiji,2,+1,,,,2,,2,20200322000024
Greenland,2,,,,,2,,35,20200322000024
Guinea,2,,,,,2,,0.2,20200322000024
Haiti,2,,,,,2,,0.2,20200322000024
Isle of Man,2,,,,,2,,24,20200322000024
Mauritania,2,,,,,2,,0.4,20200322000024
Nicaragua,2,,,,,2,,0.3,20200322000024
Saint Lucia,2,,,,,2,,11,20200322000024
Zambia,2,,,,,2,,0.1,20200322000024
Nepal,1,,,,1,0,,0.03,20200322000024
Antigua and Barbuda,1,,,,,1,,10,20200322000024
Chad,1,,,,,1,,0.06,20200322000024
Djibouti,1,,,,,1,,1,20200322000024
Eritrea,1,+1,,,,1,,0.3,20200322000024
Gambia,1,,,,,1,,0.4,20200322000024
Vatican City,1,,,,,1,,"1,248",20200322000024
Montserrat,1,,,,,1,,200,20200322000024
Niger,1,,,,,1,,0.04,20200322000024
Papua New Guinea,1,,,,,1,,0.1,20200322000024
St. Vincent Grenadines,1,,,,,1,,9,20200322000024
Sint Maarten,1,,,,,1,,23,20200322000024
Somalia,1,,,,,1,,0.06,20200322000024
Eswatini,1,,,,,1,,0.9,20200322000024
Timor-Leste,1,+1,,,,1,,0.8,20200322000024
Uganda,1,+1,,,,1,,0.02,20200322000024
Total:,"304,999","29,402","13,003","1,616","94,793","197,203","9,382",39.1,20200322000024
