"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,796",+3,"3,169",,"62,843","14,784","4,257",56.1,20200313001451
Italy,"15,113","+2,651","1,016",+189,"1,258","12,839","1,153",250.0,20200313001451
Iran,"10,075","+1,075",429,+75,"3,276","6,370",,120.0,20200313001451
S. Korea,"7,869",+114,66,+6,333,"7,470",93,153.5,20200313001451
Spain,"3,146",+869,86,+31,189,"2,871",190,67.3,20200313001451
France,"2,876",+595,61,+13,12,"2,803",129,44.1,20200313001451
Germany,"2,745",+779,6,+3,25,"2,714",9,32.8,20200313001451
USA,"1,715",+414,41,+3,30,"1,644",10,5.2,20200313001451
Switzerland,868,+216,7,+3,4,857,,100.3,20200313001451
Norway,800,+171,1,+1,1,798,,147.6,20200313001451
Diamond Princess,696,,7,,325,364,32,,20200313001451
Japan,691,+52,19,+4,118,554,29,5.5,20200313001451
Sweden,687,+187,1,,1,685,2,68.0,20200313001451
Denmark,674,+160,,,1,673,2,116.4,20200313001451
Netherlands,614,+111,5,,2,607,1,35.8,20200313001451
UK,590,+130,10,+2,18,562,20,8.7,20200313001451
Belgium,399,+85,3,,1,395,2,34.4,20200313001451
Austria,361,+115,1,+1,4,356,1,40.1,20200313001451
Qatar,262,,,,,262,,90.9,20200313001451
Bahrain,197,+2,,,35,162,1,115.8,20200313001451
Singapore,187,+9,,,96,91,12,32.0,20200313001451
Malaysia,158,+9,,,26,132,2,4.9,20200313001451
Australia,156,+28,3,,26,127,1,6.1,20200313001451
Canada,142,+32,1,,11,130,1,3.8,20200313001451
Hong Kong,130,,3,,77,50,6,17.3,20200313001451
Greece,117,+18,1,+1,,116,2,11.2,20200313001451
Czechia,113,+19,,,,113,,10.6,20200313001451
Finland,109,+44,,,1,108,,19.7,20200313001451
Iceland,109,+24,,,,109,,,20200313001451
Israel,109,+12,,,4,105,2,12.6,20200313001451
Slovenia,96,+39,,,,96,,46.2,20200313001451
UAE,85,+11,,,20,65,2,8.6,20200313001451
Iraq,83,+12,8,+1,24,51,,2.1,20200313001451
Egypt,80,+13,2,+1,27,51,,0.8,20200313001451
Kuwait,80,+8,,,5,75,4,18.7,20200313001451
Portugal,78,+17,,,1,77,1,7.6,20200313001451
Brazil,77,+25,,,,77,2,0.4,20200313001451
India,74,+12,1,+1,4,69,,0.1,20200313001451
San Marino,72,+3,5,+2,,67,3,,20200313001451
Ireland,70,+27,1,,,69,6,14.2,20200313001451
Thailand,70,+11,1,,35,34,1,1.0,20200313001451
Lebanon,68,,3,+1,1,64,3,10.0,20200313001451
Romania,59,+12,,,6,53,1,3.1,20200313001451
Philippines,52,+3,2,,2,48,1,0.5,20200313001451
Poland,51,+20,1,+1,,50,3,1.3,20200313001451
Taiwan,49,+1,1,,20,28,,2.1,20200313001451
Saudi Arabia,45,,,,1,44,,1.3,20200313001451
Vietnam,39,,,,16,23,,0.4,20200313001451
Indonesia,34,,1,,3,30,,0.1,20200313001451
Russia,34,+6,,,3,31,,0.2,20200313001451
Chile,33,+10,,,,33,,1.7,20200313001451
Palestine,31,+1,,,,31,,6.1,20200313001451
Argentina,30,+9,1,,,29,1,0.7,20200313001451
Croatia,27,+8,,,1,26,,6.6,20200313001451
Estonia,27,+11,,,,27,,20.4,20200313001451
Algeria,26,+6,2,+2,10,14,,0.6,20200313001451
Luxembourg,26,+19,,,,26,1,,20200313001451
Georgia,25,+1,,,,25,1,6.3,20200313001451
Brunei,25,+14,,,,25,,,20200313001451
Serbia,24,+6,,,,24,,2.7,20200313001451
Albania,23,+8,1,,,22,,8.0,20200313001451
Bulgaria,23,+16,1,,,22,,3.3,20200313001451
Costa Rica,23,+1,,,,23,1,4.5,20200313001451
Peru,22,+5,,,,22,,0.7,20200313001451
Belarus,21,+12,,,3,18,,2.2,20200313001451
Pakistan,21,+1,,,2,19,,0.1,20200313001451
Slovakia,21,+11,,,,21,,3.8,20200313001451
Oman,18,,,,9,9,,3.5,20200313001451
Ecuador,17,,,,,17,1,1.0,20200313001451
South Africa,17,+4,,,,17,,0.3,20200313001451
Latvia,16,+6,,,1,15,,8.5,20200313001451
Hungary,16,+3,,,,16,,1.7,20200313001451
Azerbaijan,15,+4,1,+1,3,11,,1.5,20200313001451
Panama,14,,1,,,13,,3.2,20200313001451
Tunisia,13,+6,,,,13,2,1.1,20200313001451
Mexico,12,+1,,,4,8,1,0.1,20200313001451
Bosnia and Herzegovina,11,+4,,,,11,,3.4,20200313001451
Macao,10,,,,10,0,,,20200313001451
Senegal,10,+6,,,1,9,,0.6,20200313001451
Cyprus,10,+4,,,,10,,8.3,20200313001451
North Macedonia,9,,,,1,8,,4.3,20200313001451
Colombia,9,,,,,9,,0.2,20200313001451
Malta,9,+2,,,,9,,,20200313001451
Maldives,8,,,,,8,,,20200313001451
Afghanistan,7,,,,,7,,0.2,20200313001451
Morocco,6,,1,,,5,1,0.2,20200313001451
Armenia,6,+5,,,,6,,2.0,20200313001451
French Guiana,6,,,,,6,,,20200313001451
Moldova,6,+3,,,,6,,1.5,20200313001451
Cambodia,5,,,,1,4,,0.3,20200313001451
Dominican Republic,5,,,,,5,,0.5,20200313001451
New Zealand,5,,,,,5,,1.0,20200313001451
Paraguay,5,,,,,5,1,0.7,20200313001451
Liechtenstein,4,+1,,,,4,,,20200313001451
Réunion,4,+3,,,,4,,,20200313001451
Lithuania,3,,,,,3,,1.1,20200313001451
Sri Lanka,3,+1,,,1,2,,0.1,20200313001451
Ukraine,3,+2,,,,3,,0.1,20200313001451
Bangladesh,3,,,,,3,,,20200313001451
Bolivia,3,+1,,,,3,,0.3,20200313001451
Channel Islands,3,+1,,,,3,,,20200313001451
Cuba,3,,,,,3,,0.3,20200313001451
Martinique,3,,,,,3,,,20200313001451
Nigeria,2,,,,,2,,,20200313001451
Burkina Faso,2,,,,,2,,0.1,20200313001451
Cameroon,2,,,,,2,,0.1,20200313001451
Faeroe Islands,2,,,,,2,,,20200313001451
Ghana,2,+2,,,,2,,0.1,20200313001451
Honduras,2,,,,,2,,0.2,20200313001451
Jamaica,2,,,,,2,,0.7,20200313001451
Saint Martin,2,,,,,2,,,20200313001451
Guyana,1,+1,1,+1,,0,,,20200313001451
Andorra,1,,,,,1,,,20200313001451
Jordan,1,,,,,1,,0.1,20200313001451
Monaco,1,,,,,1,,,20200313001451
Nepal,1,,,,1,0,,,20200313001451
Bhutan,1,,,,,1,,,20200313001451
Ivory Coast,1,,,,,1,,,20200313001451
DRC,1,,,,,1,,,20200313001451
French Polynesia,1,,,,,1,,,20200313001451
Gibraltar,1,,,,1,0,,,20200313001451
Vatican City,1,,,,,1,,,20200313001451
Mongolia,1,,,,,1,,0.3,20200313001451
St. Barth,1,,,,,1,,,20200313001451
St. Vincent Grenadines,1,,,,,1,,,20200313001451
Togo,1,,,,,1,,0.1,20200313001451
Trinidad and Tobago,1,+1,,,,1,,0.7,20200313001451
Turkey,1,,,,,1,,,20200313001451
Total:,"134,558","8,344","4,971",343,"68,934","60,653","5,994",17.3,20200313001451
