"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,652",+1,"3,070",,"55,552","22,030","5,489",56.0,20200308002441
S. Korea,"7,041",+448,48,+5,118,"6,875",36,137.3,20200308002441
Italy,"5,883","+1,247",233,+36,589,"5,061",567,97.3,20200308002441
Iran,"5,823","+1,076",145,+21,"1,669","4,009",,69.3,20200308002441
France,949,+296,16,+7,12,921,45,14.5,20200308002441
Germany,800,+130,,,18,782,9,9.5,20200308002441
Diamond Princess,696,,6,,245,445,32,,20200308002441
Spain,503,+102,10,+2,30,463,9,10.8,20200308002441
Japan,461,+41,6,,76,379,28,3.6,20200308002441
USA,434,+115,19,+4,15,400,8,1.3,20200308002441
Switzerland,268,+54,1,,3,264,,31.0,20200308002441
UK,209,+45,2,,18,189,,3.1,20200308002441
Netherlands,188,+60,1,,,187,1,11.0,20200308002441
Belgium,169,+60,,,1,168,1,14.6,20200308002441
Sweden,161,+24,,,1,160,,15.9,20200308002441
Norway,156,+29,,,,156,,28.8,20200308002441
Singapore,138,+8,,,90,48,8,23.6,20200308002441
Hong Kong,108,,2,,51,55,6,14.4,20200308002441
Malaysia,93,+10,,,23,70,,2.9,20200308002441
Bahrain,85,+25,,,6,79,,50.0,20200308002441
Austria,81,+15,,,2,79,1,9.0,20200308002441
Australia,75,+12,3,+1,22,50,1,2.9,20200308002441
Greece,66,+21,,,,66,1,6.3,20200308002441
Kuwait,61,+3,,,1,60,,14.3,20200308002441
Canada,60,+6,,,8,52,1,1.6,20200308002441
Iraq,54,+8,4,,1,49,,1.3,20200308002441
Thailand,50,+2,1,,31,18,1,0.7,20200308002441
Iceland,50,+5,,,1,49,,,20200308002441
Egypt,48,+33,,,1,47,,,20200308002441
Taiwan,45,,1,,15,29,,1.9,20200308002441
UAE,45,,,,7,38,2,4.5,20200308002441
India,34,+3,,,3,31,,,20200308002441
Lebanon,28,+6,,,1,27,3,4.1,20200308002441
Denmark,27,+6,,,1,26,,4.7,20200308002441
Czechia,26,+7,,,,26,,2.4,20200308002441
Israel,25,+4,,,3,22,1,2.9,20200308002441
San Marino,23,,1,,,22,4,,20200308002441
Portugal,21,+8,,,,21,,2.1,20200308002441
Vietnam,20,+3,,,16,4,,,20200308002441
Algeria,19,+2,,,,19,,,20200308002441
Brazil,19,+6,,,,19,,,20200308002441
Finland,19,+4,,,1,18,,3.4,20200308002441
Ireland,19,+1,,,,19,,3.8,20200308002441
Palestine,19,+3,,,,19,,3.7,20200308002441
Oman,16,,,,2,14,,3.1,20200308002441
Russia,15,+2,,,3,12,,,20200308002441
Ecuador,14,+1,,,,14,1,0.8,20200308002441
Georgia,13,+4,,,,13,1,3.3,20200308002441
Romania,13,+4,,,3,10,,0.7,20200308002441
Croatia,12,+1,,,,12,,2.9,20200308002441
Qatar,12,+1,,,,12,,4.2,20200308002441
Slovenia,12,+4,,,,12,,5.8,20200308002441
Macao,10,,,,10,0,,,20200308002441
Estonia,10,,,,,10,,7.5,20200308002441
Argentina,9,+1,1,+1,,8,,,20200308002441
Azerbaijan,9,,,,,9,,0.9,20200308002441
Saudi Arabia,7,+2,,,1,6,,,20200308002441
Philippines,6,+1,1,,2,3,1,,20200308002441
Belarus,6,,,,,6,,0.6,20200308002441
Mexico,6,,,,1,5,,,20200308002441
Pakistan,6,,,,1,5,,,20200308002441
Peru,6,+5,,,,6,,,20200308002441
Poland,6,+1,,,,6,,,20200308002441
New Zealand,5,+1,,,,5,,1.0,20200308002441
Chile,5,,,,,5,,,20200308002441
Hungary,5,+1,,,,5,,0.5,20200308002441
Afghanistan,4,+3,,,,4,,,20200308002441
Indonesia,4,,,,,4,,,20200308002441
Senegal,4,,,,1,3,,,20200308002441
Luxembourg,3,,,,,3,,,20200308002441
North Macedonia,3,,,,,3,,1.4,20200308002441
Bosnia and Herzegovina,3,,,,,3,,0.9,20200308002441
Malta,3,+3,,,,3,,,20200308002441
Slovakia,3,+2,,,,3,,0.5,20200308002441
Cambodia,2,+1,,,1,1,,,20200308002441
Dominican Republic,2,,,,,2,,,20200308002441
Morocco,2,,,,,2,1,,20200308002441
Bulgaria,2,+2,,,,2,,,20200308002441
Cameroon,2,,,,,2,,,20200308002441
Faeroe Islands,2,,,,,2,,,20200308002441
Maldives,2,+2,,,,2,,,20200308002441
South Africa,2,+1,,,,2,,,20200308002441
Andorra,1,,,,,1,,,20200308002441
Armenia,1,,,,,1,,,20200308002441
Jordan,1,,,,,1,,,20200308002441
Latvia,1,,,,1,0,,0.5,20200308002441
Lithuania,1,,,,,1,,,20200308002441
Monaco,1,,,,,1,,,20200308002441
Nepal,1,,,,1,0,,,20200308002441
Nigeria,1,,,,,1,,,20200308002441
Sri Lanka,1,,,,1,0,,,20200308002441
Tunisia,1,,,,,1,,,20200308002441
Ukraine,1,,,,,1,,,20200308002441
Bhutan,1,,,,,1,,,20200308002441
Colombia,1,,,,,1,,,20200308002441
Costa Rica,1,,,,,1,,,20200308002441
Gibraltar,1,,,,,1,1,,20200308002441
Vatican City,1,,,,,1,,,20200308002441
Liechtenstein,1,,,,,1,,,20200308002441
Moldova,1,+1,,,,1,,,20200308002441
Paraguay,1,+1,,,,1,,,20200308002441
Serbia,1,,,,,1,,,20200308002441
Togo,1,,,,,1,,,20200308002441
Total:,"106,018","3,974","3,571",77,"58,659","43,788","6,259",13.6,20200308002441
