"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,824",+10,"3,177",,"64,176","13,471","4,020",56.2,20200314011147
Italy,"17,660","+2,547","1,266",+250,"1,439","14,955","1,328",292.1,20200314011147
Iran,"11,364","+1,289",514,+85,"3,529","7,321",,135.3,20200314011147
S. Korea,"7,979",+110,71,+5,510,"7,398",93,155.6,20200314011147
Spain,"5,232","+2,086",133,+47,193,"4,906",272,111.9,20200314011147
Germany,"3,675",+930,8,+2,46,"3,621",9,43.9,20200314011147
France,"3,661",+785,79,+18,12,"3,570",154,56.1,20200314011147
USA,"2,278",+581,48,+7,41,"2,189",10,6.9,20200314011147
Switzerland,"1,139",+271,11,+4,4,"1,124",,131.6,20200314011147
Norway,996,+196,1,,1,994,27,183.7,20200314011147
Sweden,814,+127,1,,1,812,2,80.6,20200314011147
Netherlands,804,+190,10,+5,2,792,45,46.9,20200314011147
Denmark,804,+130,,,1,803,2,138.8,20200314011147
UK,798,+208,11,+1,18,769,20,11.8,20200314011147
Japan,725,+34,21,+2,118,586,29,5.7,20200314011147
Diamond Princess,696,,7,,325,364,32,,20200314011147
Belgium,559,+160,3,,1,555,2,48.2,20200314011147
Austria,504,+143,1,,6,497,1,56.0,20200314011147
Qatar,320,+58,,,,320,,111.1,20200314011147
Bahrain,210,+13,,,44,166,1,123.4,20200314011147
Singapore,200,+13,,,97,103,11,34.2,20200314011147
Australia,199,+43,3,,26,170,1,7.8,20200314011147
Canada,198,+56,1,,11,186,1,5.2,20200314011147
Malaysia,197,+39,,,32,165,4,6.1,20200314011147
Greece,190,+73,1,,2,187,2,18.2,20200314011147
Finland,155,+46,,,1,154,,28.0,20200314011147
Brazil,151,+74,,,1,150,2,0.7,20200314011147
Israel,143,+34,,,4,139,3,16.5,20200314011147
Czechia,141,+25,,,,141,2,13.2,20200314011147
Slovenia,141,+45,,,,141,4,67.8,20200314011147
Iceland,134,+17,,,,134,,,20200314011147
Hong Kong,132,+1,4,+1,77,51,4,17.6,20200314011147
Portugal,112,+34,,,1,111,1,11.0,20200314011147
Iraq,101,+18,9,+1,24,68,,2.5,20200314011147
Kuwait,100,+20,,,5,95,4,23.4,20200314011147
Romania,95,+36,,,7,88,1,4.9,20200314011147
Egypt,93,+13,2,,27,64,,0.9,20200314011147
Ireland,90,+20,1,,,89,6,18.2,20200314011147
Saudi Arabia,86,+41,,,1,85,,2.5,20200314011147
UAE,85,,,,20,65,2,8.6,20200314011147
India,82,+8,2,+1,10,70,,0.1,20200314011147
San Marino,80,+8,5,,2,73,3,,20200314011147
Estonia,79,+52,,,,79,,59.6,20200314011147
Lebanon,77,+9,3,,1,73,3,11.3,20200314011147
Thailand,75,+5,1,,35,39,1,1.1,20200314011147
Indonesia,69,+35,4,+3,5,60,,0.3,20200314011147
Poland,68,+17,2,+1,,66,3,1.8,20200314011147
Philippines,64,+12,5,,2,57,1,0.6,20200314011147
Taiwan,50,+1,1,,20,29,,2.1,20200314011147
Russia,45,+11,,,8,37,,0.3,20200314011147
Vietnam,44,,,,16,28,,0.5,20200314011147
Chile,43,+10,,,,43,,2.2,20200314011147
Luxembourg,38,+12,1,+1,,37,,,20200314011147
Peru,38,+16,,,,38,,1.2,20200314011147
Brunei,37,+12,,,,37,,,20200314011147
Serbia,35,+11,,,,35,1,4.0,20200314011147
Palestine,35,+4,,,,35,,6.9,20200314011147
Argentina,34,+3,2,+1,,32,1,0.8,20200314011147
Albania,33,+10,1,,,32,,11.5,20200314011147
Croatia,32,+5,,,1,31,,7.8,20200314011147
Slovakia,32,+11,,,,32,,5.9,20200314011147
Bulgaria,31,+8,1,,,30,,4.5,20200314011147
