"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,739",+4,"3,120",+1,"58,753","18,866","5,111",56.1,20200310000045
Italy,"9,172","+1,797",463,+97,724,"7,985",733,151.7,20200310000045
S. Korea,"7,478",+165,53,+3,166,"7,259",36,145.9,20200310000045
Iran,"7,161",+595,237,+43,"2,394","4,530",,85.3,20200310000045
France,"1,412",+203,30,+11,12,"1,370",66,21.6,20200310000045
Spain,"1,231",+557,30,+13,32,"1,169",11,26.3,20200310000045
Germany,"1,224",+184,2,+2,18,"1,204",9,14.6,20200310000045
Diamond Princess,696,,7,,245,444,32,,20200310000045
USA,624,+83,26,+4,15,583,8,1.9,20200310000045
Japan,530,+28,9,+2,101,420,33,4.2,20200310000045
Switzerland,374,+42,2,,3,369,,43.2,20200310000045
UK,321,+43,5,+2,18,298,,4.7,20200310000045
Netherlands,321,+56,4,+1,,317,1,18.7,20200310000045
Sweden,261,+58,,,1,260,,25.8,20200310000045
Belgium,239,+39,,,1,238,2,20.6,20200310000045
Norway,227,+51,,,1,226,,41.9,20200310000045
Singapore,160,+10,,,93,67,10,27.3,20200310000045
Austria,131,+27,,,2,129,1,14.5,20200310000045
Malaysia,117,+18,,,24,93,2,3.6,20200310000045
Hong Kong,116,+1,3,,59,54,6,15.5,20200310000045
Bahrain,109,+24,,,22,87,,64.1,20200310000045
Australia,93,+10,3,,22,68,1,3.6,20200310000045
Denmark,90,+55,,,1,89,,15.5,20200310000045
Greece,84,+11,,,,84,1,8.1,20200310000045
Canada,77,+11,1,+1,8,68,1,2.0,20200310000045
Iraq,71,+6,7,+1,3,61,,1.8,20200310000045
Iceland,65,+7,,,1,64,,,20200310000045
Kuwait,65,+1,,,1,64,3,15.2,20200310000045
Egypt,59,+4,1,,1,57,,0.6,20200310000045
UAE,59,+14,,,12,47,2,6.0,20200310000045
San Marino,51,+14,2,+1,,49,5,,20200310000045
Thailand,50,,1,,33,16,1,0.7,20200310000045
Israel,50,+11,,,4,46,1,5.8,20200310000045
India,47,+7,,,4,43,,,20200310000045
Taiwan,45,,1,,15,29,,1.9,20200310000045
Lebanon,41,+9,,,1,40,3,6.0,20200310000045
