"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Ireland,129,+39,2,+1,,127,6,26.1,20200315000022
Romania,123,+28,,,9,114,1,6.4,20200315000022
Estonia,115,+36,,,,115,,86.7,20200315000022
Philippines,111,+47,8,+3,2,101,1,1.0,20200315000022
Iraq,110,+9,10,+1,26,74,,2.7,20200315000022
Egypt,109,+16,2,,27,80,,1.1,20200315000022
Kuwait,104,+4,,,5,99,4,24.4,20200315000022
Poland,103,+35,3,+1,13,87,3,2.7,20200315000022
Saudi Arabia,103,+17,,,1,102,,3.0,20200315000022
San Marino,101,+21,5,,4,92,3,,20200315000022
India,97,+15,2,,10,85,,0.1,20200315000022
Indonesia,96,+27,5,+1,8,83,,0.4,20200315000022
Lebanon,93,+16,3,,1,89,3,13.6,20200315000022
UAE,85,,,,20,65,2,8.6,20200315000022
Thailand,82,+7,1,,35,46,1,1.2,20200315000022
Chile,61,+18,,,,61,,3.2,20200315000022
Russia,59,+14,,,8,51,,0.4,20200315000022
Taiwan,53,+3,1,,20,32,,2.2,20200315000022
Vietnam,53,+9,,,16,37,,0.5,20200315000022
Luxembourg,51,+13,1,,,50,,,20200315000022
Serbia,46,+11,,,,46,1,5.3,20200315000022
Argentina,45,+11,2,,,43,1,1.0,20200315000022
Slovakia,44,+12,,,,44,,8.1,20200315000022
Bulgaria,41,+10,2,+1,,39,,5.9,20200315000022
Brunei,40,+3,,,,40,,,20200315000022
Croatia,39,+7,,,2,37,,9.5,20200315000022
Albania,38,+5,1,,,37,2,13.2,20200315000022
Peru,38,,,,,38,,1.2,20200315000022
South Africa,38,+14,,,,38,,0.6,20200315000022
Palestine,38,+3,,,,38,,7.4,20200315000022
Algeria,37,+11,3,+1,10,24,,0.8,20200315000022
Panama,36,+9,1,,,35,,8.3,20200315000022
Pakistan,31,+3,,,2,29,,0.1,20200315000022
Georgia,30,+5,,,,30,1,7.5,20200315000022
Hungary,30,+11,,,1,29,,3.1,20200315000022
Ecuador,28,+5,1,,,27,1,1.6,20200315000022
Belarus,27,,,,3,24,,2.9,20200315000022
Costa Rica,27,+4,,,,27,1,5.3,20200315000022
Latvia,26,+9,,,1,25,,13.8,20200315000022
Mexico,26,+11,,,4,22,1,0.2,20200315000022
Cyprus,26,+12,,,,26,,21.5,20200315000022
Colombia,22,+6,,,,22,,0.4,20200315000022
Senegal,21,,,,2,19,,1.3,20200315000022
Bosnia and Herzegovina,21,+3,,,,21,,6.4,20200315000022
Oman,19,,,,9,10,,3.7,20200315000022
Morocco,18,+11,1,,1,16,1,0.5,20200315000022
Armenia,18,+10,,,,18,,6.1,20200315000022
Tunisia,18,+2,,,,18,2,1.5,20200315000022
Malta,18,+6,,,1,17,,,20200315000022
Azerbaijan,15,,1,,3,11,,1.5,20200315000022
North Macedonia,13,,,,1,12,,6.2,20200315000022
Moldova,12,+6,,,,12,,3.0,20200315000022
Afghanistan,11,+4,,,,11,,0.3,20200315000022
Dominican Republic,11,+6,,,,11,,1.0,20200315000022
Macao,10,,,,10,0,,,20200315000022
Sri Lanka,10,+4,,,1,9,,0.5,20200315000022
Bolivia,10,,,,,10,,0.9,20200315000022
Maldives,10,+1,,,,10,,,20200315000022
Martinique,10,+7,,,,10,,,20200315000022
Lithuania,9,+3,,,1,8,,3.3,20200315000022
Faeroe Islands,9,+6,,,,9,,,20200315000022
Jamaica,8,,,,,8,,2.7,20200315000022
Cambodia,7,,,,1,6,,0.4,20200315000022
New Zealand,7,+1,,,,7,,1.5,20200315000022
French Guiana,7,+1,,,,7,,,20200315000022
Paraguay,7,+1,,,,7,1,1.0,20200315000022
Kazakhstan,6,+2,,,,6,,0.3,20200315000022
Réunion,6,+1,,,,6,,,20200315000022
Turkey,6,+1,,,,6,,0.1,20200315000022
Bangladesh,5,+2,,,2,3,,,20200315000022
Cuba,4,,,,,4,,0.4,20200315000022
Liechtenstein,4,,,,,4,,,20200315000022
Uruguay,4,,,,,4,,1.2,20200315000022
Ukraine,3,,1,,,2,,0.1,20200315000022
Channel Islands,3,,,,,3,,,20200315000022
French Polynesia,3,,,,,3,,,20200315000022
Guadeloupe,3,+2,,,,3,,,20200315000022
Honduras,3,+1,,,,3,,0.3,20200315000022
Puerto Rico,3,,,,,3,,1.0,20200315000022
Monaco,2,,,,,2,,,20200315000022
Nigeria,2,,,,,2,,,20200315000022
Aruba,2,,,,,2,,,20200315000022
Burkina Faso,2,,,,,2,,0.1,20200315000022
Cameroon,2,,,,,2,,0.1,20200315000022
DRC,2,,,,,2,,,20200315000022
Ghana,2,,,,,2,,0.1,20200315000022
Namibia,2,+2,,,,2,,0.8,20200315000022
Saint Martin,2,,,,,2,,,20200315000022
Seychelles,2,+2,,,,2,,,20200315000022
Trinidad and Tobago,2,+1,,,,2,,1.4,20200315000022
Venezuela,2,,,,,2,,0.1,20200315000022
Guyana,1,,1,,,0,,,20200315000022
Sudan,1,,1,,,0,,,20200315000022
Andorra,1,,,,,1,,,20200315000022
Jordan,1,,,,1,0,,0.1,20200315000022
Nepal,1,,,,1,0,,,20200315000022
Antigua and Barbuda,1,,,,,1,,,20200315000022
Bhutan,1,,,,,1,,,20200315000022
Cayman Islands,1,,,,,1,,,20200315000022
Ivory Coast,1,,,,,1,,,20200315000022
Curaçao,1,,,,,1,,,20200315000022
Ethiopia,1,,,,,1,,,20200315000022
Gabon,1,,,,,1,,0.4,20200315000022
Gibraltar,1,,,,1,0,,,20200315000022
Guatemala,1,,,,,1,,0.1,20200315000022
Guinea,1,,,,,1,,0.1,20200315000022
Vatican City,1,,,,,1,,,20200315000022
Kenya,1,,,,,1,,,20200315000022
Mauritania,1,,,,,1,,0.2,20200315000022
Mayotte,1,+1,,,,1,,,20200315000022
Mongolia,1,,,,,1,,0.3,20200315000022
Rwanda,1,+1,,,,1,,0.1,20200315000022
St. Barth,1,,,,,1,,,20200315000022
Saint Lucia,1,,,,,1,,,20200315000022
St. Vincent Grenadines,1,,,,,1,,,20200315000022
Suriname,1,,,,,1,,,20200315000022
Eswatini,1,+1,,,,1,,0.9,20200315000022
Togo,1,,,,,1,,0.1,20200315000022
U.S. Virgin Islands,1,+1,,,,1,,,20200315000022
Total:,"156,433","10,951","5,821",392,"74,466","76,146","5,909",20.1,20200315000022
