"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,824",,"3,189",,"65,578","12,057","3,610",56.2,20200315000022
Italy,"21,157","+3,497","1,441",+175,"1,966","17,750","1,518",349.9,20200315000022
Iran,"12,729","+1,365",611,+97,"4,339","7,779",,151.5,20200315000022
S. Korea,"8,086",+107,72,+5,714,"7,300",59,157.7,20200315000022
Spain,"6,391","+1,159",195,+62,517,"5,679",293,136.7,20200315000022
Germany,"4,599",+924,9,+1,46,"4,544",9,54.9,20200315000022
France,"4,469",+808,91,+12,12,"4,366",154,68.5,20200315000022
USA,"2,836",+589,57,+8,49,"2,730",10,8.6,20200315000022
Switzerland,"1,375",+236,13,+2,4,"1,358",,158.9,20200315000022
UK,"1,140",+342,21,+10,18,"1,101",20,16.8,20200315000022
Norway,"1,108",+112,3,+2,1,"1,104",27,204.4,20200315000022
Sweden,961,+147,2,+1,1,958,2,95.2,20200315000022
Netherlands,959,+155,12,+2,2,945,45,56.0,20200315000022
Denmark,827,+23,1,+1,1,825,2,142.8,20200315000022
Japan,804,+70,22,+1,144,638,35,6.4,20200315000022
Diamond Princess,696,,7,,456,233,15,,20200315000022
Belgium,689,+130,4,+1,1,684,24,59.4,20200315000022
Austria,655,+151,1,,6,648,1,72.7,20200315000022
Qatar,337,+17,,,4,333,,117.0,20200315000022
Australia,248,+49,3,,27,218,1,9.7,20200315000022
Canada,247,+49,1,,11,235,1,6.5,20200315000022
Malaysia,238,+41,,,35,203,4,7.4,20200315000022
Greece,228,+38,3,+2,8,217,5,21.9,20200315000022
Finland,225,+70,,,10,215,,40.6,20200315000022
Bahrain,212,+2,,,60,152,2,124.6,20200315000022
Singapore,212,+12,,,105,107,11,36.2,20200315000022
Israel,193,+50,,,4,189,3,22.3,20200315000022
Czechia,189,+48,,,,189,2,17.6,20200315000022
Slovenia,181,+40,1,+1,,180,3,87.1,20200315000022
Portugal,169,+57,,,2,167,10,16.6,20200315000022
Iceland,161,+27,,,,161,1,,20200315000022
Brazil,151,,,,1,150,2,0.7,20200315000022
Hong Kong,142,+10,4,,81,57,4,18.9,20200315000022
