"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"80,282",+12,"2,981",,"27,280","50,021","6,416",20200305000656
S. Korea,"5,621",+435,35,+3,"5,545",41,52,20200305000656
Italy,"3,089",+587,107,+28,"2,706",276,295,20200305000656
Iran,"2,922",+586,92,+15,"2,278",552,,20200305000656
Diamond Princess,706,,6,,488,212,35,20200305000656
Japan,331,+38,6,,282,43,29,20200305000656
France,285,+73,4,,269,12,15,20200305000656
Germany,262,+59,,,246,16,2,20200305000656
Spain,228,+63,2,+1,224,2,7,20200305000656
USA,158,+34,11,+2,138,9,8,20200305000656
Singapore,110,,,,32,78,7,20200305000656
Hong Kong,103,+2,2,,64,37,6,20200305000656
Switzerland,93,+35,,,90,3,,20200305000656
U.K.,87,+36,,,79,8,,20200305000656
Norway,59,+26,,,59,,,20200305000656
Kuwait,56,,,,56,,,20200305000656
Bahrain,52,+3,,,51,1,,20200305000656
Sweden,52,+22,,,51,1,,20200305000656
Australia,50,+11,2,+1,27,21,1,20200305000656
Malaysia,50,+14,,,28,22,,20200305000656
Thailand,43,,1,,12,30,1,20200305000656
Taiwan,42,,1,,29,12,,20200305000656
Netherlands,38,+15,,,38,,1,20200305000656
Iraq,35,+3,2,+2,33,,,20200305000656
Canada,33,+3,,,26,7,,20200305000656
Austria,29,+5,,,29,,,20200305000656
India,29,+22,,,26,3,,20200305000656
U.A.E.,28,+1,,,23,5,2,20200305000656
Iceland,26,+12,,,25,1,,20200305000656
Belgium,23,+8,,,22,1,1,20200305000656
Algeria,17,+9,,,17,,,20200305000656
San Marino,16,+6,1,,15,,3,20200305000656
Vietnam,16,,,,0,16,,20200305000656
Denmark,15,+5,,,15,,,20200305000656
Israel,15,+3,,,14,1,,20200305000656
Lebanon,15,+2,,,15,,1,20200305000656
Oman,15,+3,,,13,2,,20200305000656
Macao,10,,,,1,9,,20200305000656
Croatia,10,+1,,,10,,,20200305000656
Ecuador,10,+3,,,10,,1,20200305000656
Greece,9,+2,,,9,,,20200305000656
Czechia,8,+3,,,8,,,20200305000656
Qatar,8,,,,8,,,20200305000656
Finland,7,,,,6,1,,20200305000656
Belarus,6,+2,,,6,,,20200305000656
Ireland,6,+4,,,6,,,20200305000656
Mexico,6,,,,5,1,,20200305000656
Portugal,6,+2,,,6,,,20200305000656
Romania,6,+2,,,5,1,,20200305000656
Pakistan,5,,,,5,,,20200305000656
Senegal,4,+2,,,4,,,20200305000656
Philippines,3,,1,,0,2,,20200305000656
Azerbaijan,3,,,,3,,,20200305000656
Brazil,3,+1,,,3,,,20200305000656
Georgia,3,,,,3,,,20200305000656
New Zealand,3,+1,,,3,,,20200305000656
Russia,3,,,,1,2,,20200305000656
Chile,3,+2,,,3,,,20200305000656
Egypt,2,,,,1,1,,20200305000656
Estonia,2,,,,2,,,20200305000656
Indonesia,2,,,,2,,,20200305000656
Saudi Arabia,2,+1,,,2,,,20200305000656
Hungary,2,+2,,,2,,,20200305000656
Afghanistan,1,,,,1,,,20200305000656
Andorra,1,,,,1,,,20200305000656
Armenia,1,,,,1,,,20200305000656
Cambodia,1,,,,0,1,,20200305000656
Dominican Republic,1,,,,1,,,20200305000656
Jordan,1,,,,1,,,20200305000656
Latvia,1,,,,1,,,20200305000656
Lithuania,1,,,,1,,,20200305000656
Luxembourg,1,,,,1,,,20200305000656
North Macedonia,1,,,,1,,,20200305000656
Monaco,1,,,,1,,,20200305000656
Morocco,1,,,,1,,,20200305000656
Nepal,1,,,,0,1,,20200305000656
Nigeria,1,,,,1,,,20200305000656
Sri Lanka,1,,,,0,1,,20200305000656
Tunisia,1,,,,1,,,20200305000656
Ukraine,1,,,,1,,,20200305000656
Argentina,1,,,,1,,,20200305000656
Liechtenstein,1,,,,1,,,20200305000656
Poland,1,+1,,,1,,,20200305000656
Slovenia,1,+1,,,1,,,20200305000656
Total:,"95,184","2,163","3,254",52,"40,477","51,453","6,883",20200305000656
