"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"80,152",+1,"2,945",+2,"29,770","47,437","6,806",20200304001942
S. Korea,"5,186",+851,34,+6,"5,118",34,27,20200304001942
Italy,"2,502",+466,79,+27,"2,263",160,229,20200304001942
Iran,"2,336",+835,77,+11,"1,824",435,,20200304001942
Diamond Princess,706,,6,,600,100,36,20200304001942
Japan,293,+19,6,,244,43,23,20200304001942
France,212,+21,4,+1,196,12,8,20200304001942
Germany,196,+31,,,180,16,2,20200304001942
Spain,165,+45,1,+1,162,2,3,20200304001942
USA,118,+18,9,+3,100,9,7,20200304001942
Singapore,110,+2,,,32,78,7,20200304001942
Hong Kong,101,+1,2,,62,37,6,20200304001942
Switzerland,58,+28,,,56,2,,20200304001942
Kuwait,56,,,,56,,,20200304001942
U.K.,51,+12,,,43,8,,20200304001942
Bahrain,49,,,,49,,,20200304001942
Thailand,43,,1,,12,30,1,20200304001942
Taiwan,42,+1,1,,29,12,1,20200304001942
Australia,39,+6,1,,23,15,1,20200304001942
Malaysia,36,+7,,,14,22,,20200304001942
Norway,33,+8,,,33,,,20200304001942
Iraq,32,+5,,,32,,,20200304001942
Canada,30,+3,,,23,7,,20200304001942
Sweden,30,+15,,,29,1,,20200304001942
U.A.E.,27,+6,,,22,5,2,20200304001942
Austria,24,+6,,,24,,,20200304001942
Netherlands,23,+5,,,23,,1,20200304001942
Vietnam,16,,,,0,16,,20200304001942
Belgium,13,+5,,,12,1,,20200304001942
Lebanon,13,,,,13,,,20200304001942
Israel,12,,,,11,1,,20200304001942
Oman,12,+6,,,10,2,,20200304001942
Iceland,11,+2,,,10,1,,20200304001942
San Marino,10,+2,1,,9,,1,20200304001942
Macao,10,,,,1,9,,20200304001942
Denmark,10,+6,,,10,,,20200304001942
Croatia,9,+1,,,9,,,20200304001942
Algeria,8,+3,,,8,,,20200304001942
Qatar,8,+1,,,8,,,20200304001942
Ecuador,7,+1,,,7,,1,20200304001942
Finland,7,,,,6,1,,20200304001942
Greece,7,,,,7,,,20200304001942
India,6,,,,3,3,,20200304001942
Mexico,6,,,,5,1,,20200304001942
Czechia,5,+1,,,5,,,20200304001942
Pakistan,5,+1,,,5,,,20200304001942
Portugal,4,+2,,,4,,,20200304001942
Romania,4,+1,,,3,1,,20200304001942
Philippines,3,,1,,0,2,,20200304001942
Azerbaijan,3,,,,3,,,20200304001942
Georgia,3,,,,3,,,20200304001942
Russia,3,,,,1,2,,20200304001942
Brazil,2,,,,2,,,20200304001942
Egypt,2,,,,1,1,,20200304001942
Estonia,2,+1,,,2,,,20200304001942
Indonesia,2,,,,2,,,20200304001942
Ireland,2,+1,,,2,,,20200304001942
Senegal,2,+1,,,2,,,20200304001942
Afghanistan,1,,,,1,,,20200304001942
Andorra,1,,,,1,,,20200304001942
Armenia,1,,,,1,,,20200304001942
Belarus,1,,,,1,,,20200304001942
Cambodia,1,,,,0,1,,20200304001942
Dominican Republic,1,,,,1,,,20200304001942
Jordan,1,,,,1,,,20200304001942
Latvia,1,,,,1,,,20200304001942
Lithuania,1,,,,1,,,20200304001942
Luxembourg,1,,,,1,,,20200304001942
North Macedonia,1,,,,1,,,20200304001942
Monaco,1,,,,1,,,20200304001942
Morocco,1,,,,1,,,20200304001942
Nepal,1,,,,0,1,,20200304001942
New Zealand,1,,,,1,,,20200304001942
Nigeria,1,,,,1,,,20200304001942
Saudi Arabia,1,,,,1,,,20200304001942
Sri Lanka,1,,,,0,1,,20200304001942
Tunisia,1,,,,1,,,20200304001942
Ukraine,1,+1,,,1,,,20200304001942
Argentina,1,+1,,,1,,,20200304001942
Chile,1,+1,,,1,,,20200304001942
Liechtenstein,1,+1,,,1,,,20200304001942
Total:,"92,880","2,431","3,168",51,"41,203","48,509","7,162",20200304001942
