"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,928",,"3,245",,"70,420","7,263","2,274",56,20200320000033
Italy,"41,035","+5,322","3,405",+427,"4,440","33,190","2,498",679,20200320000033
Iran,"18,407","+1,046","1,284",+149,"5,979","11,144",,219,20200320000033
Spain,"18,077","+3,308",831,+193,"1,107","16,139",939,387,20200320000033
Germany,"15,320","+2,993",44,+16,115,"15,161",2,183,20200320000033
USA,"13,816","+4,557",207,+57,108,"13,501",64,42,20200320000033
France,"10,995","+1,861",372,+108,"1,295","9,328","1,122",168,20200320000033
S. Korea,"8,565",+152,91,+7,"1,947","6,527",59,167,20200320000033
Switzerland,"4,222","+1,107",43,+10,15,"4,164",,488,20200320000033
UK,"3,269",+643,144,+40,65,"3,060",20,48,20200320000033
Netherlands,"2,460",+409,76,+18,2,"2,382",45,144,20200320000033
Austria,"2,179",+533,6,+2,9,"2,164",13,242,20200320000033
Belgium,"1,795",+309,21,+7,165,"1,609",130,155,20200320000033
Norway,"1,790",+199,7,+1,1,"1,782",27,330,20200320000033
Sweden,"1,439",+138,11,+1,16,"1,412",21,142,20200320000033
Denmark,"1,151",+94,6,+2,1,"1,144",30,199,20200320000033
Japan,943,+29,33,+4,191,719,46,7,20200320000033
Malaysia,900,+110,2,,75,823,15,28,20200320000033
Canada,873,+146,12,+3,11,850,1,23,20200320000033
Portugal,786,+144,4,+2,4,778,20,77,20200320000033
Australia,756,+160,7,+1,46,703,1,30,20200320000033
Diamond Princess,712,,7,,527,178,14,,20200320000033
Czechia,694,+172,,,3,691,6,65,20200320000033
Israel,677,+244,,,14,663,6,78,20200320000033
Brazil,640,+111,7,+3,2,631,18,3,20200320000033
Ireland,557,+191,3,+1,5,549,6,113,20200320000033
Greece,464,+46,6,+1,19,439,16,45,20200320000033
Qatar,460,+8,,,10,450,6,160,20200320000033
Pakistan,454,+147,2,,13,439,,2,20200320000033
Finland,400,+41,,,10,390,2,72,20200320000033
Turkey,359,+168,4,+2,,355,,4,20200320000033
Poland,355,+68,5,,13,337,3,9,20200320000033
Singapore,345,+32,,,124,221,14,59,20200320000033
Chile,342,+104,,,,342,6,18,20200320000033
Luxembourg,335,+132,4,+2,6,325,1,535,20200320000033
Iceland,330,+80,,,5,325,1,967,20200320000033
Slovenia,319,+33,1,,,318,6,153,20200320000033
Indonesia,308,+81,25,+6,15,268,,1,20200320000033
Bahrain,278,+22,1,,110,167,4,163,20200320000033
Romania,277,+17,,,25,252,5,14,20200320000033
Saudi Arabia,274,+36,,,8,266,,8,20200320000033
Thailand,272,+60,1,,42,229,1,4,20200320000033
Estonia,267,+9,,,1,266,1,201,20200320000033
Ecuador,260,+92,3,,1,256,2,15,20200320000033
Egypt,256,+46,7,+1,42,207,,3,20200320000033
Peru,234,+89,1,+1,1,232,7,7,20200320000033
Philippines,217,+15,17,,8,192,1,2,20200320000033
Hong Kong,208,+15,4,,98,106,4,28,20200320000033
Russia,199,+52,1,+1,8,190,,1,20200320000033
India,194,+25,4,+1,20,170,,0.1,20200320000033
Iraq,192,+28,13,+1,49,130,,5,20200320000033
Lebanon,157,+24,4,,4,149,3,23,20200320000033
South Africa,150,+34,,,,150,,3,20200320000033
Kuwait,148,+6,,,18,130,5,35,20200320000033
San Marino,144,+4,14,,4,126,12,"4,244",20200320000033
UAE,140,+27,,,31,109,2,14,20200320000033
Panama,137,+28,1,,1,135,7,32,20200320000033
Argentina,128,+31,3,+1,3,122,,3,20200320000033
Slovakia,124,+19,,,,124,2,23,20200320000033
Armenia,122,+12,,,1,121,2,41,20200320000033
Mexico,118,+25,1,+1,4,113,1,0.9,20200320000033
Croatia,110,+21,1,+1,5,104,,27,20200320000033
