"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"81,093",,"3,270",,"72,703","5,120","1,749",56,20200324000043
Italy,"63,927","+4,789","6,077",+601,"7,432","50,418","3,204","1,057",20200324000043
USA,"43,469","+9,903",545,+132,295,"42,629","1,040",131,20200324000043
Spain,"35,136","+6,368","2,311",+539,"3,355","29,470","2,355",751,20200324000043
Germany,"29,056","+4,183",123,+29,453,"28,480",23,347,20200324000043
Iran,"23,049","+1,411","1,812",+127,"8,376","12,861",,274,20200324000043
France,"19,856","+3,838",860,+186,"2,200","16,796","2,082",304,20200324000043
S. Korea,"8,961",+64,111,+7,"3,166","5,684",59,175,20200324000043
Switzerland,"8,795","+1,321",120,+22,131,"8,544",141,"1,016",20200324000043
UK,"6,650",+967,335,+54,135,"6,180",20,98,20200324000043
Netherlands,"4,749",+545,213,+34,2,"4,534",435,277,20200324000043
Austria,"4,474",+892,21,+5,9,"4,444",14,497,20200324000043
Belgium,"3,743",+342,88,+13,401,"3,254",322,323,20200324000043
Norway,"2,621",+236,10,+3,6,"2,605",41,483,20200324000043
Canada,"2,091",+621,24,+4,320,"1,747",1,55,20200324000043
Portugal,"2,060",+460,23,+9,14,"2,023",47,202,20200324000043
Sweden,"2,046",+112,25,+4,16,"2,005",104,203,20200324000043
Brazil,"1,924",+378,34,+9,2,"1,888",18,9,20200324000043
Australia,"1,887",+278,7,,118,"1,762",11,74,20200324000043
Turkey,"1,529",+293,37,+7,,"1,492",,18,20200324000043
Malaysia,"1,518",+212,14,+4,159,"1,345",57,47,20200324000043
Denmark,"1,450",+55,24,+11,1,"1,425",55,250,20200324000043
Israel,"1,442",+371,1,,41,"1,400",29,167,20200324000043
Czechia,"1,236",+116,1,,7,"1,228",19,115,20200324000043
Japan,"1,128",+27,42,+1,235,851,49,9,20200324000043
Ireland,"1,125",+219,6,+2,5,"1,114",29,228,20200324000043
Ecuador,981,+192,18,+4,3,960,2,56,20200324000043
Luxembourg,875,+77,8,,6,861,3,"1,398",20200324000043
Pakistan,875,+99,6,+1,13,856,,4,20200324000043
Poland,749,+115,8,+1,13,728,3,20,20200324000043
Chile,746,+114,2,+1,11,733,7,39,20200324000043
Thailand,721,+122,1,,52,668,7,10,20200324000043
Diamond Princess,712,,8,,567,137,15,,20200324000043
Finland,700,+74,1,,10,689,13,126,20200324000043
Greece,695,+71,17,+2,29,649,35,67,20200324000043
Iceland,588,+20,1,,51,536,14,"1,723",20200324000043
Indonesia,579,+65,49,+1,30,500,,2,20200324000043
Romania,576,+143,7,+4,73,496,15,30,20200324000043
Saudi Arabia,562,+51,,,19,543,,16,20200324000043
Singapore,509,+54,2,,152,355,14,87,20200324000043
Qatar,501,+7,,,33,468,6,174,20200324000043
India,499,+103,10,+3,34,455,,0.4,20200324000043
Philippines,462,+82,33,+8,18,411,1,4,20200324000043
Slovenia,442,+28,3,+1,,439,12,213,20200324000043
Russia,438,+71,1,,17,420,,3,20200324000043
South Africa,402,+128,,,4,398,,7,20200324000043
Peru,395,+32,5,,1,389,19,12,20200324000043
Bahrain,377,+43,2,,164,211,3,222,20200324000043
Egypt,366,+39,19,+5,68,279,,4,20200324000043
Hong Kong,356,+38,4,,100,252,4,47,20200324000043
Estonia,352,+26,,,4,348,4,265,20200324000043
Panama,345,+32,6,+3,1,338,33,80,20200324000043
Mexico,316,+65,3,+1,4,309,1,2,20200324000043
Croatia,315,+61,1,,5,309,5,77,20200324000043
Argentina,301,+35,4,,51,246,,7,20200324000043
Colombia,277,+46,3,+1,3,271,,5,20200324000043
Lebanon,267,+19,4,,8,255,4,39,20200324000043
Iraq,266,+33,23,+3,62,181,,7,20200324000043
Serbia,249,+27,3,+1,3,243,12,28,20200324000043
Dominican Republic,245,+43,3,,3,239,,23,20200324000043
Armenia,235,+41,,,2,233,6,79,20200324000043
Algeria,230,+29,17,,65,148,,5,20200324000043
Bulgaria,201,+14,3,,3,195,8,29,20200324000043
UAE,198,+45,2,,41,155,2,20,20200324000043
Taiwan,195,+26,2,,28,165,,8,20200324000043
Kuwait,189,+1,,,30,159,5,44,20200324000043
San Marino,187,+12,20,,4,163,13,"5,511",20200324000043
Slovakia,186,+1,,,7,179,2,34,20200324000043
Latvia,180,+41,,,1,179,,95,20200324000043
Lithuania,179,+36,1,,1,177,1,66,20200324000043
Hungary,167,+36,7,+1,16,144,6,17,20200324000043
Uruguay,162,+4,,,,162,3,47,20200324000043
Costa Rica,158,+24,2,,2,154,2,31,20200324000043
Morocco,143,+28,4,,5,134,1,4,20200324000043
North Macedonia,136,+21,2,+1,1,133,1,65,20200324000043
Bosnia and Herzegovina,136,+10,1,,2,133,1,41,20200324000043
Andorra,133,+20,1,,1,131,2,"1,721",20200324000043
Jordan,127,+15,,,1,126,,12,20200324000043
Vietnam,123,+10,,,17,106,2,1,20200324000043
Faeroe Islands,118,+3,,,23,95,,"2,415",20200324000043
Cyprus,116,+21,1,,3,112,3,96,20200324000043
Moldova,109,+15,1,,2,106,3,27,20200324000043
Malta,107,+17,,,2,105,1,242,20200324000043
Albania,104,+15,4,+2,2,98,2,36,20200324000043
New Zealand,102,,,,,102,,21,20200324000043
Burkina Faso,99,+24,4,,5,90,,5,20200324000043
Sri Lanka,97,+15,,,2,95,2,5,20200324000043
Brunei,91,+3,,,2,89,2,208,20200324000043
Tunisia,89,+14,3,,1,85,11,8,20200324000043
Cambodia,87,+3,,,2,85,1,5,20200324000043
Belarus,81,+5,,,22,59,,9,20200324000043
Senegal,79,+12,,,8,71,,5,20200324000043
Venezuela,77,+7,,,15,62,2,3,20200324000043
Ukraine,73,,3,,1,69,,2,20200324000043
Azerbaijan,72,+7,1,,10,61,3,7,20200324000043
Réunion,71,+7,,,1,70,,79,20200324000043
Oman,66,+11,,,17,49,,13,20200324000043
Guadeloupe,62,+4,1,,,61,4,155,20200324000043
Kazakhstan,62,+2,,,,62,,3,20200324000043
Georgia,61,+7,,,8,53,1,15,20200324000043
Palestine,59,,,,17,42,,12,20200324000043
Cameroon,56,+16,,,2,54,,2,20200324000043
Martinique,53,+9,1,,,52,7,141,20200324000043
Liechtenstein,51,+14,,,,51,,"1,338",20200324000043
Trinidad and Tobago,51,+1,,,,51,,36,20200324000043
Uzbekistan,46,+3,,,,46,,1,20200324000043
Afghanistan,40,,1,,1,38,,1,20200324000043
Cuba,40,+5,1,,,39,3,4,20200324000043
Nigeria,40,+10,1,+1,2,37,,0.2,20200324000043
Mauritius,36,+8,2,,,34,1,28,20200324000043
DRC,36,+6,1,,,35,,0.4,20200324000043
Channel Islands,36,+4,,,,36,,207,20200324000043
Rwanda,36,+17,,,,36,,3,20200324000043
Bangladesh,33,+6,3,+1,5,25,,0.2,20200324000043
Puerto Rico,31,+8,2,+1,1,28,,11,20200324000043
Honduras,30,+4,,,,30,,3,20200324000043
Guam,29,+2,1,,,28,,172,20200324000043
Ghana,27,+4,2,+1,,25,,0.9,20200324000043
Montenegro,27,+6,1,+1,,26,,43,20200324000043
Bolivia,27,+3,,,,27,,2,20200324000043
Macao,25,+3,,,10,15,,39,20200324000043
Ivory Coast,25,+11,,,2,23,,0.9,20200324000043
Mayotte,24,+13,,,,24,,88,20200324000043
Monaco,23,,,,1,22,,586,20200324000043
Paraguay,22,,1,,,21,1,3,20200324000043
Guatemala,20,+1,1,,,19,,1,20200324000043
Guyana,20,+1,1,,,19,,25,20200324000043
French Guiana,20,+2,,,6,14,,67,20200324000043
Jamaica,19,,1,,2,16,,6,20200324000043
French Polynesia,18,,,,,18,,64,20200324000043
Togo,18,+2,,,,18,,2,20200324000043
Barbados,17,+3,,,,17,,59,20200324000043
U.S. Virgin Islands,17,+11,,,,17,,163,20200324000043
Kenya,16,+1,,,,16,,0.3,20200324000043
Kyrgyzstan,16,+2,,,,16,,2,20200324000043
Gibraltar,15,,,,5,10,,445,20200324000043
Isle of Man,13,+8,,,,13,,153,20200324000043
Maldives,13,,,,5,8,,24,20200324000043
Madagascar,12,+9,,,,12,,0.4,20200324000043
Tanzania,12,,,,,12,,0.2,20200324000043
Ethiopia,11,,,,,11,,0.10,20200324000043
Mongolia,10,,,,,10,,3,20200324000043
Aruba,9,,,,1,8,,84,20200324000043
Equatorial Guinea,9,+3,,,,9,,6,20200324000043
Uganda,9,+8,,,,9,,0.2,20200324000043
New Caledonia,8,+4,,,,8,,28,20200324000043
Saint Martin,8,+3,,,,8,,207,20200324000043
Seychelles,7,,,,,7,,71,20200324000043
Bermuda,6,,,,,6,,96,20200324000043
Haiti,6,+4,,,,6,,0.5,20200324000043
Cayman Islands,5,+2,1,,,4,,76,20200324000043
Gabon,5,,1,,,4,,2,20200324000043
Benin,5,+3,,,,5,,0.4,20200324000043
Suriname,5,,,,,5,,9,20200324000043
Curaçao,4,+1,1,,,3,,24,20200324000043
Bahamas,4,,,,,4,,10,20200324000043
Congo,4,+1,,,,4,,0.7,20200324000043
Greenland,4,,,,,4,,70,20200324000043
Guinea,4,+2,,,,4,,0.3,20200324000043
Namibia,4,+1,,,,4,,2,20200324000043
Eswatini,4,,,,,4,,3,20200324000043
Zimbabwe,3,,1,+1,,2,,0.2,20200324000043
Angola,3,+1,,,,3,,0.09,20200324000043
Antigua and Barbuda,3,+2,,,,3,,31,20200324000043
