"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Croatia,12,,,,,12,,2.9,20200309000438
Saudi Arabia,11,+4,,,1,10,,0.3,20200309000438
Poland,11,+5,,,,11,1,0.3,20200309000438
Philippines,10,+4,1,,2,7,1,0.1,20200309000438
Macao,10,,,,10,0,,,20200309000438
Estonia,10,,,,,10,,7.5,20200309000438
Chile,10,+3,,,,10,,0.5,20200309000438
Azerbaijan,9,,,,,9,,0.9,20200309000438
Mexico,7,+1,,,1,6,1,0.1,20200309000438
Pakistan,7,+1,,,1,6,,,20200309000438
Hungary,7,+2,,,,7,,0.7,20200309000438
Belarus,6,,,,,6,,0.6,20200309000438
Indonesia,6,+2,,,,6,,,20200309000438
Peru,6,,,,,6,,0.2,20200309000438
Dominican Republic,5,+3,,,,5,,0.5,20200309000438
Luxembourg,5,+1,,,,5,,,20200309000438
New Zealand,5,,,,,5,,1.0,20200309000438
Costa Rica,5,+4,,,,5,1,1.0,20200309000438
French Guiana,5,,,,,5,,,20200309000438
Slovakia,5,+2,,,,5,,0.9,20200309000438
Afghanistan,4,,,,,4,,0.1,20200309000438
Senegal,4,,,,1,3,,0.2,20200309000438
Bulgaria,4,+2,,,,4,,0.6,20200309000438
Maldives,4,+2,,,,4,,,20200309000438
Latvia,3,+2,,,1,2,,1.6,20200309000438
North Macedonia,3,,,,,3,,1.4,20200309000438
Bangladesh,3,+3,,,,3,,,20200309000438
Bosnia and Herzegovina,3,,,,,3,,0.9,20200309000438
Malta,3,,,,,3,,,20200309000438
South Africa,3,+1,,,,3,,0.1,20200309000438
Cambodia,2,,,,1,1,,0.1,20200309000438
Morocco,2,,,,,2,1,0.1,20200309000438
Tunisia,2,+1,,,,2,,0.2,20200309000438
Cameroon,2,,,,,2,,0.1,20200309000438
Faeroe Islands,2,,,,,2,,,20200309000438
Andorra,1,,,,,1,,,20200309000438
Armenia,1,,,,,1,,0.3,20200309000438
Jordan,1,,,,,1,,0.1,20200309000438
Lithuania,1,,,,,1,,0.4,20200309000438
Monaco,1,,,,,1,,,20200309000438
Nepal,1,,,,1,0,,,20200309000438
Nigeria,1,,,,,1,,,20200309000438
Sri Lanka,1,,,,1,0,,,20200309000438
Ukraine,1,,,,,1,,,20200309000438
Bhutan,1,,,,,1,,,20200309000438
Colombia,1,,,,,1,,,20200309000438
Gibraltar,1,,,,1,0,1,,20200309000438
Vatican City,1,,,,,1,,,20200309000438
Liechtenstein,1,,,,,1,,,20200309000438
Moldova,1,,,,,1,,0.2,20200309000438
Paraguay,1,,,,,1,,0.1,20200309000438
Serbia,1,,,,,1,,0.1,20200309000438
Togo,1,,,,,1,,0.1,20200309000438
Total:,"109,936","3,843","3,806",207,"60,979","45,151","6,129",14.1,20200309000438
