"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,703",+8,"3,098",+1,"57,339","20,266","5,264",56.1,20200309000438
Italy,"7,375","+1,492",366,+133,622,"6,387",650,122.0,20200309000438
S. Korea,"7,313",+272,50,+2,130,"7,133",36,142.6,20200309000438
Iran,"6,566",+743,194,+49,"2,134","4,238",,78.2,20200309000438
France,"1,209",+260,19,+3,12,"1,178",45,18.5,20200309000438
Germany,"1,040",+240,,,18,"1,022",9,12.4,20200309000438
Diamond Princess,696,,7,,245,444,32,,20200309000438
Spain,674,+149,17,+7,32,625,11,14.4,20200309000438
USA,538,+103,22,+3,15,501,8,1.6,20200309000438
Japan,502,+41,7,+1,76,419,29,4.0,20200309000438
Switzerland,337,+69,2,+1,3,332,,38.9,20200309000438
UK,273,+64,3,+1,18,252,,4.0,20200309000438
Netherlands,265,+77,3,+2,,262,1,15.5,20200309000438
Sweden,203,+42,,,1,202,,20.1,20200309000438
Belgium,200,+31,,,1,199,1,17.3,20200309000438
Norway,176,+20,,,1,175,,32.5,20200309000438
Singapore,150,+12,,,90,60,9,25.6,20200309000438
Hong Kong,115,+7,3,+1,59,53,6,15.3,20200309000438
Austria,104,+23,,,2,102,1,11.5,20200309000438
Malaysia,99,+6,,,24,75,,3.1,20200309000438
Bahrain,85,,,,14,71,,50.0,20200309000438
Australia,80,+6,3,,22,55,1,3.1,20200309000438
Greece,73,+7,,,,73,1,7.0,20200309000438
Canada,64,+4,,,8,56,1,1.7,20200309000438
Kuwait,64,+3,,,1,63,3,15.0,20200309000438
Iraq,60,+6,6,+2,1,53,,1.5,20200309000438
Iceland,58,+8,,,1,57,,,20200309000438
Egypt,55,+7,1,+1,1,53,,0.5,20200309000438
Thailand,50,,1,,31,18,1,0.7,20200309000438
Taiwan,45,,1,,15,29,,1.9,20200309000438
UAE,45,,,,7,38,2,4.5,20200309000438
India,43,+9,,,3,40,,,20200309000438
Israel,39,+14,,,3,36,1,4.5,20200309000438
San Marino,36,+10,1,,,35,5,,20200309000438
Denmark,35,+8,,,1,34,,6.0,20200309000438
Czechia,32,+6,,,,32,,3.0,20200309000438
Lebanon,32,+4,,,1,31,3,4.7,20200309000438
Portugal,30,+9,,,,30,,2.9,20200309000438
Vietnam,30,+10,,,16,14,,0.3,20200309000438
Brazil,25,+6,,,,25,1,0.1,20200309000438
Finland,25,+6,,,1,24,,4.5,20200309000438
Ireland,21,+2,,,,21,,4.3,20200309000438
Algeria,20,+1,,,,20,,0.5,20200309000438
Palestine,19,,,,,19,,3.7,20200309000438
Russia,17,+3,,,3,14,,0.1,20200309000438
Oman,16,,,,2,14,,3.1,20200309000438
Slovenia,16,+4,,,,16,,7.7,20200309000438
Qatar,15,+3,,,,15,,5.2,20200309000438
Romania,15,+2,,,5,10,,0.8,20200309000438
Ecuador,14,,,,,14,1,0.8,20200309000438
Georgia,13,,,,,13,1,3.3,20200309000438
Argentina,12,+3,1,,,11,,0.3,20200309000438
