"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,timestamp
Australia,"5,750",+200,37,+7,"2,315","3,398",91,225,1,"297,154","11,653",20200406000259
Norway,"5,687",+137,71,+9,32,"5,584",89,"1,049",13,"105,865","19,528",20200406000259
Russia,"5,389",+658,45,+2,355,"4,989",8,37,0.3,"697,000","4,776",20200406000259
Ireland,"4,994",+390,158,+21,25,"4,811",165,"1,011",32,"30,213","6,119",20200406000259
Czechia,"4,587",+115,67,+8,96,"4,424",86,428,6,"80,304","7,499",20200406000259
Chile,"4,471",+310,34,+7,618,"3,819",307,234,2,"51,956","2,718",20200406000259
Denmark,"4,369",+292,179,+18,"1,327","2,863",142,754,31,"49,249","8,503",20200406000259
India,"4,288",+700,117,+18,328,"3,843",,3,0.08,"128,320",93,20200406000259
Poland,"4,102",+475,94,+15,134,"3,874",50,108,2,"80,757","2,134",20200406000259
Romania,"3,864",+251,151,+5,374,"3,339",141,201,8,"38,623","2,008",20200406000259
Malaysia,"3,662",+179,61,+4,"1,005","2,596",99,113,2,"51,937","1,605",20200406000259
Japan,"3,654",+515,85,+8,575,"2,994",69,29,0.7,"44,639",353,20200406000259
Ecuador,"3,646",+181,180,+8,100,"3,366",100,207,10,"12,386",702,20200406000259
Philippines,"3,246",+152,152,+8,64,"3,030",1,30,1,"19,585",179,20200406000259
Pakistan,"3,157",+339,47,+6,211,"2,899",18,14,0.2,"34,885",158,20200406000259
Luxembourg,"2,804",+75,36,+5,500,"2,268",33,"4,479",58,"23,687","37,840",20200406000259
Saudi Arabia,"2,402",+223,34,+5,488,"1,880",41,69,1.0,,,20200406000259
Peru,"2,281",+535,83,+10,989,"1,209",81,69,3,"19,410",589,20200406000259
Indonesia,"2,273",+181,198,+7,164,"1,911",,8,0.7,"9,712",36,20200406000259
Thailand,"2,169",+102,23,+3,793,"1,353",23,31,0.3,"25,071",359,20200406000259
Finland,"1,927",+45,28,+3,300,"1,599",73,348,5,"31,714","5,724",20200406000259
Serbia,"1,908",+284,51,+7,54,"1,803",98,218,6,"7,360",842,20200406000259
Mexico,"1,890",+202,79,+19,633,"1,178",1,15,0.6,"15,668",122,20200406000259
Panama,"1,801",,46,,13,"1,742",75,417,11,"9,256","2,145",20200406000259
UAE,"1,799",+294,10,,144,"1,645",1,182,1,"220,000","22,244",20200406000259
Dominican Republic,"1,745",+167,82,+5,17,"1,646",147,161,8,"4,542",419,20200406000259
Greece,"1,735",+62,73,+5,78,"1,584",93,166,7,"25,453","2,442",20200406000259
South Africa,"1,655",+70,11,+2,95,"1,549",7,28,0.2,"56,873",959,20200406000259
Qatar,"1,604",+279,4,+1,123,"1,477",37,557,1,"35,757","12,411",20200406000259
Argentina,"1,554",+103,46,+3,280,"1,228",86,34,1,"8,488",188,20200406000259
Iceland,"1,486",+69,4,,428,"1,054",11,"4,355",12,"25,394","74,416",20200406000259
Colombia,"1,485",+79,35,+3,88,"1,362",50,29,0.7,"23,706",466,20200406000259
Algeria,"1,320",+69,152,+22,90,"1,078",46,30,3,"3,359",77,20200406000259
Singapore,"1,309",+120,6,,320,983,25,224,1,"39,000","6,666",20200406000259
Ukraine,"1,308",+83,37,+5,28,"1,243",16,30,0.8,"5,493",126,20200406000259
Croatia,"1,182",+56,15,+3,125,"1,042",39,288,4,"10,847","2,642",20200406000259
Egypt,"1,173",+103,78,+7,247,848,,11,0.8,"25,000",244,20200406000259
Estonia,"1,097",+58,15,+2,62,"1,020",17,827,11,"21,004","15,834",20200406000259
New Zealand,"1,039",+89,1,,156,882,3,215,0.2,"36,209","7,509",20200406000259
Morocco,"1,021",+102,70,+11,76,875,1,28,2,"4,848",131,20200406000259
Slovenia,997,+20,28,+6,79,890,31,480,13,"27,764","13,355",20200406000259
Iraq,961,+83,61,+5,279,621,,24,2,,,20200406000259
Hong Kong,890,+28,4,,206,680,8,119,0.5,"96,709","12,900",20200406000259
Moldova,864,+112,15,+3,30,819,80,214,4,,,20200406000259
Armenia,822,+52,7,,57,758,30,277,2,"4,666","1,575",20200406000259
Lithuania,811,+40,13,+2,7,791,11,298,5,"23,645","8,686",20200406000259
Hungary,733,+55,34,+2,66,633,17,76,4,"21,250","2,200",20200406000259
Diamond Princess,712,,11,,619,82,10,,,,,20200406000259
Bahrain,700,+12,4,,431,265,3,411,2,"44,386","26,085",20200406000259
Bosnia and Herzegovina,654,+30,23,+2,30,601,4,199,7,"5,349","1,630",20200406000259
Cameroon,650,+95,9,,17,624,,24,0.3,,,20200406000259
Azerbaijan,584,+63,7,+2,32,545,17,58,0.7,"40,000","3,945",20200406000259
Kazakhstan,584,+53,6,+1,42,536,6,31,0.3,"5,093",271,20200406000259
Tunisia,574,+21,22,+4,5,547,39,49,2,"7,145",605,20200406000259
Belarus,562,+122,8,+3,52,502,11,59,0.8,"32,000","3,386",20200406000259
Kuwait,556,+77,1,,99,456,17,130,0.2,,,20200406000259
North Macedonia,555,+72,18,+1,23,514,15,266,9,"4,920","2,362",20200406000259
Latvia,533,+24,1,,1,531,4,283,0.5,"20,680","10,964",20200406000259
Bulgaria,531,+28,20,+3,37,474,22,76,3,"15,899","2,288",20200406000259
Lebanon,527,+7,18,+1,54,455,28,77,3,"9,411","1,379",20200406000259
Andorra,501,+35,18,+1,26,457,12,"6,484",233,,,20200406000259
Slovakia,485,+14,1,,10,474,3,89,0.2,"15,155","2,776",20200406000259
Costa Rica,454,+19,2,,16,436,14,89,0.4,"5,098","1,001",20200406000259
Cyprus,446,+20,9,,37,400,11,369,7,"10,946","9,066",20200406000259
Uruguay,406,+6,6,+1,104,296,14,117,2,"5,208","1,499",20200406000259
Taiwan,363,+8,5,,54,304,,15,0.2,"37,219","1,563",20200406000259
Albania,361,+28,20,,104,237,7,125,7,"2,396",833,20200406000259
Afghanistan,349,+40,7,,15,327,,9,0.2,,,20200406000259
Burkina Faso,345,+27,17,+1,90,238,,17,0.8,,,20200406000259
Jordan,345,+22,5,,110,230,5,34,0.5,,,20200406000259
Réunion,344,+10,,,40,304,4,384,,,,20200406000259
Uzbekistan,342,+76,2,,30,310,8,10,0.06,,,20200406000259
Cuba,320,+32,8,+2,15,297,11,28,0.7,"5,234",462,20200406000259
Channel Islands,309,+47,6,+1,27,276,,"1,777",35,,,20200406000259
Oman,298,+21,2,,61,235,3,58,0.4,,,20200406000259
Honduras,268,+4,22,+7,6,240,10,27,2,,,20200406000259
San Marino,266,+7,32,,35,199,14,"7,839",943,586,"17,270",20200406000259
Ivory Coast,261,+16,3,+2,37,221,,10,0.1,,,20200406000259
Vietnam,241,+1,,,90,151,3,2,,"88,551",910,20200406000259
Palestine,237,+20,1,,25,211,,46,0.2,"12,738","2,497",20200406000259
Nigeria,232,+18,5,+1,33,194,2,1,0.02,"4,000",19,20200406000259
Mauritius,227,+31,7,,7,213,1,178,6,,,20200406000259
Malta,227,+14,,,5,222,3,514,,"10,358","23,459",20200406000259
Senegal,222,+3,2,,82,138,1,13,0.1,,,20200406000259
Ghana,214,+9,5,,31,178,2,7,0.2,,,20200406000259
Montenegro,214,+13,2,,1,211,4,341,3,"1,583","2,520",20200406000259
Niger,184,+40,10,+2,13,161,,8,0.4,"4,012",166,20200406000259
Faeroe Islands,181,,,,99,82,1,"3,704",,"4,890","100,076",20200406000259
Sri Lanka,176,+10,5,,33,138,5,8,0.2,,,20200406000259
Georgia,174,+12,2,+1,36,136,6,44,0.5,"2,762",692,20200406000259
Venezuela,159,+4,7,,52,100,6,6,0.2,"1,779",63,20200406000259
Bolivia,157,+18,10,,2,145,3,13,0.9,591,51,20200406000259
DRC,154,,18,,3,133,,2,0.2,,,20200406000259
Martinique,149,+4,4,+1,50,95,21,397,11,,,20200406000259
Mayotte,147,+13,2,,14,131,3,539,7,479,"1,756",20200406000259
Kyrgyzstan,147,+3,1,,9,137,5,23,0.2,"9,618","1,474",20200406000259
Kenya,142,+16,4,,4,134,2,3,0.07,"3,836",71,20200406000259
Guadeloupe,135,+1,7,,31,97,14,337,17,,,20200406000259
Brunei,135,,1,,73,61,3,309,2,"8,129","18,581",20200406000259
Isle of Man,127,+1,1,,,126,,"1,494",12,"1,334","15,688",20200406000259
Guinea,121,+10,,,5,116,,9,,,,20200406000259
Cambodia,114,,,,50,64,1,7,,"5,768",345,20200406000259
Trinidad and Tobago,104,+1,7,+1,1,96,,74,5,797,569,20200406000259
Paraguay,104,+8,3,,12,89,2,15,0.4,"1,381",194,20200406000259
Rwanda,104,+2,,,4,100,,8,,,,20200406000259
Gibraltar,103,+5,,,52,51,,"3,057",,"1,345","39,922",20200406000259
Bangladesh,88,+18,9,+1,33,46,1,0.5,0.05,"2,086",13,20200406000259
Liechtenstein,77,,1,,,76,,"2,020",26,900,"23,605",20200406000259
Monaco,73,+7,1,,3,69,4,"1,860",25,,,20200406000259
Madagascar,72,+2,,,2,70,6,3,,,,20200406000259
Guatemala,70,+9,3,+1,15,52,3,4,0.2,"1,134",63,20200406000259
French Guiana,68,+7,,,27,41,1,228,,,,20200406000259
Aruba,64,,,,1,63,,599,,869,"8,139",20200406000259
El Salvador,62,+6,3,,2,57,4,10,0.5,,,20200406000259
Djibouti,59,+9,,,9,50,,60,,,,20200406000259
Jamaica,58,+5,3,,8,47,,20,1,540,182,20200406000259
Barbados,56,+4,1,+1,6,49,4,195,3,527,"1,834",20200406000259
Uganda,52,+4,,,,52,,1,,"2,629",57,20200406000259
Congo,45,+23,5,+3,2,38,,8,0.9,,,20200406000259
Mali,45,+4,5,+2,1,39,,2,0.2,,,20200406000259
Togo,44,+3,3,,20,21,,5,0.4,,,20200406000259
Macao,44,,,,10,34,,68,,,,20200406000259
Ethiopia,43,+5,2,+2,4,37,1,0.4,0.02,"1,843",16,20200406000259
French Polynesia,41,+1,,,,41,,146,,612,"2,179",20200406000259
Cayman Islands,39,+4,1,,1,37,,593,15,365,"5,554",20200406000259
