"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"80,430",+21,"3,013",+1,"25,147","52,270","5,952",20200306001034
S. Korea,"6,088",+467,40,+5,"5,913",135,52,20200306001034
Italy,"3,858",+769,148,+41,"3,296",414,351,20200306001034
Iran,"3,513",+591,108,+16,"2,666",739,,20200306001034
Diamond Princess,696,,6,,478,212,35,20200306001034
Germany,545,+283,,,528,17,2,20200306001034
France,423,+138,7,+3,404,12,23,20200306001034
Japan,364,+33,6,,315,43,29,20200306001034
Spain,282,+54,3,+1,276,3,7,20200306001034
USA,221,+63,12,+1,200,9,8,20200306001034
Switzerland,119,+26,1,+1,115,3,,20200306001034
Singapore,117,+5,,,36,81,7,20200306001034
UK,116,+29,1,+1,97,18,,20200306001034
Hong Kong,105,+2,2,,66,37,6,20200306001034
Sweden,94,+42,,,93,1,,20200306001034
Norway,91,+32,,,91,,,20200306001034
Netherlands,82,+44,,,82,,1,20200306001034
Australia,60,+7,2,,36,22,1,20200306001034
Kuwait,58,+2,,,58,,,20200306001034
Bahrain,55,+3,,,51,4,,20200306001034
Malaysia,55,+5,,,33,22,,20200306001034
Belgium,50,+27,,,49,1,1,20200306001034
Thailand,47,+4,1,,15,31,1,20200306001034
Taiwan,44,+2,1,,31,12,,20200306001034
Austria,43,+14,,,41,2,1,20200306001034
Canada,37,+3,,,29,8,1,20200306001034
Iraq,36,+1,3,+1,33,,,20200306001034
Iceland,35,+9,,,35,,,20200306001034
Greece,31,+22,,,31,,,20200306001034
India,30,+1,,,27,3,,20200306001034
UAE,28,,,,23,5,2,20200306001034
San Marino,21,+5,1,,20,,3,20200306001034
Denmark,20,+5,,,19,1,,20200306001034
Algeria,17,,,,17,,,20200306001034
Israel,17,+2,,,15,2,,20200306001034
Lebanon,16,+1,,,16,,1,20200306001034
Oman,16,+1,,,14,2,,20200306001034
Vietnam,16,,,,0,16,,20200306001034
Ecuador,13,+3,,,13,,1,20200306001034
Ireland,13,+7,,,13,,,20200306001034
Czechia,12,+4,,,12,,,20200306001034
Finland,12,+5,,,11,1,,20200306001034
Macao,10,,,,1,9,,20200306001034
Croatia,10,,,,10,,,20200306001034
Georgia,9,+6,,,9,,1,20200306001034
Portugal,9,+3,,,9,,,20200306001034
Brazil,8,+5,,,8,,,20200306001034
Qatar,8,,,,8,,,20200306001034
Palestine,7,+7,,,7,,,20200306001034
Azerbaijan,6,+3,,,6,,,20200306001034
Belarus,6,,,,6,,,20200306001034
Mexico,6,,,,5,1,,20200306001034
Romania,6,,,,5,1,,20200306001034
Slovenia,6,+5,,,6,,,20200306001034
Estonia,5,+3,,,5,,,20200306001034
Pakistan,5,,,,5,,,20200306001034
Saudi Arabia,5,+3,,,4,1,,20200306001034
New Zealand,4,+1,,,4,,,20200306001034
Russia,4,+1,,,2,2,,20200306001034
Senegal,4,,,,4,,,20200306001034
Chile,4,+1,,,4,,,20200306001034
Hungary,4,+2,,,4,,,20200306001034
Philippines,3,,1,,0,2,,20200306001034
Egypt,3,+1,,,2,1,,20200306001034
Indonesia,2,,,,2,,,20200306001034
Luxembourg,2,+1,,,2,,,20200306001034
Morocco,2,+1,,,2,,1,20200306001034
Argentina,2,+1,,,2,,,20200306001034
Bosnia and Herzegovina,2,+2,,,2,,,20200306001034
Afghanistan,1,,,,1,,,20200306001034
Andorra,1,,,,1,,,20200306001034
Armenia,1,,,,1,,,20200306001034
Cambodia,1,,,,0,1,,20200306001034
Dominican Republic,1,,,,1,,,20200306001034
Jordan,1,,,,1,,,20200306001034
Latvia,1,,,,0,1,,20200306001034
Lithuania,1,,,,1,,,20200306001034
North Macedonia,1,,,,1,,,20200306001034
Monaco,1,,,,1,,,20200306001034
Nepal,1,,,,0,1,,20200306001034
Nigeria,1,,,,1,,,20200306001034
Sri Lanka,1,,,,0,1,,20200306001034
Tunisia,1,,,,1,,,20200306001034
Ukraine,1,,,,1,,,20200306001034
Costa Rica,1,+1,,,1,,,20200306001034
Gibraltar,1,,,,1,,,20200306001034
Liechtenstein,1,,,,1,,,20200306001034
Poland,1,,,,1,,,20200306001034
South Africa,1,+1,,,1,,,20200306001034
Total:,"98,088","2,780","3,356",71,"40,585","54,147","6,487",20200306001034
