"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,790",+12,"3,158",,"61,617","16,015","4,492",56.1,20200312000233
Italy,"12,462","+2,313",827,+196,"1,045","10,590","1,028",206.1,20200312000233
Iran,"9,000",+958,354,+63,"2,959","5,687",,107.2,20200312000233
S. Korea,"7,755",+242,60,,288,"7,407",54,151.3,20200312000233
France,"2,281",+497,48,+15,12,"2,221",105,34.9,20200312000233
Spain,"2,277",+582,55,+19,183,"2,039",126,48.7,20200312000233
Germany,"1,908",+343,3,+1,25,"1,880",9,22.8,20200312000233
USA,"1,301",+307,38,+8,15,"1,248",10,3.9,20200312000233
Diamond Princess,696,,7,,325,364,32,,20200312000233
Switzerland,652,+155,4,+1,4,644,,75.3,20200312000233
Japan,639,+52,15,+3,118,506,26,5.1,20200312000233
Norway,629,+229,,,1,628,,116.0,20200312000233
Denmark,514,+252,,,1,513,,88.7,20200312000233
Netherlands,503,+121,5,+1,,498,1,29.4,20200312000233
Sweden,500,+145,1,+1,1,498,2,49.5,20200312000233
UK,456,+73,8,+2,18,430,,6.7,20200312000233
Belgium,314,+47,3,+3,1,310,2,27.1,20200312000233
Qatar,262,+238,,,,262,,90.9,20200312000233
Austria,246,+64,,,4,242,1,27.3,20200312000233
Bahrain,195,+85,,,35,160,1,114.6,20200312000233
Singapore,178,+12,,,96,82,12,30.4,20200312000233
Malaysia,149,+20,,,26,123,2,4.6,20200312000233
Australia,127,+11,3,,24,100,1,5.0,20200312000233
Hong Kong,126,+5,3,,60,63,6,16.8,20200312000233
Canada,109,+14,1,,9,99,1,2.9,20200312000233
Greece,99,+10,,,,99,2,9.5,20200312000233
Israel,97,+22,,,4,93,2,11.2,20200312000233
Czechia,94,+31,,,,94,,8.8,20200312000233
Iceland,85,+4,,,1,84,,,20200312000233
UAE,74,,,,17,57,2,7.5,20200312000233
Kuwait,72,+3,,,2,70,3,16.9,20200312000233
Iraq,71,,7,,15,49,,1.8,20200312000233
San Marino,62,,2,,,60,5,,20200312000233
India,62,,,,4,58,,,20200312000233
Lebanon,61,+9,2,+1,1,58,3,8.9,20200312000233
Egypt,60,+1,1,,27,32,,0.6,20200312000233
Thailand,59,+6,1,,34,24,1,0.8,20200312000233
Finland,59,+19,,,1,58,,10.6,20200312000233
Portugal,59,+18,,,,59,1,5.8,20200312000233
Slovenia,57,+23,,,,57,,27.4,20200312000233
Brazil,52,+18,,,,52,2,0.2,20200312000233
Philippines,49,+16,2,+1,2,45,1,0.4,20200312000233
Taiwan,48,+1,1,,17,30,,2.0,20200312000233
Romania,47,+18,,,6,41,,2.4,20200312000233
Saudi Arabia,45,+25,,,1,44,,1.3,20200312000233
Ireland,43,+9,1,+1,,42,,8.7,20200312000233
Vietnam,38,+4,,,16,22,,0.4,20200312000233
Indonesia,34,+7,1,+1,2,31,,0.1,20200312000233
Poland,31,+9,,,,31,3,0.8,20200312000233
Palestine,30,+1,,,,30,,5.9,20200312000233
Georgia,24,+1,,,,24,1,6.0,20200312000233
Chile,23,+6,,,,23,,1.2,20200312000233
Algeria,20,,,,,20,,0.5,20200312000233
Russia,20,,,,3,17,,0.1,20200312000233
Argentina,19,,1,,,18,1,0.4,20200312000233
Croatia,19,+4,,,,19,,4.6,20200312000233
Pakistan,19,,,,2,17,,0.1,20200312000233
Oman,18,,,,9,9,,3.5,20200312000233
Ecuador,17,,,,,17,1,1.0,20200312000233
Estonia,16,+3,,,,16,,12.1,20200312000233
Albania,15,+5,1,+1,,14,,5.2,20200312000233
Costa Rica,13,,,,,13,1,2.6,20200312000233
Hungary,13,+1,,,,13,,1.3,20200312000233
Peru,13,+2,,,,13,,0.4,20200312000233
South Africa,13,+6,,,,13,,0.2,20200312000233
Serbia,12,+7,,,,12,,1.4,20200312000233
Azerbaijan,11,,,,3,8,,1.1,20200312000233
Brunei,11,+5,,,,11,,,20200312000233
