"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"79,826",+575,"2,870",+35,"35,131","41,825","7,365",20200301001656
S. Korea,"3,150",+813,17,+1,"3,109",24,10,20200301001656
Italy,"1,128",+239,29,+8,"1,049",50,105,20200301001656
Diamond Princess,705,,6,,689,10,36,20200301001656
Iran,593,+205,43,+9,427,123,,20200301001656
Japan,241,+8,5,,204,32,20,20200301001656
Singapore,102,+4,,,30,72,7,20200301001656
France,100,+43,2,,86,12,8,20200301001656
Hong Kong,93,,2,,61,30,6,20200301001656
Germany,79,+5,,,63,16,2,20200301001656
USA,68,+5,1,+1,60,7,1,20200301001656
Spain,58,+25,,,56,2,2,20200301001656
Kuwait,45,,,,45,,,20200301001656
Thailand,42,+1,,,14,28,2,20200301001656
Bahrain,41,+3,,,41,,,20200301001656
Taiwan,39,+5,1,,33,5,1,20200301001656
Australia,25,,,,10,15,,20200301001656
Malaysia,25,,,,5,20,,20200301001656
U.K.,23,+3,,,15,8,,20200301001656
U.A.E.,21,+2,,,16,5,2,20200301001656
Switzerland,19,+4,,,19,,,20200301001656
Canada,16,+1,,,12,4,,20200301001656
Vietnam,16,,,,0,16,,20200301001656
Norway,15,+9,,,15,,,20200301001656
Iraq,13,+5,,,13,,,20200301001656
Sweden,12,+1,,,12,,,20200301001656
Austria,10,+3,,,10,,,20200301001656
Macao,10,,,,4,6,,20200301001656
Israel,7,,,,6,1,,20200301001656
Lebanon,7,+3,,,7,,,20200301001656
Netherlands,7,+5,,,7,,,20200301001656
Croatia,6,+1,,,6,,,20200301001656
Oman,6,,,,5,1,,20200301001656
Greece,4,,,,4,,,20200301001656
Pakistan,4,+2,,,4,,,20200301001656
Philippines,3,,1,,0,2,,20200301001656
Denmark,3,+1,,,3,,,20200301001656
Finland,3,,,,2,1,,20200301001656
Georgia,3,+1,,,3,,,20200301001656
India,3,,,,0,3,,20200301001656
Mexico,3,+1,,,3,,,20200301001656
Romania,3,,,,2,1,,20200301001656
Brazil,2,+1,,,2,,,20200301001656
Russia,2,,,,0,2,,20200301001656
Afghanistan,1,,,,1,,,20200301001656
Algeria,1,,,,1,,,20200301001656
Azerbaijan,1,,,,1,,,20200301001656
Belarus,1,,,,1,,,20200301001656
Belgium,1,,,,0,1,,20200301001656
Cambodia,1,,,,0,1,,20200301001656
Ecuador,1,+1,,,1,,1,20200301001656
Egypt,1,,,,0,1,,20200301001656
Estonia,1,,,,1,,,20200301001656
Iceland,1,,,,1,,,20200301001656
Ireland,1,+1,,,1,,,20200301001656
Lithuania,1,,,,1,,,20200301001656
Luxembourg,1,+1,,,1,,,20200301001656
North Macedonia,1,,,,1,,,20200301001656
Monaco,1,,,,1,,,20200301001656
Nepal,1,,,,0,1,,20200301001656
New Zealand,1,,,,1,,,20200301001656
Nigeria,1,,,,1,,,20200301001656
Qatar,1,+1,,,1,,,20200301001656
San Marino,1,,,,1,,1,20200301001656
Sri Lanka,1,,,,0,1,,20200301001656
Total:,"86,602","1,978","2,977",54,"41,299","42,326","7,569",20200301001656
