"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,851",+7,"3,199",,"66,934","10,718","3,226",56.2,20200316000221
Italy,"24,747","+3,590","1,809",+368,"2,335","20,603","1,672",409.3,20200316000221
Iran,"13,938","+1,209",724,+113,"4,590","8,624",,165.9,20200316000221
S. Korea,"8,162",+76,75,+3,834,"7,253",59,159.2,20200316000221
Spain,"7,845","+1,454",292,+96,517,"7,036",272,167.8,20200316000221
Germany,"5,813","+1,214",11,+2,46,"5,756",2,69.4,20200316000221
France,"5,423",+924,127,+36,12,"5,284",400,83.1,20200316000221
USA,"3,680",+737,68,+11,59,"3,553",10,11.1,20200316000221
Switzerland,"2,217",+842,14,+1,4,"2,199",,256.2,20200316000221
UK,"1,391",+251,35,+14,20,"1,336",20,20.5,20200316000221
Norway,"1,254",+145,3,,1,"1,250",27,231.3,20200316000221
Netherlands,"1,135",+176,20,+8,2,"1,113",45,66.2,20200316000221
Sweden,"1,040",+79,3,+1,1,"1,036",2,103.0,20200316000221
Belgium,886,+197,4,,1,881,33,76.4,20200316000221
Denmark,864,+28,2,+1,1,861,2,149.2,20200316000221
Austria,860,+205,1,,6,853,1,95.5,20200316000221
Japan,839,+35,24,+2,144,671,36,6.6,20200316000221
Diamond Princess,696,,7,,456,233,15,,20200316000221
Malaysia,428,+190,,,42,386,9,13.2,20200316000221
Qatar,401,+64,,,4,397,,139.2,20200316000221
Canada,341,+89,1,,11,329,1,9.0,20200316000221
Greece,331,+103,4,+1,8,319,5,31.8,20200316000221
Australia,300,+52,5,+2,27,268,1,11.8,20200316000221
Czechia,293,+104,,,,293,2,27.4,20200316000221
Portugal,245,+76,,,2,243,9,24.0,20200316000221
Finland,244,+19,,,10,234,,44.0,20200316000221
Singapore,226,+14,,,105,121,11,38.6,20200316000221
Slovenia,219,+38,1,,,218,3,105.3,20200316000221
Bahrain,214,+2,,,77,137,2,125.8,20200316000221
Israel,213,+20,,,4,209,2,24.6,20200316000221
Brazil,200,+49,,,1,199,2,0.9,20200316000221
Iceland,180,+19,,,,180,1,,20200316000221
Estonia,171,+56,,,1,170,,128.9,20200316000221
Ireland,170,+41,2,,1,167,6,34.4,20200316000221
Hong Kong,149,+7,4,,81,64,4,19.9,20200316000221
Philippines,140,+29,12,+4,2,126,1,1.3,20200316000221
Romania,139,+16,,,9,130,1,7.2,20200316000221
Egypt,126,+16,2,,27,97,,1.2,20200316000221
Poland,125,+21,3,,13,109,3,3.3,20200316000221
Iraq,124,+14,10,,26,88,,3.1,20200316000221
