"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Saudi Arabia,118,+15,,,2,116,,3.4,20200316000221
Indonesia,117,+21,5,,8,104,,0.4,20200316000221
Thailand,114,+32,1,,35,78,1,1.6,20200316000221
India,112,+12,2,,13,97,,0.1,20200316000221
Kuwait,112,+8,,,9,103,4,26.2,20200316000221
San Marino,109,+8,7,+2,4,98,11,,20200316000221
Lebanon,99,+6,3,,1,95,3,14.5,20200316000221
UAE,98,+13,,,20,78,2,9.9,20200316000221
Luxembourg,77,+26,1,,,76,,,20200316000221
Chile,75,+14,,,,75,,3.9,20200316000221
Peru,71,+28,,,,71,,2.2,20200316000221
Russia,63,+4,,,8,55,,0.4,20200316000221
Slovakia,61,+17,,,,61,,11.2,20200316000221
South Africa,61,+23,,,,61,,1.0,20200316000221
Taiwan,59,+6,1,,20,38,,2.5,20200316000221
Vietnam,56,+3,,,16,40,,0.6,20200316000221
Pakistan,53,+20,,,2,51,,0.2,20200316000221
Bulgaria,51,+10,2,,,49,,7.3,20200316000221
Brunei,50,+10,,,,50,,,20200316000221
Croatia,49,+10,,,2,47,,11.9,20200316000221
Algeria,48,+9,4,+1,10,34,,1.1,20200316000221
Serbia,48,+2,,,1,47,1,5.5,20200316000221
Argentina,46,+1,2,,,44,1,1.0,20200316000221
Panama,43,,1,,,42,,10.0,20200316000221
Mexico,43,+17,,,4,39,1,0.3,20200316000221
Albania,42,+4,1,,,41,2,14.6,20200316000221
Palestine,38,,,,,38,,7.4,20200316000221
Ecuador,37,+9,2,,,35,1,2.1,20200316000221
Costa Rica,35,+8,,,,35,3,6.9,20200316000221
Colombia,34,+10,,,,34,,0.7,20200316000221
Georgia,33,+3,,,1,32,1,8.3,20200316000221
Cyprus,33,+7,,,,33,1,27.3,20200316000221
Hungary,32,+2,1,+1,1,30,,3.3,20200316000221
Latvia,30,+4,,,1,29,,15.9,20200316000221
Morocco,28,+10,1,,1,26,1,0.8,20200316000221
Belarus,27,,,,3,24,,2.9,20200316000221
Armenia,26,+6,,,,26,,8.8,20200316000221
Senegal,24,,,,2,22,,1.4,20200316000221
Bosnia and Herzegovina,24,+3,,,,24,,7.3,20200316000221
Azerbaijan,23,+4,1,,6,16,,2.3,20200316000221
Moldova,23,+11,,,,23,,5.7,20200316000221
Oman,22,+2,,,9,13,,4.3,20200316000221
Malta,21,+3,,,2,19,,,20200316000221
Tunisia,20,+2,,,,20,2,1.7,20200316000221
North Macedonia,19,,,,1,18,,9.1,20200316000221
Sri Lanka,18,+8,,,1,17,,0.8,20200316000221
Turkey,18,+12,,,,18,,0.2,20200316000221
Venezuela,17,+15,,,,17,,0.6,20200316000221
Afghanistan,16,+5,,,1,15,,0.4,20200316000221
Lithuania,14,+5,,,1,13,,5.1,20200316000221
Maldives,13,+3,,,,13,,,20200316000221
Cambodia,12,+5,,,1,11,,0.7,20200316000221
Macao,11,+1,,,10,1,,,20200316000221
Dominican Republic,11,,,,,11,,1.0,20200316000221
Faeroe Islands,11,+1,,,,11,,,20200316000221
Jordan,10,+9,,,1,9,,1.0,20200316000221
Bolivia,10,,,,,10,,0.9,20200316000221
Jamaica,10,+2,,,2,8,,3.4,20200316000221
Martinique,10,,,,,10,,,20200316000221
Kazakhstan,9,+3,,,,9,,0.5,20200316000221
New Zealand,8,,,,,8,,1.7,20200316000221
French Guiana,7,,,,,7,,,20200316000221
Liechtenstein,7,+3,,,,7,,,20200316000221
Paraguay,7,,,,,7,1,1.0,20200316000221
Réunion,7,+1,,,,7,,,20200316000221
Ghana,6,+4,,,,6,,0.2,20200316000221
Uruguay,6,,,,,6,,1.7,20200316000221
Andorra,5,+4,,,,5,,,20200316000221
Bangladesh,5,,,,2,3,,,20200316000221
Puerto Rico,5,+1,,,,5,,1.7,20200316000221
Rwanda,5,+4,,,,5,,0.4,20200316000221
Guyana,4,+3,1,,,3,,,20200316000221
Cameroon,4,+1,,,,4,,0.2,20200316000221
Ivory Coast,4,+2,,,,4,,0.2,20200316000221
Cuba,4,,,,,4,,0.4,20200316000221
Ethiopia,4,+3,,,,4,,,20200316000221
Uzbekistan,4,+4,,,,4,,0.1,20200316000221
Ukraine,3,,1,,,2,,0.1,20200316000221
Burkina Faso,3,+1,,,,3,,0.1,20200316000221
Channel Islands,3,,,,,3,,,20200316000221
French Polynesia,3,,,,,3,,,20200316000221
Guadeloupe,3,,,,,3,,,20200316000221
Guam,3,+3,,,,3,,,20200316000221
Honduras,3,,,,,3,,0.3,20200316000221
Kenya,3,+2,,,,3,,0.1,20200316000221
Seychelles,3,+1,,,,3,,,20200316000221
Monaco,2,,,,,2,,,20200316000221
Nigeria,2,,,,1,1,,,20200316000221
Aruba,2,,,,,2,,,20200316000221
Curaçao,2,,,,,2,,,20200316000221
DRC,2,,,,,2,,,20200316000221
Namibia,2,,,,,2,,0.8,20200316000221
Saint Lucia,2,+1,,,,2,,,20200316000221
Saint Martin,2,,,,,2,,,20200316000221
Trinidad and Tobago,2,,,,,2,,1.4,20200316000221
Guatemala,1,,1,+1,,0,,0.1,20200316000221
Sudan,1,,1,,,0,,,20200316000221
Nepal,1,,,,1,0,,,20200316000221
Antigua and Barbuda,1,,,,,1,,,20200316000221
Bahamas,1,+1,,,,1,,,20200316000221
Bhutan,1,,,,,1,,,20200316000221
Cayman Islands,1,,,,,1,,,20200316000221
CAR,1,+1,,,,1,,0.2,20200316000221
Congo,1,+1,,,,1,,0.2,20200316000221
Equatorial Guinea,1,,,,,1,,0.7,20200316000221
Gabon,1,,,,,1,,0.4,20200316000221
Gibraltar,1,,,,1,0,,,20200316000221
Guinea,1,,,,,1,,0.1,20200316000221
Vatican City,1,,,,,1,,,20200316000221
Mauritania,1,,,,,1,,0.2,20200316000221
Mayotte,1,,,,,1,,,20200316000221
Mongolia,1,,,,,1,,0.3,20200316000221
St. Barth,1,,,,,1,,,20200316000221
St. Vincent Grenadines,1,,,,,1,,,20200316000221
Suriname,1,,,,,1,,,20200316000221
Eswatini,1,,,,,1,,0.9,20200316000221
Togo,1,,,,,1,,0.1,20200316000221
U.S. Virgin Islands,1,,,,,1,,,20200316000221
Total:,"169,374","12,721","6,501",668,"76,618","86,255","5,921",21.7,20200316000221
