"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"79,828",+4,"2,870",,"34,832","42,126","7,365",20200302000357
S. Korea,"3,736",+586,21,+4,"3,685",30,10,20200302000357
Italy,"1,694",+566,41,+12,"1,570",83,140,20200302000357
Iran,978,+385,54,+11,749,175,,20200302000357
Diamond Princess,705,,7,+1,688,10,36,20200302000357
Japan,256,+15,6,+1,208,42,19,20200302000357
France,130,+30,2,,116,12,9,20200302000357
Germany,130,+51,,,114,16,2,20200302000357
Singapore,106,+4,,,32,74,7,20200302000357
Hong Kong,100,+5,2,,62,36,6,20200302000357
Spain,84,+26,,,82,2,3,20200302000357
USA,75,+7,1,,65,9,4,20200302000357
Bahrain,47,+6,,,47,,,20200302000357
Kuwait,46,+1,,,46,,,20200302000357
Thailand,42,,1,+1,11,30,1,20200302000357
Taiwan,40,+1,1,,27,12,1,20200302000357
U.K.,36,+13,,,28,8,,20200302000357
Australia,29,+4,1,+1,13,15,,20200302000357
Malaysia,29,+4,,,7,22,,20200302000357
Canada,24,+4,,,20,4,,20200302000357
Switzerland,24,+5,,,23,1,,20200302000357
U.A.E.,21,,,,16,5,2,20200302000357
Iraq,19,+6,,,19,,,20200302000357
Norway,19,+4,,,19,,,20200302000357
Vietnam,16,,,,0,16,,20200302000357
Austria,14,+4,,,14,,,20200302000357
Sweden,14,+1,,,14,,,20200302000357
Macao,10,,,,4,6,,20200302000357
Israel,10,+3,,,9,1,,20200302000357
Lebanon,10,+3,,,10,,,20200302000357
Netherlands,10,+3,,,10,,1,20200302000357
Croatia,7,+1,,,7,,,20200302000357
Greece,7,,,,7,,,20200302000357
Ecuador,6,+5,,,6,,1,20200302000357
Finland,6,+3,,,5,1,,20200302000357
Oman,6,,,,5,1,,20200302000357
Mexico,5,+1,,,5,,,20200302000357
Denmark,4,+1,,,4,,,20200302000357
Pakistan,4,,,,4,,,20200302000357
Philippines,3,,1,,0,2,,20200302000357
Azerbaijan,3,,,,3,,,20200302000357
Czechia,3,+3,,,3,,,20200302000357
Georgia,3,,,,3,,,20200302000357
Iceland,3,+2,,,3,,,20200302000357
India,3,,,,0,3,,20200302000357
Qatar,3,+2,,,3,,,20200302000357
Romania,3,,,,2,1,,20200302000357
Algeria,2,+1,,,2,,,20200302000357
Belgium,2,+1,,,1,1,,20200302000357
Brazil,2,,,,2,,,20200302000357
Egypt,2,+1,,,1,1,,20200302000357
Russia,2,,,,0,2,,20200302000357
Afghanistan,1,,,,1,,,20200302000357
Armenia,1,+1,,,1,,,20200302000357
Belarus,1,,,,1,,,20200302000357
Cambodia,1,,,,0,1,,20200302000357
Dominican Republic,1,+1,,,1,,,20200302000357
Estonia,1,,,,1,,,20200302000357
Ireland,1,,,,1,,,20200302000357
Lithuania,1,,,,1,,,20200302000357
Luxembourg,1,,,,1,,,20200302000357
North Macedonia,1,,,,1,,,20200302000357
Monaco,1,,,,1,,,20200302000357
Nepal,1,,,,0,1,,20200302000357
New Zealand,1,,,,1,,,20200302000357
Nigeria,1,,,,1,,,20200302000357
San Marino,1,,,,1,,1,20200302000357
Sri Lanka,1,,,,0,1,,20200302000357
Total:,"88,377","1,764","3,008",31,"42,619","42,750","7,608",20200302000357
