"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",timestamp
China,"78,832",+8,"2,789",+1,"39,521","36,522","7,952",20200229002628
S. Korea,"2,337",+571,16,+3,"2,297",24,7,20200229002628
Italy,889,+234,21,+4,822,46,64,20200229002628
Diamond Princess,705,,6,+2,689,10,36,20200229002628
Iran,388,+143,34,+8,281,73,,20200229002628
Japan,233,+19,5,+1,196,32,20,20200229002628
Singapore,96,,,,27,69,8,20200229002628
Hong Kong,93,+1,2,,73,18,6,20200229002628
USA,63,+3,,,57,6,1,20200229002628
Germany,60,+11,,,44,16,2,20200229002628
France,57,+19,2,,44,11,1,20200229002628
Kuwait,45,+2,,,45,,,20200229002628
Thailand,41,+1,,,13,28,2,20200229002628
Bahrain,38,+5,,,38,,,20200229002628
Taiwan,34,+2,1,,28,5,1,20200229002628
Spain,33,+8,,,31,2,2,20200229002628
Australia,25,+2,,,10,15,,20200229002628
Malaysia,25,+3,,,5,20,,20200229002628
U.K.,20,+4,,,12,8,,20200229002628
U.A.E.,19,,,,14,5,2,20200229002628
Vietnam,16,,,,0,16,,20200229002628
Canada,15,+1,,,12,3,,20200229002628
Switzerland,15,+7,,,15,,,20200229002628
Sweden,11,+4,,,11,,,20200229002628
Macao,10,,,,4,6,,20200229002628
Iraq,8,+1,,,8,,,20200229002628
Israel,7,+4,,,6,1,,20200229002628
Austria,6,+1,,,6,,,20200229002628
Norway,6,+2,,,6,,,20200229002628
Oman,6,,,,6,,,20200229002628
Croatia,5,+2,,,5,,,20200229002628
Greece,4,+1,,,4,,,20200229002628
Lebanon,4,+1,,,4,,,20200229002628
Philippines,3,,1,,0,2,,20200229002628
Finland,3,+1,,,2,1,,20200229002628
India,3,,,,0,3,,20200229002628
Romania,3,+2,,,2,1,,20200229002628
Denmark,2,+1,,,2,,,20200229002628
Georgia,2,+1,,,2,,,20200229002628
Mexico,2,+2,,,2,,,20200229002628
Netherlands,2,+1,,,2,,,20200229002628
Pakistan,2,,,,2,,,20200229002628
Russia,2,,,,0,2,,20200229002628
Afghanistan,1,,,,1,,,20200229002628
Algeria,1,,,,1,,,20200229002628
Azerbaijan,1,+1,,,1,,,20200229002628
Belarus,1,+1,,,1,,,20200229002628
Belgium,1,,,,0,1,,20200229002628
Brazil,1,,,,1,,,20200229002628
Cambodia,1,,,,0,1,,20200229002628
Egypt,1,,,,0,1,,20200229002628
Estonia,1,,,,1,,,20200229002628
Iceland,1,+1,,,1,,,20200229002628
Lithuania,1,+1,,,1,,,20200229002628
North Macedonia,1,,,,1,,,20200229002628
Monaco,1,+1,,,1,,,20200229002628
Nepal,1,,,,0,1,,20200229002628
New Zealand,1,+1,,,1,,,20200229002628
Nigeria,1,+1,,,1,,,20200229002628
San Marino,1,,,,1,,,20200229002628
Sri Lanka,1,,,,0,1,,20200229002628
Total:,"84,188","1,075","2,877",19,"44,361","36,950","8,104",20200229002628
