"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
China,"80,881",,"3,226",,"68,724","8,931","3,226",56.2,20200318000111
Italy,"31,506","+3,526","2,503",+345,"2,941","26,062","2,060",521.1,20200318000111
Iran,"16,169","+1,178",988,+135,"5,389","9,792",,192.5,20200318000111
Spain,"11,826","+1,884",533,+191,"1,028","10,265",563,252.9,20200318000111
Germany,"9,367","+2,095",26,+9,67,"9,274",2,111.8,20200318000111
S. Korea,"8,320",+84,81,+6,"1,401","6,838",59,162.3,20200318000111
France,"7,730","+1,097",175,+27,602,"6,953",699,118.4,20200318000111
USA,"6,439","+1,776",109,+23,106,"6,224",12,19.5,20200318000111
Switzerland,"2,742",+389,27,+8,15,"2,700",,316.8,20200318000111
UK,"1,950",+407,71,+16,65,"1,814",20,28.7,20200318000111
Netherlands,"1,705",+292,43,+19,2,"1,660",45,99.5,20200318000111
Norway,"1,470",+122,3,,1,"1,466",27,271.2,20200318000111
Austria,"1,332",+314,4,+1,8,"1,320",12,147.9,20200318000111
Belgium,"1,243",+185,10,,14,"1,219",33,107.3,20200318000111
Sweden,"1,196",+75,8,+1,1,"1,187",12,118.4,20200318000111
Denmark,977,+63,4,,1,972,18,168.7,20200318000111
Japan,878,+45,29,+1,144,705,41,6.9,20200318000111
Diamond Princess,696,,7,,456,233,15,,20200318000111
Malaysia,673,+107,2,+2,49,622,10,20.8,20200318000111
Canada,598,+157,8,+4,12,578,1,15.8,20200318000111
Australia,452,+51,5,,27,420,1,17.7,20200318000111
Portugal,448,+117,1,,3,444,18,43.9,20200318000111
Qatar,442,+3,,,4,438,,153.4,20200318000111
Czechia,434,+90,,,3,431,2,40.5,20200318000111
Greece,387,+35,5,+1,14,368,11,37.1,20200318000111
Brazil,346,+112,1,+1,2,343,18,1.6,20200318000111
Israel,337,+39,,,11,326,5,38.9,20200318000111
Finland,322,+44,,,10,312,2,58.1,20200318000111
Ireland,292,+69,2,,5,285,6,59.1,20200318000111
Slovenia,275,+22,1,,,274,4,132.3,20200318000111
Singapore,266,+23,,,114,152,14,45.5,20200318000111
Iceland,247,+48,,,5,242,1,,20200318000111
Pakistan,247,+63,,+-1,2,245,,1.1,20200318000111
Bahrain,241,+13,1,,88,152,3,141.6,20200318000111
Poland,238,+61,5,+1,1,232,3,6.3,20200318000111
Estonia,225,+20,,,1,224,,169.6,20200318000111
Romania,217,+49,,,19,198,5,11.3,20200318000111
