"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,timestamp
China,"81,218",,"3,281",,"73,650","4,287","1,399",56,2,20200326000126
Italy,"74,386","+5,210","7,503",+683,"9,362","57,521","3,489","1,230",124,20200326000126
USA,"65,652","+10,796",931,+151,394,"64,327","1,411",198,3,20200326000126
Spain,"49,515","+7,457","3,647",+656,"5,367","40,501","3,166","1,059",78,20200326000126
Germany,"37,323","+4,332",206,+47,"3,547","33,570",23,445,2,20200326000126
Iran,"27,017","+2,206","2,077",+143,"9,625","15,315",,322,25,20200326000126
France,"25,233","+2,929","1,331",+231,"3,900","20,002","2,827",387,20,20200326000126
Switzerland,"10,897","+1,020",153,+31,131,"10,613",141,"1,259",18,20200326000126
UK,"9,529","+1,452",465,+43,135,"8,929",163,140,7,20200326000126
S. Korea,"9,137",+100,126,+6,"3,730","5,281",59,178,2,20200326000126
Netherlands,"6,412",+852,356,+80,3,"6,053",582,374,21,20200326000126
Austria,"5,588",+305,30,+2,9,"5,549",28,620,3,20200326000126
Belgium,"4,937",+668,178,+56,547,"4,212",474,426,15,20200326000126
Canada,"3,409",+617,36,+10,185,"3,188",1,90,1.0,20200326000126
Norway,"3,084",+218,14,+2,6,"3,064",57,569,3,20200326000126
Portugal,"2,995",+633,43,+10,22,"2,930",61,294,4,20200326000126
Australia,"2,676",+359,11,+3,118,"2,547",11,105,0.4,20200326000126
Brazil,"2,554",+307,59,+13,2,"2,493",18,12,0.3,20200326000126
Sweden,"2,526",+227,62,+22,16,"2,448",158,250,6,20200326000126
Turkey,"2,433",+561,59,+15,26,"2,348",136,29,0.7,20200326000126
Israel,"2,369",+439,5,+2,58,"2,306",37,274,0.6,20200326000126
Malaysia,"1,796",+172,20,+4,199,"1,577",64,55,0.6,20200326000126
Denmark,"1,724",+133,34,+2,1,"1,689",69,298,6,20200326000126
Czechia,"1,654",+260,6,+3,10,"1,638",19,154,0.6,20200326000126
Ireland,"1,564",+235,9,+2,5,"1,550",39,317,2,20200326000126
Luxembourg,"1,333",+234,8,,6,"1,319",3,"2,129",13,20200326000126
Japan,"1,307",+114,45,+2,310,952,57,10,0.4,20200326000126
Ecuador,"1,173",+91,28,+1,3,"1,142",2,66,2,20200326000126
Chile,"1,142",+220,3,+1,22,"1,117",7,60,0.2,20200326000126
Pakistan,"1,063",+91,8,+1,21,"1,034",5,5,0.04,20200326000126
Poland,"1,051",+150,14,+4,7,"1,030",3,28,0.4,20200326000126
Thailand,934,+107,4,,70,860,11,13,0.06,20200326000126
Romania,906,+112,17,+5,86,803,18,47,0.9,20200326000126
Saudi Arabia,900,+133,2,+1,29,869,,26,0.06,20200326000126
Finland,880,+88,3,+2,10,867,22,159,0.5,20200326000126
Greece,821,+78,22,+2,36,763,53,79,2,20200326000126
Indonesia,790,+104,58,+3,31,701,,3,0.2,20200326000126
Iceland,737,+89,2,,56,679,11,"2,160",6,20200326000126
Diamond Princess,712,,10,,587,115,15,,,20200326000126
South Africa,709,+155,,,12,697,2,12,,20200326000126
Russia,658,+163,3,+2,29,626,8,5,0.02,20200326000126
India,657,+121,12,+2,43,602,,0.5,0.01,20200326000126
Philippines,636,+84,38,+3,26,572,1,6,0.3,20200326000126
Singapore,631,+73,2,,160,469,17,108,0.3,20200326000126
Panama,558,+115,8,+2,2,548,20,129,2,20200326000126
Qatar,537,+11,,,41,496,6,186,,20200326000126
Slovenia,528,+48,5,+1,10,513,14,254,2,20200326000126
Argentina,502,+115,8,+2,52,442,,11,0.2,20200326000126
Peru,480,+64,9,+2,1,470,9,15,0.3,20200326000126
Colombia,470,+92,4,+1,8,458,,9,0.08,20200326000126
Egypt,456,+54,21,+1,95,340,,4,0.2,20200326000126
Croatia,442,+60,1,,22,419,6,108,0.2,20200326000126
Bahrain,419,+27,4,+1,177,238,2,246,2,20200326000126
Hong Kong,410,+23,4,,102,304,4,55,0.5,20200326000126
Mexico,405,+38,5,+1,4,396,1,3,0.04,20200326000126
Estonia,404,+35,1,+1,8,395,6,305,0.8,20200326000126
Dominican Republic,392,+80,10,+4,3,379,,36,0.9,20200326000126
Serbia,384,+81,4,+1,15,365,21,44,0.5,20200326000126
Iraq,346,+30,29,+2,103,214,,9,0.7,20200326000126
Lebanon,333,+15,6,+2,20,307,4,49,0.9,20200326000126
UAE,333,+85,2,,52,279,2,34,0.2,20200326000126
Algeria,302,+38,21,+2,65,216,,7,0.5,20200326000126
Lithuania,274,+65,4,+2,1,269,1,101,1,20200326000126
Armenia,265,+16,,,16,249,6,89,,20200326000126
Bulgaria,242,+24,3,,4,235,8,35,0.4,20200326000126
Taiwan,235,+19,2,,29,204,,10,0.08,20200326000126
Hungary,226,+39,10,+1,21,195,6,23,1,20200326000126
Morocco,225,+55,6,+1,7,212,1,6,0.2,20200326000126
Latvia,221,+24,,,1,220,,117,,20200326000126
Uruguay,217,+28,,,,217,3,62,,20200326000126
Slovakia,216,+12,,,7,209,2,40,,20200326000126
San Marino,208,+21,21,,4,183,12,"6,130",619,20200326000126
New Zealand,205,,,,22,183,,43,,20200326000126
Costa Rica,201,+24,2,,2,197,4,39,0.4,20200326000126
Kuwait,195,+4,,,43,152,6,46,,20200326000126
Andorra,188,+24,1,,1,186,6,"2,433",13,20200326000126
North Macedonia,177,+29,3,+1,1,173,1,85,1,20200326000126
Bosnia and Herzegovina,176,+8,3,,2,171,1,54,0.9,20200326000126
Tunisia,173,+59,5,+1,2,166,11,15,0.4,20200326000126
Jordan,172,+18,,,1,171,,17,,20200326000126
Moldova,149,+24,1,,2,146,20,37,0.2,20200326000126
Vietnam,148,+14,,,17,131,3,2,,20200326000126
Albania,146,+23,5,,17,124,3,51,2,20200326000126
Burkina Faso,146,+32,4,,10,132,,7,0.2,20200326000126
Ukraine,145,+43,5,+2,1,139,,3,0.1,20200326000126
Cyprus,132,+8,3,,3,126,3,109,2,20200326000126
Faeroe Islands,132,+10,,,38,94,2,"2,701",,20200326000126
Malta,129,+19,,,2,127,1,292,,20200326000126
Réunion,111,+17,,,1,110,,124,,20200326000126
Brunei,109,+5,,,2,107,1,249,,20200326000126
Sri Lanka,102,,,,3,99,2,5,,20200326000126
Oman,99,+15,,,17,82,,19,,20200326000126
Senegal,99,+13,,,9,90,,6,,20200326000126
Cambodia,96,+5,,,10,86,1,6,,20200326000126
Ghana,93,+40,4,+2,,89,,3,0.1,20200326000126
Azerbaijan,93,+6,2,+1,10,81,6,9,0.2,20200326000126
Venezuela,91,+7,,,15,76,2,3,,20200326000126
Belarus,86,+5,,,29,57,2,9,,20200326000126
Afghanistan,84,+10,2,+1,2,80,,2,0.05,20200326000126
Kazakhstan,81,+9,,,,81,,4,,20200326000126
Ivory Coast,80,+7,,,3,77,,3,,20200326000126
Cameroon,75,+9,1,,2,72,,3,0.04,20200326000126
Georgia,75,+5,,,10,65,1,19,,20200326000126
Guadeloupe,73,,1,,,72,4,182,2,20200326000126
Palestine,71,+11,1,+1,16,54,,14,0.2,20200326000126
Martinique,66,+9,1,,,65,7,176,3,20200326000126
Trinidad and Tobago,60,+3,1,+1,,59,,43,0.7,20200326000126
Uzbekistan,60,+10,,,,60,4,2,,20200326000126
Cuba,57,+9,1,,1,55,2,5,0.09,20200326000126
Montenegro,53,+6,1,,,52,1,84,2,20200326000126
Honduras,52,+22,,,,52,,5,,20200326000126
Nigeria,51,+7,1,,2,48,,0.2,0.00,20200326000126
Liechtenstein,51,,,,,51,,"1,338",,20200326000126
DRC,48,+3,2,,,46,,0.5,0.02,20200326000126
Mauritius,48,+6,2,,,46,1,38,2,20200326000126
Channel Islands,46,+10,,,,46,,265,,20200326000126
Kyrgyzstan,44,+2,,,,44,,7,,20200326000126
Rwanda,41,+1,,,,41,,3,,20200326000126
Bangladesh,39,,5,+1,7,27,,0.2,0.03,20200326000126
Paraguay,37,+10,3,+1,,34,1,5,0.4,20200326000126
Mayotte,36,,,,,36,,132,,20200326000126
Bolivia,32,+3,,,,32,,3,,20200326000126
Monaco,31,+8,,,1,30,,790,,20200326000126
Macao,30,+1,,,10,20,,46,,20200326000126
French Guiana,28,+5,,,6,22,,94,,20200326000126
Kenya,28,+3,,,1,27,,0.5,,20200326000126
Jamaica,26,+5,1,,2,23,,9,0.3,20200326000126
Gibraltar,26,+11,,,5,21,,772,,20200326000126
French Polynesia,25,,,,,25,,89,,20200326000126
Guatemala,24,+3,1,,4,19,,1,0.06,20200326000126
Isle of Man,23,,,,,23,,270,,20200326000126
Togo,23,+3,,,1,22,,3,,20200326000126
Aruba,19,+2,,,1,18,,178,,20200326000126
Madagascar,19,+2,,,,19,,0.7,,20200326000126
Barbados,18,,,,,18,,63,,20200326000126
New Caledonia,14,+4,,,,14,,49,,20200326000126
Uganda,14,+5,,,,14,,0.3,,20200326000126
Maldives,13,,,,8,5,,24,,20200326000126
Tanzania,13,+1,,,,13,,0.2,,20200326000126
Ethiopia,12,,,,,12,,0.1,,20200326000126
Zambia,12,+9,,,,12,,0.7,,20200326000126
Djibouti,11,+8,,,,11,,11,,20200326000126
Dominica,11,+4,,,,11,,153,,20200326000126
Saint Martin,11,+3,,,,11,,284,,20200326000126
Mongolia,10,,,,,10,,3,,20200326000126
El Salvador,9,+4,,,,9,,1,,20200326000126
Equatorial Guinea,9,,,,,9,,6,,20200326000126
Cayman Islands,8,+2,1,,,7,,122,15,20200326000126
Haiti,8,+1,,,,8,,0.7,,20200326000126
Suriname,8,+1,,,,8,,14,,20200326000126
Niger,7,+4,1,+1,,6,,0.3,0.04,20200326000126
Bermuda,7,+1,,,,7,,112,,20200326000126
Namibia,7,,,,2,5,,3,,20200326000126
Seychelles,7,,,,,7,,71,,20200326000126
Curaçao,6,,1,,2,3,,37,6,20200326000126
Gabon,6,,1,,,5,,3,0.4,20200326000126
Benin,6,,,,,6,,0.5,,20200326000126
Greenland,6,+1,,,2,4,,106,,20200326000126
Guyana,5,,1,,,4,,6,1,20200326000126
Bahamas,5,,,,1,4,,13,,20200326000126
Fiji,5,+1,,,,5,,6,,20200326000126
Mozambique,5,+2,,,,5,,0.2,,20200326000126
Syria,5,+4,,,,5,,0.3,,20200326000126
Cabo Verde,4,+1,1,,,3,,7,2,20200326000126
Congo,4,,,,,4,,0.7,,20200326000126
Eritrea,4,+3,,,,4,,1,,20200326000126
Guinea,4,,,,,4,,0.3,,20200326000126
Vatican City,4,,,,,4,,"4,994",,20200326000126
Eswatini,4,,,,,4,,3,,20200326000126
Gambia,3,,1,,,2,,1,0.4,20200326000126
Sudan,3,,1,,,2,,0.07,0.02,20200326000126
Zimbabwe,3,,1,,,2,,0.2,0.07,20200326000126
Nepal,3,+1,,,1,2,,0.1,,20200326000126
Angola,3,,,,,3,,0.09,,20200326000126
Antigua and Barbuda,3,,,,,3,,31,,20200326000126
CAR,3,,,,,3,,0.6,,20200326000126
Chad,3,,,,,3,,0.2,,20200326000126
Laos,3,+1,,,,3,,0.4,,20200326000126
Liberia,3,,,,,3,,0.6,,20200326000126
Myanmar,3,,,,,3,,0.06,,20200326000126
St. Barth,3,,,,,3,,304,,20200326000126
Saint Lucia,3,,,,,3,,16,,20200326000126
Sint Maarten,3,+1,,,,3,,70,,20200326000126
Belize,2,+1,,,,2,,5,,20200326000126
Bhutan,2,,,,,2,,3,,20200326000126
British Virgin Islands,2,+2,,,,2,,66,,20200326000126
Guinea-Bissau,2,+2,,,,2,,1,,20200326000126
Mali,2,+2,,,,2,,0.10,,20200326000126
Mauritania,2,,,,,2,,0.4,,20200326000126
Nicaragua,2,,,,,2,,0.3,,20200326000126
Saint Kitts and Nevis,2,+2,,,,2,,38,,20200326000126
Grenada,1,,,,,1,,9,,20200326000126
Libya,1,,,,,1,,0.1,,20200326000126
Montserrat,1,,,,,1,,200,,20200326000126
Papua New Guinea,1,,,,,1,,0.1,,20200326000126
St. Vincent Grenadines,1,,,,,1,,9,,20200326000126
Somalia,1,,,,,1,,0.06,,20200326000126
Timor-Leste,1,,,,,1,,0.8,,20200326000126
Turks and Caicos,1,,,,,1,,26,,20200326000126
Total:,"468,301","45,727","21,180","2,286","113,812","333,309","14,897",60.1,2.7,20200326000126
