0,1,2,3,4,5,6,7,8,9,10,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,20200314,54
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,20200314,54
Hubei,5917,4,0,13,67790,3075,,,,,20200314,54
Guangdong,11346,0,0,0,1356,8,,,,,20200314,54
Henan,9605,0,0,0,1273,22,,,,,20200314,54
Zhejiang,5737,0,0,0,1227,1,,,,,20200314,54
Hunan,6899,0,0,0,1018,4,,,,,20200314,54
Anhui,6324,0,0,0,990,6,,,,,20200314,54
Jiangxi,4648,0,0,0,935,1,,,,,20200314,54
Shandong,10047,0,0,0,760,7,,,,,20200314,54
Jiangsu,8051,0,0,0,631,0,,,,,20200314,54
Chongqing,3102,0,0,0,576,6,,,,,20200314,54
Sichuan,8341,0,0,0,539,3,,,,,20200314,54
Heilongjiang,3773,0,0,0,482,13,,,,,20200314,54
Beijing,2154,1,5,0,437,8,,,,,20200314,54
Shanghai,2424,4,11,0,350,3,,,,,20200314,54
Hebei,7556,0,0,0,318,6,,,,,20200314,54
Fujian,3941,0,0,0,296,1,,,,,20200314,54
Guangxi,4926,0,0,0,252,2,,,,,20200314,54
Shaanxi,3864,0,0,0,245,2,,,,,20200314,54
Yunnan,4830,0,0,0,174,2,,,,,20200314,54
Hainan,934,0,0,0,168,6,,,,,20200314,54
Guizhou,3600,0,0,0,146,2,,,,,20200314,54
Hong Kong SAR,745,6,0,1,137,4,,,,,20200314,54
Tianjin,1560,0,1,0,136,3,,,,,20200314,54
Shanxi,3718,0,0,0,133,0,,,,,20200314,54
Gansu,2637,2,0,0,129,2,,,,,20200314,54
Liaoning,4359,0,0,0,125,1,,,,,20200314,54
Jilin,2704,0,0,0,93,1,,,,,20200314,54
Xinjiang,2487,0,0,0,76,3,,,,,20200314,54
Ningxia,688,0,0,0,75,0,,,,,20200314,54
Inner Mongolia,2534,0,0,0,75,1,,,,,20200314,54
Taipei and environs,2359,1,0,0,50,1,,,,,20200314,54
Qinghai,603,0,0,0,18,0,,,,,20200314,54
Macao SAR,66,0,0,0,10,0,,,,,20200314,54
Xizang,344,0,0,0,1,0,,,,,20200314,54
Total,142823,18,17,14,81021,3194,,,,,20200314,54
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,20200314,54
Western Pacific Region,,,,,,,,,,,20200314,54
Republic of Korea,8086,107,72,6,Local transmission,0,,,,,20200314,54
Japan,716,41,21,2,Local transmission,0,,,,,20200314,54
Singapore,200,13,0,0,Local transmission,0,,,,,20200314,54
Australia,197,57,3,0,Local transmission,0,,,,,20200314,54
Malaysia,197,68,0,0,Local transmission,0,,,,,20200314,54
Philippines,64,12,2,0,Local transmission,0,,,,,20200314,54
Viet Nam,48,9,0,0,Local transmission,0,,,,,20200314,54
Brunei Darussalam,25,13,0,0,Local transmission,0,,,,,20200314,54
Cambodia,7,2,0,0,Local transmission,0,,,,,20200314,54
New Zealand,6,1,0,0,Local transmission,0,,,,,20200314,54
Mongolia,1,0,0,0,Imported cases only,4,,,,,20200314,54
Territories**,,,,,,,,,,,20200314,54
"French Polynesia 
1 
0 
0 
0 
Imported cases only 
2",,,,,,,,,,,20200314,54
European Region,,,,,,,,,,,20200314,54
Italy,17660,2547,1268,252,Local transmission,0,,,,,20200314,54
Spain,4231,1266,120,36,Local transmission,0,,,,,20200314,54
France,3640,780,79,18,Local transmission,0,,,,,20200314,54
Germany,3062,693,6,0,Local transmission,0,,,,,20200314,54
Switzerland,1125,267,6,0,Local transmission,0,,,,,20200314,54
Netherlands,804,190,10,5,Local transmission,0,,,,,20200314,54
The United Kingdom,802,208,10,2,Local transmission,0,,,,,20200314,54
Denmark,801,127,0,0,Local transmission,0,,,,,20200314,54
