0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,20200213,24
Western Pacific Region,China‡,46 550 (1820),,,,,,,,,,,,,,,,20200213,24
,Singapore,50 (3),22 (0),28 (3),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Japan,29†† (0),24 (0),5 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Republic of Korea,28 (0),13 (0),12§§ (0),3 (0),0 (0),,,,,,,,,,,,20200213,24
,Malaysia,18 (0),15 (0),3‡‡ (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Viet Nam,16 (1),8 (0),8 (1),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,20200213,24
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
South-East Asia Region,Thailand,33 (0),23 (0),6 (0),4 (0),0 (0),,,,,,,,,,,,20200213,24
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
Region of the Americas,"United States of 
America",14 (1),12 (1),2 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,,,,,20200213,24
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,France,11 (0),5 (0),6 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,The United Kingdom,9 (1),2 (1),7*** (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Spain,2 (0),0 (0),2§ (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,20200213,24
"Eastern Mediterranean 
Region",United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0),,,,,,,,,,,,20200213,24
Other,"International 
conveyance (Japan)",174** (0),0 (0),0 (0),174 (0),0 (0),,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
,,,,,,,,,,,,,,,,,,20200213,24
