0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,,20200304,44
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,20200304,44
Hubei,5917,115,52,37,67332,2871,,,,,,20200304,44
Guangdong,11346,0,0,0,1350,7,,,,,,20200304,44
Henan,9605,0,0,0,1272,22,,,,,,20200304,44
Zhejiang,5737,0,2,0,1213,1,,,,,,20200304,44
Hunan,6899,0,0,0,1018,4,,,,,,20200304,44
Anhui,6324,0,0,0,990,6,,,,,,20200304,44
Jiangxi,4648,0,0,0,935,1,,,,,,20200304,44
Shandong,10047,0,0,0,758,6,,,,,,20200304,44
Jiangsu,8051,0,0,0,631,0,,,,,,20200304,44
Chongqing,3102,0,1,0,576,6,,,,,,20200304,44
Sichuan,8341,0,1,0,538,3,,,,,,20200304,44
Heilongjiang,3773,0,2,0,480,13,,,,,,20200304,44
Beijing,2154,3,11,0,417,8,,,,,,20200304,44
Shanghai,2424,0,19,0,338,3,,,,,,20200304,44
Hebei,7556,0,0,0,318,6,,,,,,20200304,44
Fujian,3941,0,0,0,296,1,,,,,,20200304,44
Guangxi,4926,0,0,0,252,2,,,,,,20200304,44
Shaanxi,3864,0,0,0,245,1,,,,,,20200304,44
Yunnan,4830,0,2,0,174,2,,,,,,20200304,44
Hainan,934,0,0,0,168,5,,,,,,20200304,44
Guizhou,3600,0,0,0,146,2,,,,,,20200304,44
Tianjin,1560,0,17,0,136,3,,,,,,20200304,44
Shanxi,3718,0,0,0,133,0,,,,,,20200304,44
Liaoning,4359,0,36,0,125,1,,,,,,20200304,44
Hong Kong SAR,745,0,0,0,100,2,,,,,,20200304,44
Jilin,2704,0,0,0,93,1,,,,,,20200304,44
Gansu,2637,0,0,0,91,2,,,,,,20200304,44
Xinjiang,2487,0,0,0,76,3,,,,,,20200304,44
Ningxia,688,1,0,0,75,0,,,,,,20200304,44
Inner Mongolia,2534,0,0,1,75,1,,,,,,20200304,44
Taipei and environs,2359,1,0,0,42,1,,,,,,20200304,44
