0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,date,sitrep
Gibraltar,56,1,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Guernsey,39,3,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Isle of Man,32,3,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Greenland,10,1,0,0,Under investigation,0,,,,,,,,,,,20200329,69
South-East Asia Region,,,,,,,,,,,,,,,,,20200329,69
Thailand,1388,252,7,2,Local transmission,0,,,,,,,,,,,20200329,69
Indonesia,1155,109,102,15,Local transmission,0,,,,,,,,,,,20200329,69
India,979,255,25,8,Local transmission,0,,,,,,,,,,,20200329,69
Sri Lanka,106,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
Bangladesh,48,0,5,0,Local transmission,2,,,,,,,,,,,20200329,69
Maldives,16,3,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Myanmar,8,3,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Nepal,5,2,0,0,Imported cases only,0,,,,,,,,,,,20200329,69
Bhutan,3,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
Timor-Leste,1,0,0,0,Under investigation,8,,,,,,,,,,,20200329,69
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,20200329,69
"Iran (Islamic Republic 
of)",35408,3076,2517,139,Local transmission,0,,,,,,,,,,,20200329,69
Pakistan,1526,291,13,4,Local transmission,0,,,,,,,,,,,20200329,69
Saudi Arabia,1203,99,4,1,Local transmission,0,,,,,,,,,,,20200329,69
Qatar,590,28,1,1,Local transmission,0,,,,,,,,,,,20200329,69
Egypt,576,40,36,6,Local transmission,0,,,,,,,,,,,20200329,69
Iraq,506,48,42,2,Local transmission,0,,,,,,,,,,,20200329,69
Bahrain,476,3,4,0,Local transmission,0,,,,,,,,,,,20200329,69
United Arab Emirates,468,63,2,0,Local transmission,0,,,,,,,,,,,20200329,69
Morocco,437,79,26,3,Local transmission,0,,,,,,,,,,,20200329,69
Lebanon,412,21,8,0,Local transmission,0,,,,,,,,,,,20200329,69
Tunisia,278,51,8,2,Local transmission,0,,,,,,,,,,,20200329,69
Jordan,246,11,1,0,Local transmission,0,,,,,,,,,,,20200329,69
Kuwait,235,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
Oman,167,15,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Afghanistan,114,8,4,2,Local transmission,0,,,,,,,,,,,20200329,69
Djibouti,15,2,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Sudan,5,2,1,0,Under investigation,0,,,,,,,,,,,20200329,69
Syrian Arab Republic,5,0,0,0,Imported cases only,3,,,,,,,,,,,20200329,69
Libya,3,2,0,0,Imported cases only,0,,,,,,,,,,,20200329,69
