0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths",,,,,,,,20200208,19
Western Pacific Region,China‡,34 598 (3401),,,,723 (86),,,,,,,,20200208,19
,Singapore,33 (3),21 (0),12 (3),0 (0),0 (0),,,,,,,,20200208,19
,Japan,25 (0),21 (0),4 (0),0 (0),0 (0),,,,,,,,20200208,19
,Republic of Korea,24 (0),11 (0),11 (0),2 (0),0 (0),,,,,,,,20200208,19
,Australia,15 (0),15 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Malaysia,15 (1),9 (0),4 (0),2 (1),0 (0),,,,,,,,20200208,19
,Viet Nam,13 (1),8 (1),5 (0),0 (0),0 (0),,,,,,,,20200208,19
,Philippines,3 (0),2 (0),0 (0),1 (0),1 (0),,,,,,,,20200208,19
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
South-East Asia Region,Thailand,32 (7),22 (1),6 (2),4 (4),0 (0),,,,,,,,20200208,19
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
Region of the Americas,"United States of 
America",12 (0),10 (0),2 (0),0 (0),0 (0),,,,,,,,20200208,19
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,20200208,19
European Region,Germany,14 (1),3 (1),11 (0),0 (0),0 (0),,,,,,,,20200208,19
,France,6 (0),5 (0),1 (0),0 (0),0 (0),,,,,,,,20200208,19
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,The United Kingdom,3 (0),1 (0),2*** (0),0 (0),0 (0),,,,,,,,20200208,19
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
,Spain,1 (0),0 (0),1§ (0),0 (0),0 (0),,,,,,,,20200208,19
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,20200208,19
"Eastern Mediterranean 
Region",United Arab Emirates,7 (2),5 (0),0 (0),2 (2),0 (0),,,,,,,,20200208,19
Other,"International 
conveyance (Japan)",64** (3),0 (0),0 (0),64 (3),0 (0),,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
,,,,,,,,,,,,,,20200208,19
