0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,,,,,,,,,,,,,,20200319,59
Western Pacific Region,,,,,,,,,,,,,,,,,,,20200319,59
China,81174,58,3242,11,Local transmission,0,,,,,,,,,,,,,20200319,59
Republic of Korea,8413,93,84,3,Local transmission,0,,,,,,,,,,,,,20200319,59
Japan,873,44,29,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Malaysia,673,120,2,2,Local transmission,0,,,,,,,,,,,,,20200319,59
Australia,510,96,6,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Singapore,313,47,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Philippines,187,0,14,2,Local transmission,1,,,,,,,,,,,,,20200319,59
Viet Nam,66,5,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Brunei Darussalam,56,2,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Cambodia,35,11,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
New Zealand,20,9,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Mongolia,5,1,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Territories**,,,,,,,,,,,,,,,,,,,20200319,59
"Guam 
5 
2 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,,,,,20200319,59
"French Polynesia 
3 
0 
0 
0 
Imported cases only 
3",,,,,,,,,,,,,,,,,,,20200319,59
European Region,,,,,,,,,,,,,,,,,,,20200319,59
Italy,35713,4207,2978,473,Local transmission,0,,,,,,,,,,,,,20200319,59
Spain,13716,2538,598,107,Local transmission,0,,,,,,,,,,,,,20200319,59
France,9043,0,244,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Germany,8198,1042,13,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Switzerland,3010,353,21,2,Local transmission,0,,,,,,,,,,,,,20200319,59
The United Kingdom,2630,672,103,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Netherlands,2051,0,58,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Austria,1646,314,4,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Belgium,1486,0,14,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Norway,1423,115,3,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Sweden,1279,112,3,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Denmark,1044,67,4,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Portugal,642,194,2,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Czechia,522,30,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Israel,427,0,0,0,Local transmission,2,,,,,,,,,,,,,20200319,59
Greece,418,0,5,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Finland,359,40,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Ireland,292,0,2,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Poland,287,0,5,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Slovenia,286,0,1,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Estonia,258,33,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Iceland,250,25,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Romania,246,62,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Luxembourg,210,63,2,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Turkey,191,51,2,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Russian Federation,147,54,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
San Marino,109,5,14,3,Local transmission,0,,,,,,,,,,,,,20200319,59
Slovakia,105,8,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Serbia††,96,11,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Bulgaria,92,11,2,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Armenia,84,32,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Croatia,81,16,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Latvia,71,11,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Albania,59,2,2,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Cyprus,58,25,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Hungary,58,8,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Malta,48,10,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Belarus,46,10,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Georgia,38,4,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
"Bosnia and 
Herzegovina",36,7,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Kazakhstan,36,3,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
North Macedonia,36,5,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Republic of Moldova,36,0,0,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Azerbaijan,34,13,1,1,Imported cases only,0,,,,,,,,,,,,,20200319,59
Lithuania,26,1,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Liechtenstein,25,18,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Ukraine,16,7,2,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Uzbekistan,16,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200319,59
Monaco,9,0,0,0,Under investigation,2,,,,,,,,,,,,,20200319,59
Kyrgyzstan,3,3,0,0,Under investigation,0,,,,,,,,,,,,,20200319,59
Montenegro,2,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200319,59
Holy See,1,0,0,0,Under investigation,12,,,,,,,,,,,,,20200319,59
Territories**,,,,,,,,,,,,,,,,,,,20200319,59
Faroe Islands,58,11,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Andorra,39,23,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Gibraltar,8,5,0,0,Under investigation,0,,,,,,,,,,,,,20200319,59
Jersey,5,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200319,59
Greenland,2,0,0,0,Under investigation,1,,,,,,,,,,,,,20200319,59
Guernsey,1,0,0,0,Imported cases only,9,,,,,,,,,,,,,20200319,59
South-East Asia Region,,,,,,,,,,,,,,,,,,,20200319,59
Indonesia,227,55,19,14,Local transmission,0,,,,,,,,,,,,,20200319,59
Thailand,212,35,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
India,151,14,3,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Sri Lanka,42,13,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Maldives,13,0,0,0,Local transmission,3,,,,,,,,,,,,,20200319,59
Bangladesh,10,2,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Bhutan,1,0,0,0,Imported cases only,12,,,,,,,,,,,,,20200319,59
Nepal,1,0,0,0,Imported cases only,55,,,,,,,,,,,,,20200319,59
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,20200319,59
"Iran (Islamic Republic 
of)",17361,1192,1135,147,Local transmission,0,,,,,,,,,,,,,20200319,59
Qatar,442,0,0,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Bahrain,256,5,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Pakistan,241,54,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Saudi Arabia,238,67,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Egypt,196,30,6,2,Local transmission,0,,,,,,,,,,,,,20200319,59
Iraq,164,0,12,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Kuwait,142,12,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Lebanon,133,13,4,1,Local transmission,0,,,,,,,,,,,,,20200319,59
United Arab Emirates,113,15,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Jordan,52,13,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Morocco,49,11,2,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Oman,33,9,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Tunisia,29,5,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Afghanistan,22,0,0,0,Imported cases only,1,,,,,,,,,,,,,20200319,59
Djibouti,1,1,0,0,Under investigation,0,,,,,,,,,,,,,20200319,59
Somalia,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,20200319,59
Sudan,1,0,1,0,Imported cases only,4,,,,,,,,,,,,,20200319,59
Territories**,,,,,,,,,,,,,,,,,,,20200319,59
"occupied Palestinian 
44 
3 
0 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,,,,,20200319,59
Region of the Americas,,,,,,,,,,,,,,,,,,,20200319,59
"United States of 
America",7087,3551,100,42,Local transmission,0,,,,,,,,,,,,,20200319,59
Canada,569,145,8,7,Local transmission,0,,,,,,,,,,,,,20200319,59
Brazil,291,57,1,1,Local transmission,0,,,,,,,,,,,,,20200319,59
Chile,238,82,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Ecuador,155,97,2,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Peru,145,59,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Colombia,93,48,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Mexico,93,11,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Panama,86,17,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Argentina,79,14,2,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Costa Rica,50,9,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
"Venezuela (Bolivarian 
Republic of)",36,3,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Uruguay,29,23,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Dominican Republic,21,0,1,0,Local transmission,1,,,,,,,,,,,,,20200319,59
Jamaica,13,1,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
"Bolivia (Plurinational 
State of)",12,1,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Paraguay,11,2,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Cuba,10,5,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Honduras,9,1,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Trinidad and Tobago,7,2,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Guatemala,6,0,1,0,Imported cases only,1,,,,,,,,,,,,,20200319,59
Guyana,4,1,1,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Bahamas,3,2,0,0,Local transmission,0,,,,,,,,,,,,,20200319,59
Barbados,2,2,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
Saint Lucia,2,0,0,0,Imported cases only,3,,,,,,,,,,,,,20200319,59
Antigua and Barbuda,1,0,0,0,Imported cases only,5,,,,,,,,,,,,,20200319,59
Montserrat,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,20200319,59
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,5,,,,,,,,,,,,,20200319,59
Suriname,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,20200319,59
