0,1,2,3,4,5,6,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,20200302,42
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,20200302,42
Hubei,5917,196,80,42,67103,2803,20200302,42
Guangdong,11346,1,0,0,1350,7,20200302,42
Henan,9605,0,0,0,1272,22,20200302,42
Zhejiang,5737,1,4,0,1206,1,20200302,42
Hunan,6899,0,0,0,1018,4,20200302,42
Anhui,6324,0,0,0,990,6,20200302,42
Jiangxi,4648,0,0,0,935,1,20200302,42
Shandong,10047,2,0,0,758,6,20200302,42
Jiangsu,8051,0,0,0,631,0,20200302,42
Chongqing,3102,0,1,0,576,6,20200302,42
Sichuan,8341,0,2,0,538,3,20200302,42
Heilongjiang,3773,0,0,0,480,13,20200302,42
Beijing,2154,1,12,0,414,8,20200302,42
Shanghai,2424,0,11,0,337,3,20200302,42
Hebei,7556,0,0,0,318,6,20200302,42
Fujian,3941,0,0,0,296,1,20200302,42
Guangxi,4926,0,0,0,252,2,20200302,42
Shaanxi,3864,0,0,0,245,1,20200302,42
Yunnan,4830,0,3,0,174,2,20200302,42
Hainan,934,0,1,0,168,5,20200302,42
Guizhou,3600,0,0,0,146,2,20200302,42
Tianjin,1560,0,9,0,136,3,20200302,42
Shanxi,3718,0,0,0,133,0,20200302,42
Liaoning,4359,0,16,0,122,1,20200302,42
Hong Kong SAR,745,3,0,0,98,2,20200302,42
Jilin,2704,0,2,0,93,1,20200302,42
Gansu,2637,0,0,0,91,2,20200302,42
Xinjiang,2487,0,0,0,76,3,20200302,42
Inner Mongolia,2534,0,0,0,75,0,20200302,42
Ningxia,688,1,0,0,74,0,20200302,42
Taipei and environs,2359,1,0,0,40,1,20200302,42
Qinghai,603,0,0,0,18,0,20200302,42
Macao SAR,66,0,0,0,10,0,20200302,42
Xizang,344,0,0,0,1,0,20200302,42
Total,142823,206,141,42,80174,2915,20200302,42
"Total 
Total 
Total 
Days since 
Total 
Transmission 
Country 
confirmed* 
confirmed 
new 
last reported 
deaths 
classification† 
cases 
new cases 
deaths 
case",,,,,,,20200302,42
Western Pacific Region,,,,,,,20200302,42
Republic of Korea,4212,476,22,4,Local transmission,0,20200302,42
Japan,254,15,6,1,Local transmission,0,20200302,42
Singapore,106,4,0,0,Local transmission,0,20200302,42
Australia,27,2,1,1,Local transmission,0,20200302,42
Malaysia,24,0,0,0,Local transmission,3,20200302,42
Viet Nam,16,0,0,0,Local transmission,18,20200302,42
Philippines,3,0,1,0,Imported cases only,27,20200302,42
Cambodia,1,0,0,0,Imported cases only,35,20200302,42
New Zealand,1,0,0,0,Imported cases only,3,20200302,42
European Region,,,,,,,20200302,42
Italy,1689,561,35,6,Local transmission,0,20200302,42
Germany,129,72,0,0,Local transmission,0,20200302,42
France,100,0,2,0,Local transmission,1,20200302,42
Spain,45,0,0,0,Local transmission,1,20200302,42
the United Kingdom,36,13,0,0,Local transmission,0,20200302,42
Switzerland,24,6,0,0,Local transmission,0,20200302,42
Norway,19,4,0,0,Local transmission,0,20200302,42
Sweden,14,1,0,0,Local transmission,0,20200302,42
Netherlands,13,6,0,0,Local transmission,0,20200302,42
Austria,10,0,0,0,Imported cases only,1,20200302,42
Croatia,7,0,0,0,Local transmission,1,20200302,42
Greece,7,4,0,0,Local transmission,0,20200302,42
Israel,7,0,0,0,Local transmission,1,20200302,42
Finland,6,4,0,0,Local transmission,0,20200302,42
Denmark,4,1,0,0,Local transmission,0,20200302,42
Azerbaijan,3,0,0,0,Imported cases only,1,20200302,42
Czechia,3,3,0,0,Imported cases only,0,20200302,42
Georgia,3,0,0,0,Imported cases only,1,20200302,42
Romania,3,0,0,0,Imported cases only,2,20200302,42
Iceland,2,2,0,0,Imported cases only,0,20200302,42
Russian Federation,2,0,0,0,Imported cases only,31,20200302,42
Armenia,1,1,0,0,Imported cases only,0,20200302,42
Belarus,1,0,0,0,Imported cases only,3,20200302,42
Belgium,1,0,0,0,Imported cases only,27,20200302,42
Estonia,1,0,0,0,Imported cases only,4,20200302,42
Ireland,1,0,0,0,Imported cases only,1,20200302,42
Lithuania,1,0,0,0,Imported cases only,3,20200302,42
Luxembourg,1,1,0,0,Imported cases only,0,20200302,42
Monaco,1,0,0,0,Under investigation,1,20200302,42
North Macedonia,1,0,0,0,Imported cases only,5,20200302,42
San Marino,1,0,0,0,Local transmission,2,20200302,42
South-East Asia Region,,,,,,,20200302,42
Thailand,42,0,1,1,Local transmission,2,20200302,42
India,3,0,0,0,Imported cases only,28,20200302,42
Indonesia,2,2,0,0,Local transmission,0,20200302,42
Nepal,1,0,0,0,Imported cases only,38**,20200302,42
Sri Lanka,1,0,0,0,Imported cases only,35,20200302,42
Eastern Mediterranean Region,,,,,,,20200302,42
"Iran (Islamic 
Republic of)",978,385,54,11,Local transmission,0,20200302,42
Kuwait,56,11,0,0,Imported cases only,0,20200302,42
Bahrain,47,7,0,0,Imported cases only,0,20200302,42
"United Arab 
Emirates",21,2,0,0,Local transmission,0,20200302,42
Iraq,19,6,0,0,Imported cases only,0,20200302,42
Lebanon,10§§,1,0,0,Imported cases only,0,20200302,42
Oman,6,0,0,0,Imported cases only,3,20200302,42
Pakistan,4,0,0,0,Imported cases only,1,20200302,42
Qatar,3,2,0,0,Imported cases only,0,20200302,42
Egypt,2,1,0,0,Imported cases only,0,20200302,42
Afghanistan,1,0,0,0,Imported cases only,7,20200302,42
Region of the Americas,,,,,,,20200302,42
the United States,62,2,0,0,Local transmission,0,20200302,42
Canada,19,0,0,0,Local transmission,1,20200302,42
Mexico,5,3,0,0,Imported cases only,0,20200302,42
Brazil,2,0,0,0,Imported cases only,1,20200302,42
Dominican Republic,1,1,0,0,Imported cases only,0,20200302,42
Ecuador,1,0,0,0,Imported cases only,1,20200302,42
African Region,,,,,,,20200302,42
Algeria,1,0,0,0,Imported cases only,6,20200302,42
Nigeria,1,0,0,0,Imported cases only,3,20200302,42
"Subtotal for all 
regions",8068,1599,122,24,,,20200302,42
"International 
conveyance 
(Diamond Princess) ‡",706,1,6,0,Local transmission,0,20200302,42
Grand total§,8774,1600,128,24,,,20200302,42
,,,,,,,20200302,42
,,,,,,,20200302,42
,,,,,,,20200302,42
