0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,,,20200331,71
Western Pacific Region,,,,,,,,,,,,,,,,,,,20200331,71
China,82545,98,3314,4,Local transmission,0,,,,,,,,,,,,,20200331,71
Republic of Korea,9786,125,162,4,Local transmission,0,,,,,,,,,,,,,20200331,71
Australia,4359,393,18,2,Local transmission,0,,,,,,,,,,,,,20200331,71
Malaysia,2626,156,37,3,Local transmission,0,,,,,,,,,,,,,20200331,71
Japan,1953,87,56,2,Local transmission,0,,,,,,,,,,,,,20200331,71
Philippines,1546,128,78,7,Local transmission,0,,,,,,,,,,,,,20200331,71
Singapore,879,35,3,0,Local transmission,0,,,,,,,,,,,,,20200331,71
New Zealand,600,48,1,0,Local transmission,0,,,,,,,,,,,,,20200331,71
Viet Nam,203,15,0,0,Local transmission,0,,,,,,,,,,,,,20200331,71
Brunei Darussalam,127,1,1,0,Local transmission,0,,,,,,,,,,,,,20200331,71
Cambodia,107,4,0,0,Local transmission,0,,,,,,,,,,,,,20200331,71
Mongolia,12,0,0,0,Imported cases only,3,,,,,,,,,,,,,20200331,71
"Lao People's 
Democratic Republic",8,0,0,0,Local transmission,1,,,,,,,,,,,,,20200331,71
Fiji,5,0,0,0,Local transmission,5,,,,,,,,,,,,,20200331,71
Papua New Guinea,1,0,0,0,Imported cases only,10,,,,,,,,,,,,,20200331,71
Territories**,,,,,,,,,,,,,,,,,,,20200331,71
Guam,58,2,1,0,Local transmission,0,,,,,,,,,,,,,20200331,71
French Polynesia,36,1,0,0,Local transmission,0,,,,,,,,,,,,,20200331,71
New Caledonia,15,0,0,0,Local transmission,3,,,,,,,,,,,,,20200331,71
"Northern Mariana 
Islands 
(Commonwealth of 
the)",2,0,0,0,Under investigation,2,,,,,,,,,,,,,20200331,71
European Region,,,,,,,,,,,,,,,,,,,20200331,71
Italy,101739,4050,11591,810,Local transmission,0,,,,,,,,,,,,,20200331,71
Spain,85195,6398,7340,812,Local transmission,0,,,,,,,,,,,,,20200331,71
Germany,61913,4615,583,128,Local transmission,0,,,,,,,,,,,,,20200331,71
France,43977,4335,3017,415,Local transmission,0,,,,,,,,,,,,,20200331,71
The United Kingdom,22145,2619,1408,180,Local transmission,0,,,,,,,,,,,,,20200331,71
Switzerland,15412,1138,295,38,Local transmission,0,,,,,,,,,,,,,20200331,71
Belgium,11899,1063,513,82,Local transmission,0,,,,,,,,,,,,,20200331,71
Netherlands,11750,884,864,93,Local transmission,0,,,,,,,,,,,,,20200331,71
Turkey,10827,1556,168,37,Local transmission,0,,,,,,,,,,,,,20200331,71
Austria,9618,805,108,22,Local transmission,0,,,,,,,,,,,,,20200331,71
Portugal,6408,446,140,21,Local transmission,0,,,,,,,,,,,,,20200331,71
Israel,4831,584,17,2,Local transmission,0,,,,,,,,,,,,,20200331,71
Norway,4226,124,26,4,Local transmission,0,,,,,,,,,,,,,20200331,71
Sweden,4028,328,146,36,Local transmission,0,,,,,,,,,,,,,20200331,71
Czechia,3002,173,24,8,Local transmission,0,,,,,,,,,,,,,20200331,71
Ireland,2910,295,54,8,Local transmission,0,,,,,,,,,,,,,20200331,71
Denmark,2577,182,77,5,Local transmission,0,,,,,,,,,,,,,20200331,71
Poland,2055,193,31,9,Local transmission,0,,,,,,,,,,,,,20200331,71
Luxembourg,1988,38,22,1,Local transmission,0,,,,,,,,,,,,,20200331,71
Romania,1952,192,44,4,Local transmission,0,,,,,,,,,,,,,20200331,71
Russian Federation,1837,303,9,0,Local transmission,0,,,,,,,,,,,,,20200331,71
