0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,20200402,73
Kyrgyzstan,115,4,0,0,Local transmission,0,,,,,,,,,,20200402,73
Liechtenstein,72,4,0,0,Under investigation,0,,,,,,,,,,20200402,73
Monaco,37,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Holy See,6,0,0,0,Under investigation,3,,,,,,,,,,20200402,73
Territories**,,,,,,,,,,,,,,,,20200402,73
Faroe Islands,173,4,0,0,Local transmission,0,,,,,,,,,,20200402,73
Kosovo[1],125,13,1,0,Local transmission,0,,,,,,,,,,20200402,73
Gibraltar,69,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
Jersey,81,18,2,0,Local transmission,0,,,,,,,,,,20200402,73
Guernsey,78,18,1,0,Local transmission,0,,,,,,,,,,20200402,73
Isle of Man,65,13,0,0,Local transmission,0,,,,,,,,,,20200402,73
Greenland,10,0,0,0,Under investigation,4,,,,,,,,,,20200402,73
South-East Asia Region,,,,,,,,,,,,,,,,20200402,73
"Thailand 
1771 
0 
12 
0 
Local transmission 
1",,,,,,,,,,,,,,,,20200402,73
"Indonesia 
1677 
149 
157 
21 
Local transmission 
0",,,,,,,,,,,,,,,,20200402,73
"India 
1636 
0 
38 
0 
Local transmission 
1",,,,,,,,,,,,,,,,20200402,73
Sri Lanka,143,0,2,0,Local transmission,1,,,,,,,,,,20200402,73
Bangladesh,54,0,6,0,Local transmission,1,,,,,,,,,,20200402,73
Maldives,18,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Myanmar,15,0,1,0,Local transmission,1,,,,,,,,,,20200402,73
Nepal,5,0,0,0,Imported cases only,4,,,,,,,,,,20200402,73
Bhutan,4,0,0,0,Imported cases only,3,,,,,,,,,,20200402,73
Timor-Leste,1,0,0,0,Under investigation,12,,,,,,,,,,20200402,73
Eastern Mediterranean Region,,,,,,,,,,,,,,,,20200402,73
"Iran (Islamic Republic 
of)",47593,2987,3036,138,Local transmission,0,,,,,,,,,,20200402,73
Pakistan,2291,252,31,5,Local transmission,0,,,,,,,,,,20200402,73
Saudi Arabia,1720,157,16,6,Local transmission,0,,,,,,,,,,20200402,73
Qatar,835,54,2,0,Local transmission,0,,,,,,,,,,20200402,73
United Arab Emirates,814,150,8,2,Local transmission,0,,,,,,,,,,20200402,73
Egypt,779,69,52,6,Local transmission,0,,,,,,,,,,20200402,73
Iraq,728,34,52,2,Local transmission,0,,,,,,,,,,20200402,73
Morocco,676,38,39,3,Local transmission,0,,,,,,,,,,20200402,73
Bahrain,569,2,4,0,Local transmission,0,,,,,,,,,,20200402,73
Lebanon,479,16,12,0,Local transmission,0,,,,,,,,,,20200402,73
Tunisia,423,29,12,2,Local transmission,0,,,,,,,,,,20200402,73
Kuwait,342,25,0,0,Local transmission,0,,,,,,,,,,20200402,73
Jordan,278,4,5,0,Local transmission,0,,,,,,,,,,20200402,73
Afghanistan,235,43,4,0,Local transmission,0,,,,,,,,,,20200402,73
Oman,231,21,1,0,Local transmission,0,,,,,,,,,,20200402,73
Djibouti,34,3,0,0,Local transmission,0,,,,,,,,,,20200402,73
Libya,10,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Syrian Arab Republic,10,0,2,0,Imported cases only,2,,,,,,,,,,20200402,73
Sudan,7,0,2,0,Imported cases only,1,,,,,,,,,,20200402,73
Somalia,5,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Territories**,,,,,,,,,,,,,,,,20200402,73
"occupied Palestinian 
134 
0 
1 
0 
Local transmission 
1 
territory",,,,,,,,,,,,,,,,20200402,73
Region of the Americas,,,,,,,,,,,,,,,,20200402,73
"United States of 
America",187302,24103,3846,996,Local transmission,0,,,,,,,,,,20200402,73
Canada,9005,1310,105,16,Local transmission,0,,,,,,,,,,20200402,73
Brazil,5717,1138,201,42,Local transmission,0,,,,,,,,,,20200402,73
Chile,3031,293,16,4,Local transmission,0,,,,,,,,,,20200402,73
Ecuador,2372,132,146,71,Local transmission,0,,,,,,,,,,20200402,73
Peru,1323,258,24,0,Local transmission,0,,,,,,,,,,20200402,73
Dominican Republic,1284,175,57,6,Local transmission,0,,,,,,,,,,20200402,73
Mexico,1215,121,29,1,Local transmission,0,,,,,,,,,,20200402,73
Panama,1181,192,30,6,Local transmission,0,,,,,,,,,,20200402,73
Argentina,1054,88,27,3,Local transmission,0,,,,,,,,,,20200402,73
Colombia,906,108,16,2,Local transmission,0,,,,,,,,,,20200402,73
Costa Rica,347,33,2,0,Local transmission,0,,,,,,,,,,20200402,73
Uruguay,338,18,2,1,Local transmission,0,,,,,,,,,,20200402,73
Cuba,212,26,6,0,Local transmission,0,,,,,,,,,,20200402,73
Honduras,172,33,10,8,Local transmission,0,,,,,,,,,,20200402,73
"Venezuela (Bolivarian 
Republic of)",143,14,3,0,Local transmission,0,,,,,,,,,,20200402,73
"Bolivia (Plurinational 
State of)",115,8,7,1,Local transmission,0,,,,,,,,,,20200402,73
Trinidad and Tobago,89,4,5,2,Local transmission,0,,,,,,,,,,20200402,73
Paraguay,69,4,3,0,Local transmission,0,,,,,,,,,,20200402,73
Guatemala,39,3,1,0,Local transmission,0,,,,,,,,,,20200402,73
Jamaica,38,2,1,0,Local transmission,0,,,,,,,,,,20200402,73
Barbados,33,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
El Salvador,32,2,1,1,Local transmission,0,,,,,,,,,,20200402,73
Guyana,19,7,2,0,Local transmission,0,,,,,,,,,,20200402,73
