0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,,,,,,,,,,,,,,,,,20200318,58
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,20200318,58
China,81116,39,3231,13,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Republic of Korea,8320,84,81,6,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Japan,829,15,28,4,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Malaysia,553,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Australia,414,78,5,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Singapore,266,23,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Philippines,187,45,12,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Viet Nam,61,4,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Brunei Darussalam,54,4,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Cambodia,24,12,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
New Zealand,11,5,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Mongolia,4,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Territories**,,,,,,,,,,,,,,,,,,,,,,20200318,58
"French Polynesia 
3 
0 
0 
0 
Imported cases only 
2",,,,,,,,,,,,,,,,,,,,,,20200318,58
"Guam 
3 
3 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,,,,,,,,20200318,58
European Region,,,,,,,,,,,,,,,,,,,,,,20200318,58
Italy,31506,3526,2503,345,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Spain,11178,1987,491,182,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
France,7652,1079,175,27,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Germany,7156,1144,13,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Switzerland,2650,450,14,5,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
The United Kingdom,1954,407,55,5,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Netherlands,1705,292,43,19,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Belgium,1486,401,14,9,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Austria,1332,373,3,2,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Norway,1308,139,3,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Sweden,1167,108,3,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Denmark,977,79,4,3,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Portugal,448,117,1,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Czechia,434,136,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Greece,387,56,4,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Finland,319,47,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Israel,304,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Ireland,292,69,2,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Slovenia,275,22,1,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Poland,246,96,5,2,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Estonia,225,20,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Iceland,225,45,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Romania,184,26,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Luxembourg,140,59,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
San Marino,104,2,11,2,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Slovakia,97,25,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Russian Federation,93,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Bulgaria,81,14,2,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Serbia††,85,23,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Croatia,65,9,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Latvia,60,24,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Albania,55,4,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Armenia,52,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Hungary,50,11,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Turkey,47,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Malta,38,8,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Belarus,36,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Georgia,34,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Cyprus,33,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Kazakhstan,33,27,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
North Macedonia,31,12,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Republic of Moldova,30,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Lithuania,25,8,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Azerbaijan,21,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,20200318,58
"Bosnia and 
Herzegovina",19,0,0,0,Local transmission,2,,,,,,,,,,,,,,,,20200318,58
Andorra,16,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Uzbekistan,16,12,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Ukraine,14,9,2,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Monaco,9,0,0,0,Under investigation,1,,,,,,,,,,,,,,,,20200318,58
Liechtenstein,7,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Montenegro,2,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Holy See,1,0,0,0,Under investigation,11,,,,,,,,,,,,,,,,20200318,58
Territories**,,,,,,,,,,,,,,,,,,,,,,20200318,58
Faroe Islands,47,36,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Jersey,5,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Gibraltar,3,0,0,0,Under investigation,1,,,,,,,,,,,,,,,,20200318,58
Guernsey,1,0,0,0,Imported cases only,8,,,,,,,,,,,,,,,,20200318,58
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,20200318,58
Thailand,177,30,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Indonesia,172,0,5,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
India,137,23,3,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Sri Lanka,29,10,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Maldives,13,0,0,0,Local transmission,2,,,,,,,,,,,,,,,,20200318,58
Bangladesh,8,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Bhutan,1,0,0,0,Imported cases only,11,,,,,,,,,,,,,,,,20200318,58
Nepal,1,0,0,0,Imported cases only,54,,,,,,,,,,,,,,,,20200318,58
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,20200318,58
"Iran (Islamic Republic 
of)",16169,1178,988,135,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Qatar,442,41,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Bahrain,237,16,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Pakistan,187,134,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Saudi Arabia,171,38,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Egypt,166,40,4,2,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Iraq,154,30,11,2,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Kuwait,130,7,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Lebanon,120,21,3,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
United Arab Emirates,98,0,0,0,Local transmission,2,,,,,,,,,,,,,,,,20200318,58
Morocco,38,9,2,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Jordan,35,29,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Oman,24,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Tunisia,24,4,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Afghanistan,22,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
"Somalia 
1 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,,,,,,,,,,,,20200318,58
"Sudan 
1 
0 
1 
0 
Imported cases only 
3",,,,,,,,,,,,,,,,,,,,,,20200318,58
Territories**,,,,,,,,,,,,,,,,,,,,,,20200318,58
"occupied Palestinian 
41 
2 
0 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,,,,,,,,20200318,58
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,20200318,58
"United States of 
America",3536,1822,58,17,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Canada,424,120,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Brazil,234,34,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Chile,156,81,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Peru,86,15,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Mexico,82,29,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Panama,69,26,1,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Argentina,65,9,2,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
