0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
Ecuador,58,21,2,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Colombia,45,11,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Costa Rica,41,6,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
"Venezuela (Bolivarian 
Republic of)",33,16,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Dominican Republic,21,16,1,1,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Jamaica,12,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
"Bolivia (Plurinational 
State of)",11,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
Paraguay,9,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Honduras,8,6,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Guatemala,6,5,1,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Uruguay,6,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Cuba,5,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Trinidad and Tobago,5,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Guyana,4,0,1,0,Local transmission,2,,,,,,,,,,,,,,,,20200318,58
Saint Lucia,2,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,20200318,58
Antigua and Barbuda,1,0,0,0,Imported cases only,4,,,,,,,,,,,,,,,,20200318,58
Bahamas,1,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,4,,,,,,,,,,,,,,,,20200318,58
Suriname,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,20200318,58
Territories**,,,,,,,,,,,,,,,,,,,,,,20200318,58
Guadeloupe,18,12,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Martinique,16,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
French Guiana,7,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Curacao,3,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Puerto Rico,3,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Saint Barthélemy,3,0,0,0,Under investigation,2,,,,,,,,,,,,,,,,20200318,58
Aruba,2,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Saint Martin,2,0,0,0,Under investigation,15,,,,,,,,,,,,,,,,20200318,58
"United States Virgin 
Islands",2,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Cayman Islands,1,0,1,0,Imported cases only,4,,,,,,,,,,,,,,,,20200318,58
African Region,,,,,,,,,,,,,,,,,,,,,,20200318,58
South Africa,62,11,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Algeria,60,11,4,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Senegal,27,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Burkina Faso,20,5,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Rwanda,7,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,20200318,58
Cote d’Ivoire,6,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Ghana,6,4,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Cameroon,5,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Ethiopia,5,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Seychelles,4,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,20200318,58
"Democratic Republic 
of the Congo",3,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Kenya,3,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,20200318,58
Namibia,2,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Nigeria,2,0,0,0,Imported cases only,8,,,,,,,,,,,,,,,,20200318,58
Benin,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
"Central African 
Republic",1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Congo,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,20200318,58
Equatorial Guinea,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Eswatini,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Gabon,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Guinea,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Liberia,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Mauritania,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
Togo,1,0,0,0,Imported cases only,10,,,,,,,,,,,,,,,,20200318,58
"United Republic of 
Tanzania",1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,20200318,58
Territories**,,,,,,,,,,,,,,,,,,,,,,20200318,58
Réunion,9,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,20200318,58
Mayotte,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,20200318,58
"Subtotal for all 
regions",190415,15123,7800,786,,,,,,,,,,,,,,,,,,20200318,58
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,2,,,,,,,,,,,,,,,,20200318,58
Grand total,191127,15123,7807,786,,,,,,,,,,,,,,,,,,20200318,58
,,,,,,,,,,,,,,,,,,,,,,20200318,58
,,,,,,,,,,,,,,,,,,,,,,20200318,58
,,,,,,,,,,,,,,,,,,,,,,20200318,58
