0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
"Canada 
9 (1) 
7 (0) 
1 (1) 
0 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Italy,76 (67),3 (0),0 (0),9 (3),64 (64),2 (2),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
The United Kingdom,9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Israel,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Iran (Islamic Republic of),28 (10),0 (0),0 (0),18 (0),10 (10),5 (1),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
United Arab Emirates,13 (2),6 (0),2 (2),5 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Lebanon,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Subtotal for all regions,1135 (367),178 (1),48 (4),578 (94),331 (268),15 (6),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
"International 
conveyance‡ (Diamond 
Princess)",634 (0),0 (0),0 (0),0 (0),634 (0),2 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
Grand total,1769 (367),178 (1),48 (4),578 (94),965 (268),17 (6),,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200223,34
