0,1,2,3,4,5,6,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,20200303,43
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
Dominican Republic,1,0,0,0,Imported cases only,1,20200303,43
African Region,,,,,,,20200303,43
Algeria,5,4,0,0,Local transmission,0,20200303,43
Nigeria,1,0,0,0,Imported cases only,4,20200303,43
Senegal,1,1,0,0,Imported cases only,0,20200303,43
"Subtotal for all 
regions",9859,1792,160,38,,,20200303,43
"International 
conveyance 
(Diamond Princess) ‡",706,0,6,0,Local transmission,1,20200303,43
Grand total§,10565,1792,166,38,,,20200303,43
,,,,,,,20200303,43
,,,,,,,20200303,43
,,,,,,,20200303,43
