0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,,20200404,75
Western Pacific Region,,,,,,,,,,,,,,,,,,20200404,75
China,82875,73,3335,4,Local transmission,0,,,,,,,,,,,,20200404,75
Republic of Korea,10156,94,177,3,Local transmission,0,,,,,,,,,,,,20200404,75
Australia,5454,230,28,5,Local transmission,0,,,,,,,,,,,,20200404,75
Malaysia,3333,217,53,3,Local transmission,0,,,,,,,,,,,,20200404,75
Philippines,3018,385,136,29,Local transmission,0,,,,,,,,,,,,20200404,75
Japan,2920,303,69,4,Local transmission,0,,,,,,,,,,,,20200404,75
Singapore,1114,65,5,1,Local transmission,0,,,,,,,,,,,,20200404,75
New Zealand,824,50,1,0,Local transmission,0,,,,,,,,,,,,20200404,75
Viet Nam,239,6,0,0,Local transmission,0,,,,,,,,,,,,20200404,75
Brunei Darussalam,134,1,1,0,Local transmission,0,,,,,,,,,,,,20200404,75
Cambodia,114,4,0,0,Local transmission,0,,,,,,,,,,,,20200404,75
Mongolia,14,0,0,0,Imported cases only,2,,,,,,,,,,,,20200404,75
"Lao People’s 
Democratic Republic",10,0,0,0,Local transmission,2,,,,,,,,,,,,20200404,75
Fiji,7,0,0,0,Local transmission,1,,,,,,,,,,,,20200404,75
Papua New Guinea,1,0,0,0,Imported cases only,14,,,,,,,,,,,,20200404,75
Territories**,,,,,,,,,,,,,,,,,,20200404,75
Guam,84,2,3,0,Local transmission,0,,,,,,,,,,,,20200404,75
French Polynesia,39,2,0,0,Local transmission,0,,,,,,,,,,,,20200404,75
New Caledonia,18,0,0,0,Local transmission,1,,,,,,,,,,,,20200404,75
"Northern Mariana 
Islands 
(Commonwealth of 
the)",8,0,1,0,Local transmission,1,,,,,,,,,,,,20200404,75
European Region,,,,,,,,,,,,,,,,,,20200404,75
Italy,119827,4585,14681,764,Local transmission,0,,,,,,,,,,,,20200404,75
Spain,117710,7472,10935,932,Local transmission,0,,,,,,,,,,,,20200404,75
Germany,85778,6082,1158,141,Local transmission,0,,,,,,,,,,,,20200404,75
France,63536,5209,6493,2003,Local transmission,0,,,,,,,,,,,,20200404,75
The United Kingdom,38172,4450,3605,684,Local transmission,0,,,,,,,,,,,,20200404,75
Turkey,20921,2786,425,69,Local transmission,0,,,,,,,,,,,,20200404,75
Switzerland,19706,862,607,71,Local transmission,0,,,,,,,,,,,,20200404,75
Belgium,16770,1422,1143,132,Local transmission,0,,,,,,,,,,,,20200404,75
Netherlands,15723,1026,1487,148,Local transmission,0,,,,,,,,,,,,20200404,75
Austria,11525,396,168,10,Local transmission,0,,,,,,,,,,,,20200404,75
Portugal,9886,852,246,37,Local transmission,0,,,,,,,,,,,,20200404,75
Israel,7030,819,36,7,Local transmission,0,,,,,,,,,,,,20200404,75
Sweden,6078,612,333,51,Local transmission,0,,,,,,,,,,,,20200404,75
Norway,5208,273,44,2,Local transmission,0,,,,,,,,,,,,20200404,75
Ireland,4273,424,120,22,Local transmission,0,,,,,,,,,,,,20200404,75
Czechia,4190,332,53,9,Local transmission,0,,,,,,,,,,,,20200404,75
Russian Federation,4149,601,34,4,Local transmission,0,,,,,,,,,,,,20200404,75
Denmark,3757,371,139,16,Local transmission,0,,,,,,,,,,,,20200404,75
Poland,3383,437,71,14,Local transmission,0,,,,,,,,,,,,20200404,75
Romania,3183,445,133,39,Local transmission,0,,,,,,,,,,,,20200404,75
Luxembourg,2612,125,31,1,Local transmission,0,,,,,,,,,,,,20200404,75
Finland,1615,97,20,1,Local transmission,0,,,,,,,,,,,,20200404,75
Greece,1613,99,59,6,Local transmission,0,,,,,,,,,,,,20200404,75
Serbia,1476,305,39,26,Local transmission,0,,,,,,,,,,,,20200404,75
Iceland,1364,45,4,0,Local transmission,0,,,,,,,,,,,,20200404,75
Ukraine,1096,109,28,5,Local transmission,0,,,,,,,,,,,,20200404,75
Croatia,1079,68,8,1,Local transmission,0,,,,,,,,,,,,20200404,75
Estonia,961,103,12,1,Local transmission,0,,,,,,,,,,,,20200404,75
Slovenia,934,37,20,4,Local transmission,0,,,,,,,,,,,,20200404,75
Lithuania,771,122,9,0,Local transmission,0,,,,,,,,,,,,20200404,75
Armenia,736,96,7,3,Local transmission,0,,,,,,,,,,,,20200404,75
Hungary,678,93,32,11,Local transmission,0,,,,,,,,,,,,20200404,75
Republic of Moldova,591,0,9,1,Local transmission,1,,,,,,,,,,,,20200404,75
"Bosnia and 
Herzegovina",586,65,18,2,Local transmission,0,,,,,,,,,,,,20200404,75
Latvia,493,35,1,1,Local transmission,0,,,,,,,,,,,,20200404,75
Bulgaria,485,28,14,4,Local transmission,0,,,,,,,,,,,,20200404,75
Kazakhstan,460,25,3,0,Local transmission,0,,,,,,,,,,,,20200404,75
Slovakia,450,24,0,0,Local transmission,0,,,,,,,,,,,,20200404,75
Azerbaijan,443,43,5,0,Local transmission,0,,,,,,,,,,,,20200404,75
Andorra,442,13,16,1,Local transmission,0,,,,,,,,,,,,20200404,75
North Macedonia,430,46,12,1,Local transmission,0,,,,,,,,,,,,20200404,75
Cyprus,396,40,11,2,Local transmission,0,,,,,,,,,,,,20200404,75
Albania,333,56,17,1,Local transmission,0,,,,,,,,,,,,20200404,75
