0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
WHO Region,Country/Territory/Area,"Confirmed* 
(new) cases","Total 
(new) 
cases with 
travel 
history to 
China","Total (new) cases 
with    possible    
or confirmed 
transmission 
outside of China†","Total (new) 
cases with site 
of transmission 
under 
investigation","Total (new) 
deaths",,,,,,,,20200206,17
Western Pacific Region,China‡,28 060(3697),,,,564 (73),,,,,,,,20200206,17
,Singapore,28 (4),21 (1),7 (3),0 (0),0,,,,,,,,20200206,17
,Japan,25 (2),21 (1),4 (1),0,0,,,,,,,,20200206,17
,Republic of Korea,23 (5),10 (1),11 (3),2 (1),0,,,,,,,,20200206,17
,Australia,14 (1),14 (1),0 (0),0 (0),0,,,,,,,,20200206,17
,Malaysia,12 (2),9 (2),2 (0),1 (0),0,,,,,,,,20200206,17
,Viet Nam,10 (0),7 (0),3 (0),0 (0),0,,,,,,,,20200206,17
,Philippines,3 (0),2 (0),0 (0),1 (0),1,,,,,,,,20200206,17
,Cambodia,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
South-East Asia Region,Thailand,25 (0),21 (0),4 (0),0 (0),0,,,,,,,,20200206,17
,India,3 (0),3 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,Nepal,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
Region of the Americas,"United States of 
America",12 (1),10 (1),2 (0),0 (0),0,,,,,,,,20200206,17
,Canada,5 (0),3 (0),0 (0),2 (0),0,,,,,,,,20200206,17
European Region,Germany,12 (0),2 (0),10 (0),0 (0),0,,,,,,,,20200206,17
,France,6 (0),5 (0),1 (0),0 (0),0,,,,,,,,20200206,17
,Italy,2 (0),2 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,The United Kingdom,2 (0),1 (0),1 (0),0 (0),0,,,,,,,,20200206,17
,Belgium,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,Finland,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
,Spain,1 (0),0 (0),1§ (0),0 (0),0,,,,,,,,20200206,17
,Sweden,1 (0),1 (0),0 (0),0 (0),0,,,,,,,,20200206,17
"Eastern Mediterranean 
Region",United Arab Emirates,5 (0),5 (0),0 (0),0 (0),0,,,,,,,,20200206,17
Other,"Cases on an 
international 
conveyance (Japan)",20**(10),0(0),0(0),20 (10),0,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
,,,,,,,,,,,,,,20200206,17
