0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Hubei,5917,398,450,149,64287,2495,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Guangdong,11346,3,0,0,1345,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Henan,9605,0,9,0,1271,19,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Zhejiang,5737,0,5,0,1205,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Hunan,6899,0,1,0,1016,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Shandong,10047,1,1,0,755,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Chongqing,3102,2,8,0,575,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Sichuan,8341,1,8,0,527,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Heilongjiang,3773,0,0,0,480,12,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Beijing,2154,0,30,0,399,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Shanghai,2424,0,36,0,335,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Hebei,7556,0,0,0,311,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Fujian,3941,0,1,0,293,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Guangxi,4926,2,4,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Yunnan,4830,0,7,0,174,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Hainan,934,0,10,1,168,5,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Guizhou,3600,0,2,0,146,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Tianjin,1560,0,22,0,135,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Shanxi,3718,0,4,0,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Liaoning,4359,0,15,0,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Jilin,2704,2,7,0,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Hong Kong SAR,745,4,0,0,74,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Ningxia,688,0,0,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Taipei and environs,2359,2,0,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Total,142823,415,620,150,77262,2595,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Country/Territory/Area,"Confirmed† 
cases (new)",Likely place of exposure‡,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Republic of Korea,763 (161),13 (0),4 (0),605 (129),141 (32),7 (2),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Japan,144 (12),28 (0),5 (0),104 (10),7 (2),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Singapore,89 (0),24 (0),0 (0),65 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Australia,22 (0),12 (0),7 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Malaysia,22 (0),18 (0),2 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
