0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
Uzbekistan,145,12,2,0,Local transmission,0,,,,,,,,,,,,20200330,70
Georgia,98,8,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Belarus,152,58,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Montenegro,85,3,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Kyrgyzstan,84,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Liechtenstein,62,1,0,0,Under investigation,0,,,,,,,,,,,,20200330,70
Monaco,46,27,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Holy See,6,2,0,0,Under investigation,0,,,,,,,,,,,,20200330,70
Territories**,,,,,,,,,,,,,,,,,,20200330,70
Faroe Islands,159,4,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Kosovo[1],94,3,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Gibraltar,65,9,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Jersey,63,2,2,1,Local transmission,0,,,,,,,,,,,,20200330,70
Isle of Man,42,10,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Guernsey,39,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Greenland,10,0,0,0,Under investigation,1,,,,,,,,,,,,20200330,70
South-East Asia Region,,,,,,,,,,,,,,,,,,20200330,70
Thailand,1524,136,9,2,Local transmission,0,,,,,,,,,,,,20200330,70
Indonesia,1285,130,114,12,Local transmission,0,,,,,,,,,,,,20200330,70
India,1071,92,29,4,Local transmission,0,,,,,,,,,,,,20200330,70
Sri Lanka,120,14,1,1,Local transmission,0,,,,,,,,,,,,20200330,70
Bangladesh,49,1,5,0,Local transmission,0,,,,,,,,,,,,20200330,70
Maldives,17,1,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Myanmar,8,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Nepal,5,0,0,0,Imported cases only,1,,,,,,,,,,,,20200330,70
Bhutan,4,1,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Timor-Leste,1,0,0,0,Under investigation,9,,,,,,,,,,,,20200330,70
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,20200330,70
"Iran (Islamic Republic 
of)",38309,2901,2640,123,Local transmission,0,,,,,,,,,,,,20200330,70
Pakistan,1625,99,18,5,Local transmission,0,,,,,,,,,,,,20200330,70
Saudi Arabia,1299,96,8,4,Local transmission,0,,,,,,,,,,,,20200330,70
Qatar,634,44,2,1,Local transmission,0,,,,,,,,,,,,20200330,70
Egypt,609,33,40,4,Local transmission,0,,,,,,,,,,,,20200330,70
United Arab Emirates,570,102,3,1,Local transmission,0,,,,,,,,,,,,20200330,70
Iraq,547,41,42,0,Local transmission,0,,,,,,,,,,,,20200330,70
