0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Hubei,5917,499,373,68,64786,2563,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Guangdong,11346,2,0,1,1347,7,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Henan,9605,0,5,0,1271,19,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Zhejiang,5737,0,1,0,1205,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Hunan,6899,0,1,0,1016,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Shandong,10047,0,0,2,755,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Chongqing,3102,1,13,0,576,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Sichuan,8341,2,7,0,529,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Heilongjiang,3773,0,0,0,480,12,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Beijing,2154,1,18,0,400,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Shanghai,2424,0,30,0,335,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Hebei,7556,0,0,0,311,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Fujian,3941,1,0,0,294,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Guangxi,4926,1,3,0,252,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Yunnan,4830,0,9,0,174,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Hainan,934,0,9,0,168,5,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Guizhou,3600,0,0,0,146,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Tianjin,1560,0,38,0,135,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Shanxi,3718,1,0,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Liaoning,4359,0,9,0,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Jilin,2704,0,14,0,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Hong Kong SAR,745,7,0,0,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Ningxia,688,0,0,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Taipei and environs,2359,3,0,0,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Total,142823,518,530,71,77780,2666,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Country/Territory/Area,"Confirmed† 
cases (new)",Likely place of exposure‡,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Republic of Korea,977 (214),13 (0),4 (0),605 (0),355 (214),10 (3),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Japan,157 (13),28 (0),7 (2),110 (3),12 (8),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Singapore,90 (1),24 (0),0 (0),66 (1),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Australia,22 (0),12 (0),7 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Malaysia,22 (0),18 (0),2 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"Thailand 
37 (2) 
23 (0) 
0 (0) 
7 (1) 
7 (1) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"India 
3 (0) 
3 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"Nepal 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"Sri Lanka 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"United States of America 
53 (18) 
14 (0) 
36 (18) 
2 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"Canada 
10 (1) 
7 (0) 
1 (0) 
1 (0) 
1 (1) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Italy,229 (105),3 (0),0 (0),121 (0),105 (105),6 (4),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
The United Kingdom*,13 (0),2 (0),10 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Israel,2 (1),0 (0),2 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Iran (Islamic Republic of),61 (18),0 (0),0 (0),28 (0),33 (18),12 (4),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
United Arab Emirates,13 (0),6 (0),2 (0),5 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Bahrain,8 (8),0 (0),8 (8),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Kuwait,8 (5),0 (0),8 (5),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Oman,2 (2),0 (0),2 (2),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Afghanistan,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Iraq,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
Lebanon,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"S
ubtotal for all regions 
1768 (390) 
0 (0) 
94 (38) 
981 (5) 
514 (347) 
31 (11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"International conveyance§ 
691 (0) 
0 (0) 
0 (0) 
0 (0) 
691 (0) 
3 (0) 
(Diamond Princess)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
"Grand total 
2459 (390) 
179 (0) 
94 (38) 
981 (5) 
1205 (347) 
34 (11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200225,36
