0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,,20200324,64
Western Pacific Region,,,,,,,,,,,,,,20200324,64
China,81747,146,3283,7,Local transmission,0,,,,,,,,20200324,64
Republic of Korea,9037,76,120,9,Local transmission,0,,,,,,,,20200324,64
Australia,1709,313,7,0,Local transmission,0,,,,,,,,20200324,64
Malaysia,1518,212,14,4,Local transmission,0,,,,,,,,20200324,64
Japan,1128,39,42,1,Local transmission,0,,,,,,,,20200324,64
Singapore,507,52,2,0,Local transmission,0,,,,,,,,20200324,64
Philippines,462,82,33,8,Local transmission,0,,,,,,,,20200324,64
Viet Nam,123,10,0,0,Local transmission,0,,,,,,,,20200324,64
New Zealand,102,0,0,0,Local transmission,1,,,,,,,,20200324,64
Brunei Darussalam,91,3,0,0,Local transmission,0,,,,,,,,20200324,64
Cambodia,87,3,0,0,Local transmission,0,,,,,,,,20200324,64
Mongolia,10,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Fiji,3,1,0,0,Local transmission,0,,,,,,,,20200324,64
Papua New Guinea,1,0,0,0,Imported cases only,3,,,,,,,,20200324,64
Territories**,,,,,,,,,,,,,,20200324,64
"Guam 
29 
2 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,20200324,64
"French Polynesia 
18 
1 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,20200324,64
"New Caledonia 
8 
3 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,,20200324,64
European Region,,,,,,,,,,,,,,20200324,64
Italy,63927,4789,6077,601,Local transmission,0,,,,,,,,20200324,64
Spain,33089,4517,2182,462,Local transmission,0,,,,,,,,20200324,64
Germany,29212,4438,126,32,Local transmission,0,,,,,,,,20200324,64
France,19615,3794,860,186,Local transmission,0,,,,,,,,20200324,64
Switzerland,8015,1044,66,6,Local transmission,0,,,,,,,,20200324,64
The United Kingdom,6654,967,335,54,Local transmission,0,,,,,,,,20200324,64
Netherlands,4749,545,213,34,Local transmission,0,,,,,,,,20200324,64
Austria,4486,855,25,9,Local transmission,0,,,,,,,,20200324,64
Belgium,3743,342,88,13,Local transmission,0,,,,,,,,20200324,64
Norway,2371,239,8,1,Local transmission,0,,,,,,,,20200324,64
Portugal,2060,460,23,9,Local transmission,0,,,,,,,,20200324,64
Sweden,2016,110,25,4,Local transmission,0,,,,,,,,20200324,64
Turkey,1529,293,37,7,Local transmission,0,,,,,,,,20200324,64
Denmark,1460,65,24,11,Local transmission,0,,,,,,,,20200324,64
Israel,1238,167,1,0,Local transmission,0,,,,,,,,20200324,64
Czechia,1236,71,1,0,Local transmission,0,,,,,,,,20200324,64
Ireland,1125,219,6,2,Local transmission,0,,,,,,,,20200324,64
Luxembourg,875,77,8,0,Local transmission,0,,,,,,,,20200324,64
Poland,749,115,8,1,Local transmission,0,,,,,,,,20200324,64
Finland,700,74,1,0,Local transmission,0,,,,,,,,20200324,64
Greece,695,71,17,2,Local transmission,0,,,,,,,,20200324,64
Iceland,588,20,2,1,Local transmission,0,,,,,,,,20200324,64
Romania,576,143,7,5,Local transmission,0,,,,,,,,20200324,64
Slovenia,442,28,1,0,Local transmission,0,,,,,,,,20200324,64
Russian Federation,438,0,0,0,Local transmission,1,,,,,,,,20200324,64
Estonia,352,26,0,0,Local transmission,0,,,,,,,,20200324,64
Croatia,306,71,0,0,Local transmission,0,,,,,,,,20200324,64
Serbia,249,61,2,2,Local transmission,0,,,,,,,,20200324,64
Armenia,235,45,0,0,Local transmission,0,,,,,,,,20200324,64
Bulgaria,201,16,3,0,Local transmission,0,,,,,,,,20200324,64
Slovakia,191,6,0,0,Local transmission,0,,,,,,,,20200324,64
Hungary,187,20,8,1,Local transmission,0,,,,,,,,20200324,64
San Marino,187,36,20,0,Local transmission,0,,,,,,,,20200324,64
Latvia,180,41,0,0,Local transmission,0,,,,,,,,20200324,64
Lithuania,179,36,1,0,Local transmission,0,,,,,,,,20200324,64
Andorra,164,51,1,1,Local transmission,0,,,,,,,,20200324,64
