0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
North Macedonia,136,22,2,1,Local transmission,0,,,,,,,,20200324,64
"Bosnia and 
Herzegovina",131,6,1,0,Local transmission,0,,,,,,,,20200324,64
Albania,123,34,4,2,Local transmission,0,,,,,,,,20200324,64
Cyprus,116,21,0,0,Local transmission,0,,,,,,,,20200324,64
Republic of Moldova,109,15,1,0,Local transmission,0,,,,,,,,20200324,64
Malta,107,17,0,0,Local transmission,0,,,,,,,,20200324,64
Ukraine,84,37,3,0,Local transmission,0,,,,,,,,20200324,64
Belarus,81,5,0,0,Local transmission,0,,,,,,,,20200324,64
Azerbaijan,72,7,1,0,Local transmission,0,,,,,,,,20200324,64
Georgia,67,13,0,0,Local transmission,0,,,,,,,,20200324,64
Kazakhstan,63,3,0,0,Imported cases only,0,,,,,,,,20200324,64
Liechtenstein,46,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Uzbekistan,46,0,0,0,Local transmission,1,,,,,,,,20200324,64
Monaco,23,0,0,0,Local transmission,1,,,,,,,,20200324,64
Montenegro,22,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Kyrgyzstan,16,2,0,0,Local transmission,0,,,,,,,,20200324,64
Holy See,1,0,0,0,Under investigation,17,,,,,,,,20200324,64
Territories**,,,,,,,,,,,,,,20200324,64
Faroe Islands,118,3,0,0,Local transmission,0,,,,,,,,20200324,64
Kosovo[1],61,30,1,0,Local transmission,0,,,,,,,,20200324,64
Guernsey,20,3,0,0,Imported cases only,0,,,,,,,,20200324,64
Jersey,16,1,0,0,Local transmission,0,,,,,,,,20200324,64
Gibraltar,15,0,0,0,Under investigation,1,,,,,,,,20200324,64
Isle of Man,13,11,0,0,Imported cases only,0,,,,,,,,20200324,64
Greenland,4,2,0,0,Under investigation,0,,,,,,,,20200324,64
South-East Asia Region,,,,,,,,,,,,,,20200324,64
Thailand,827,106,4,3,Local transmission,0,,,,,,,,20200324,64
Indonesia,579,65,49,1,Local transmission,0,,,,,,,,20200324,64
India,434,19,9,2,Local transmission,0,,,,,,,,20200324,64
Sri Lanka,97,15,0,0,Local transmission,0,,,,,,,,20200324,64
Bangladesh,33,6,3,1,Local transmission,0,,,,,,,,20200324,64
Maldives,13,0,0,0,Local transmission,8,,,,,,,,20200324,64
Bhutan,2,0,0,0,Imported cases only,4,,,,,,,,20200324,64
Myanmar,2,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Nepal,2,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Timor-Leste,1,0,0,0,Imported cases only,3,,,,,,,,20200324,64
Eastern Mediterranean Region,,,,,,,,,,,,,,20200324,64
"Iran (Islamic Republic 
of)",23049,1411,1812,127,Local transmission,0,,,,,,,,20200324,64
Pakistan,887,103,6,1,Local transmission,0,,,,,,,,20200324,64
Saudi Arabia,562,51,0,0,Local transmission,0,,,,,,,,20200324,64
Qatar,501,7,0,0,Local transmission,0,,,,,,,,20200324,64
Bahrain,377,40,2,0,Local transmission,0,,,,,,,,20200324,64
Egypt,366,39,19,5,Local transmission,0,,,,,,,,20200324,64
Lebanon,267,19,4,0,Local transmission,0,,,,,,,,20200324,64
Iraq,266,33,23,3,Local transmission,0,,,,,,,,20200324,64
United Arab Emirates,198,45,2,0,Local transmission,0,,,,,,,,20200324,64
Kuwait,191,2,0,0,Local transmission,0,,,,,,,,20200324,64
Morocco,143,28,4,0,Local transmission,0,,,,,,,,20200324,64
Jordan,127,15,0,0,Imported cases only,0,,,,,,,,20200324,64
Tunisia,89,14,3,0,Local transmission,0,,,,,,,,20200324,64
Oman,84,29,0,0,Local transmission,0,,,,,,,,20200324,64
Afghanistan,42,2,1,0,Imported cases only,0,,,,,,,,20200324,64
Djibouti,3,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Sudan,2,0,1,0,Imported cases only,2,,,,,,,,20200324,64
Somalia,1,0,0,0,Imported cases only,7,,,,,,,,20200324,64
Syrian Arab Republic,1,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Territories**,,,,,,,,,,,,,,20200324,64
"occupied Palestinian 
59 
0 
0 
0 
Local transmission 
1 
territory",,,,,,,,,,,,,,20200324,64
Region of the Americas,,,,,,,,,,,,,,20200324,64
"United States of 
America",42164,10591,471,69,Local transmission,0,,,,,,,,20200324,64
Brazil,1546,642,25,14,Local transmission,0,,,,,,,,20200324,64
Canada,1432,48,20,1,Local transmission,0,,,,,,,,20200324,64
Ecuador,790,258,15,8,Local transmission,0,,,,,,,,20200324,64
Chile,746,114,1,0,Local transmission,0,,,,,,,,20200324,64
Peru,395,77,2,0,Local transmission,0,,,,,,,,20200324,64
Mexico,370,119,4,2,Local transmission,0,,,,,,,,20200324,64
Panama,345,100,6,3,Local transmission,0,,,,,,,,20200324,64
Colombia,277,81,3,1,Local transmission,0,,,,,,,,20200324,64
Argentina,266,41,4,0,Local transmission,0,,,,,,,,20200324,64
Dominican Republic,245,173,3,1,Local transmission,0,,,,,,,,20200324,64
Uruguay,162,27,0,0,Imported cases only,0,,,,,,,,20200324,64
Costa Rica,158,41,2,0,Local transmission,0,,,,,,,,20200324,64
"Venezuela (Bolivarian 
Republic of)",70,0,0,0,Local transmission,1,,,,,,,,20200324,64
Trinidad and Tobago,51,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Cuba,40,24,1,0,Imported cases only,0,,,,,,,,20200324,64
Honduras,30,4,0,0,Local transmission,0,,,,,,,,20200324,64
"Bolivia (Plurinational 
State of)",27,3,0,0,Local transmission,0,,,,,,,,20200324,64
Paraguay,22,0,1,0,Local transmission,1,,,,,,,,20200324,64
Guatemala,20,2,1,0,Local transmission,0,,,,,,,,20200324,64
Jamaica,19,0,1,0,Local transmission,1,,,,,,,,20200324,64
Barbados,17,12,0,0,Imported cases only,0,,,,,,,,20200324,64
Haiti,6,4,0,0,Imported cases only,0,,,,,,,,20200324,64
Guyana,5,0,1,0,Local transmission,5,,,,,,,,20200324,64
Bahamas,4,0,0,0,Local transmission,3,,,,,,,,20200324,64
El Salvador,3,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Saint Lucia,3,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Nicaragua,2,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Suriname,2,0,0,0,Imported cases only,3,,,,,,,,20200324,64
Antigua and Barbuda,1,0,0,0,Imported cases only,10,,,,,,,,20200324,64
Belize,1,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Dominica,1,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Grenada,1,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Saint Vincent and the,1,0,0,0,Imported cases only,11,,,,,,,,20200324,64
Grenadines,,,,,,,,,,,,,,20200324,64
Territories**,,,,,,,,,,,,,,20200324,64
Guadeloupe,62,6,0,0,Imported cases only,0,,,,,,,,20200324,64
Martinique,53,21,0,0,Imported cases only,0,,,,,,,,20200324,64
Puerto Rico,31,8,2,1,Imported cases only,0,,,,,,,,20200324,64
French Guiana,20,2,0,0,Local transmission,0,,,,,,,,20200324,64
"United States Virgin 
Islands",17,11,0,0,Imported cases only,0,,,,,,,,20200324,64
Aruba,9,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Saint Martin,8,3,0,0,Under investigation,0,,,,,,,,20200324,64
Bermuda,6,4,0,0,Imported cases only,0,,,,,,,,20200324,64
Cayman Islands,5,2,1,0,Imported cases only,0,,,,,,,,20200324,64
Curaçao,4,1,1,0,Imported cases only,0,,,,,,,,20200324,64
Saint Barthélemy,3,0,0,0,Under investigation,8,,,,,,,,20200324,64
Sint Maarten,2,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Montserrat,1,0,0,0,Imported cases only,6,,,,,,,,20200324,64
"Turks and Caicos 
Islands",1,1,0,0,Imported cases only,0,,,,,,,,20200324,64
African Region,,,,,,,,,,,,,,20200324,64
South Africa,402,128,0,0,Local transmission,0,,,,,,,,20200324,64
Algeria,231,30,17,0,Local transmission,0,,,,,,,,20200324,64
Burkina Faso,99,24,3,0,Local transmission,0,,,,,,,,20200324,64
Senegal,79,12,0,0,Local transmission,0,,,,,,,,20200324,64
Cameroon,72,32,0,0,Local transmission,0,,,,,,,,20200324,64
"Democratic Republic 
of the Congo",36,6,2,0,Local transmission,0,,,,,,,,20200324,64
Mauritius,36,24,0,0,Imported cases only,0,,,,,,,,20200324,64
Rwanda,36,19,0,0,Local transmission,0,,,,,,,,20200324,64
Ghana,27,3,2,2,Local transmission,0,,,,,,,,20200324,64
Côte d’Ivoire,25,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Nigeria,22,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Togo,18,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Kenya,16,1,0,0,Local transmission,0,,,,,,,,20200324,64
Madagascar,13,1,0,0,Imported cases only,0,,,,,,,,20200324,64
"United Republic of 
Tanzania",12,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Ethiopia,11,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Uganda,9,8,0,0,Imported cases only,0,,,,,,,,20200324,64
Seychelles,7,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Equatorial Guinea,6,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Gabon,6,0,1,0,Imported cases only,1,,,,,,,,20200324,64
Benin,5,3,0,0,Imported cases only,0,,,,,,,,20200324,64
"Central African 
Republic",4,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Congo,4,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Eswatini,4,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Guinea,4,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Cabo Verde,3,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Chad,3,2,0,0,Imported cases only,0,,,,,,,,20200324,64
Liberia,3,0,0,0,Local transmission,2,,,,,,,,20200324,64
Namibia,3,0,0,0,Imported cases only,4,,,,,,,,20200324,64
Zambia,3,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Angola,2,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Mauritania,2,0,0,0,Imported cases only,5,,,,,,,,20200324,64
Niger,2,1,0,0,Imported cases only,0,,,,,,,,20200324,64
Zimbabwe,2,0,1,1,Imported cases only,2,,,,,,,,20200324,64
Eritrea,1,0,0,0,Imported cases only,2,,,,,,,,20200324,64
Gambia,1,0,0,0,Imported cases only,6,,,,,,,,20200324,64
Mozambique,1,0,0,0,Imported cases only,1,,,,,,,,20200324,64
Territories**,,,,,,,,,,,,,,20200324,64
Réunion,71,7,0,0,Under investigation,0,,,,,,,,20200324,64
Mayotte,24,10,0,0,Imported cases only,0,,,,,,,,20200324,64
"Subtotal for all 
regions",372043,39825,16224,1722,,,,,,,,,,20200324,64
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,8,,,,,,,,20200324,64
Grand total,372755,39825,16231,1722,,,,,,,,,,20200324,64
,,,,,,,,,,,,,,20200324,64
,,,,,,,,,,,,,,20200324,64
,,,,,,,,,,,,,,20200324,64
