0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,,20200405,76
Western Pacific Region,,,,,,,,,,,,,,,,,,20200405,76
China,82930,55,3338,3,Local transmission,0,,,,,,,,,,,,20200405,76
Republic of Korea,10237,81,183,6,Local transmission,0,,,,,,,,,,,,20200405,76
Australia,5635,181,34,6,Local transmission,0,,,,,,,,,,,,20200405,76
Malaysia,3483,150,57,4,Local transmission,0,,,,,,,,,,,,20200405,76
Japan,3271,351,70,1,Local transmission,0,,,,,,,,,,,,20200405,76
Philippines,3094,76,144,8,Local transmission,0,,,,,,,,,,,,20200405,76
Singapore,1189,75,5,0,Local transmission,0,,,,,,,,,,,,20200405,76
New Zealand,872,48,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Viet Nam,240,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Brunei Darussalam,135,1,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Cambodia,114,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
Mongolia,14,0,0,0,Imported cases only,3,,,,,,,,,,,,20200405,76
Fiji,12,5,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
"Lao People's 
Democratic Republic",10,0,0,0,Local transmission,3,,,,,,,,,,,,20200405,76
Papua New Guinea,1,0,0,0,Imported cases only,15,,,,,,,,,,,,20200405,76
Territories**,,,,,,,,,,,,,,,,,,20200405,76
Guam,93,9,4,1,Local transmission,0,,,,,,,,,,,,20200405,76
French Polynesia,40,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
New Caledonia,18,0,0,0,Local transmission,2,,,,,,,,,,,,20200405,76
"Northern Mariana 
Islands 
(Commonwealth of 
the)",8,0,1,0,Local transmission,2,,,,,,,,,,,,20200405,76
European Region,,,,,,,,,,,,,,,,,,20200405,76
Spain,124736,7026,11744,809,Local transmission,0,,,,,,,,,,,,20200405,76
Italy,124632,4805,15362,681,Local transmission,0,,,,,,,,,,,,20200405,76
Germany,91714,5936,1342,184,Local transmission,0,,,,,,,,,,,,20200405,76
France,67757,4221,7546,1053,Local transmission,0,,,,,,,,,,,,20200405,76
The United Kingdom,41907,3735,4313,708,Local transmission,0,,,,,,,,,,,,20200405,76
Turkey,23934,3013,501,76,Local transmission,0,,,,,,,,,,,,20200405,76
Switzerland,20489,783,666,59,Local transmission,0,,,,,,,,,,,,20200405,76
Belgium,18431,1661,1283,140,Local transmission,0,,,,,,,,,,,,20200405,76
Netherlands,16627,904,1651,164,Local transmission,0,,,,,,,,,,,,20200405,76
Austria,11766,241,186,18,Local transmission,0,,,,,,,,,,,,20200405,76
Portugal,10524,638,266,20,Local transmission,0,,,,,,,,,,,,20200405,76
Israel,7589,559,42,6,Local transmission,0,,,,,,,,,,,,20200405,76
Sweden,6443,365,373,40,Local transmission,0,,,,,,,,,,,,20200405,76
Norway,5510,302,50,6,Local transmission,0,,,,,,,,,,,,20200405,76
Russian Federation,4731,582,43,9,Local transmission,0,,,,,,,,,,,,20200405,76
Ireland,4604,331,137,17,Local transmission,0,,,,,,,,,,,,20200405,76
Czechia,4472,282,59,6,Local transmission,0,,,,,,,,,,,,20200405,76
Denmark,4077,320,161,22,Local transmission,0,,,,,,,,,,,,20200405,76
Poland,3627,244,79,8,Local transmission,0,,,,,,,,,,,,20200405,76
Romania,3613,430,141,8,Local transmission,0,,,,,,,,,,,,20200405,76
Luxembourg,2729,117,31,0,Local transmission,0,,,,,,,,,,,,20200405,76
Finland,1882,267,25,5,Local transmission,0,,,,,,,,,,,,20200405,76
Greece,1673,60,68,9,Local transmission,0,,,,,,,,,,,,20200405,76
Serbia,1624,148,39,0,Local transmission,0,,,,,,,,,,,,20200405,76
Iceland,1417,53,4,0,Local transmission,0,,,,,,,,,,,,20200405,76
Ukraine,1251,155,32,4,Local transmission,0,,,,,,,,,,,,20200405,76
Croatia,1126,47,12,4,Local transmission,0,,,,,,,,,,,,20200405,76
Estonia,1018,57,13,1,Local transmission,0,,,,,,,,,,,,20200405,76
Slovenia,977,43,22,2,Local transmission,0,,,,,,,,,,,,20200405,76
Lithuania,771,0,9,0,Local transmission,1,,,,,,,,,,,,20200405,76
