0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
Liaoning,4359,0,0,0,125,1,,,,,,,20200310,50
Gansu,2637,0,0,0,124,2,,,,,,,20200310,50
Hong Kong SAR,745,1,0,0,115,3,,,,,,,20200310,50
Jilin,2704,0,0,0,93,1,,,,,,,20200310,50
Xinjiang,2487,0,0,0,76,3,,,,,,,20200310,50
Ningxia,688,0,0,0,75,0,,,,,,,20200310,50
Inner Mongolia,2534,0,0,0,75,1,,,,,,,20200310,50
Taipei and environs,2359,0,0,0,45,1,,,,,,,20200310,50
Qinghai,603,0,0,0,18,0,,,,,,,20200310,50
Macao SAR,66,0,0,0,10,0,,,,,,,20200310,50
Xizang,344,0,0,0,1,0,,,,,,,20200310,50
Total,142823,20,36,17,80924,3140,,,,,,,20200310,50
"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,,,,,,,,20200310,50
Western Pacific Region,,,,,,,,,,,,,20200310,50
Republic of Korea,7513,131,54,3,Local transmission,0,,,,,,,20200310,50
Japan,514,26,9,2,Local transmission,0,,,,,,,20200310,50
Singapore,160,10,0,0,Local transmission,0,,,,,,,20200310,50
Malaysia,117,24,0,0,Local transmission,0,,,,,,,20200310,50
Australia,92,15,3,0,Local transmission,0,,,,,,,20200310,50
Philippines,33,23,1,0,Local transmission,0,,,,,,,20200310,50
Viet Nam,31,1,0,0,Local transmission,0,,,,,,,20200310,50
New Zealand,5,0,0,0,Local transmission,3,,,,,,,20200310,50
Cambodia,2,0,0,0,Local transmission,2,,,,,,,20200310,50
Brunei Darussalam,1,1,0,0,Imported cases only,0,,,,,,,20200310,50
Mongolia,1,1,0,0,Imported cases only,0,,,,,,,20200310,50
European Region,,,,,,,,,,,,,20200310,50
Italy,9172,1797,463,97,Local transmission,0,,,,,,,20200310,50
France,1402,286,30,11,Local transmission,0,,,,,,,20200310,50
Germany,1139,27,2,2,Local transmission,0,,,,,,,20200310,50
Spain,1024,435,28,18,Local transmission,0,,,,,,,20200310,50
Switzerland,332,0,2,0,Local transmission,1,,,,,,,20200310,50
The United Kingdom,323,46,3,1,Local transmission,0,,,,,,,20200310,50
Netherlands,321,56,3,0,Local transmission,0,,,,,,,20200310,50
Sweden,248,45,0,0,Local transmission,0,,,,,,,20200310,50
Belgium,239,39,0,0,Local transmission,0,,,,,,,20200310,50
Norway,192,23,0,0,Local transmission,0,,,,,,,20200310,50
Austria,131,19,0,0,Local transmission,0,,,,,,,20200310,50
Denmark,90,54,0,0,Local transmission,0,,,,,,,20200310,50
Greece,73,0,0,0,Local transmission,1,,,,,,,20200310,50
Iceland,55,0,0,0,Local transmission,2,,,,,,,20200310,50
San Marino,49,12,2,1,Local transmission,0,,,,,,,20200310,50
Finland,40,10,0,0,Local transmission,0,,,,,,,20200310,50
Israel,39,0,0,0,Local transmission,1,,,,,,,20200310,50
Czechia,38,6,0,0,Local transmission,0,,,,,,,20200310,50
Portugal,30,0,0,0,Local transmission,1,,,,,,,20200310,50
Ireland,24,3,0,0,Local transmission,0,,,,,,,20200310,50
Slovenia,23,7,0,0,Local transmission,0,,,,,,,20200310,50
Poland,16,5,0,0,Local transmission,0,,,,,,,20200310,50
Georgia,15,2,0,0,Imported cases only,0,,,,,,,20200310,50
Romania,15,0,0,0,Local transmission,1,,,,,,,20200310,50
Croatia,12,1,0,0,Local transmission,0,,,,,,,20200310,50
Estonia,10,0,0,0,Imported cases only,3,,,,,,,20200310,50
Azerbaijan,9,0,0,0,Imported cases only,3,,,,,,,20200310,50
Hungary,9,0,0,0,Local transmission,1,,,,,,,20200310,50
North Macedonia,7,4,0,0,Local transmission,0,,,,,,,20200310,50
Russian Federation,7,0,0,0,Imported cases only,3,,,,,,,20200310,50
Slovakia,7,2,0,0,Local transmission,0,,,,,,,20200310,50
Belarus,6,0,0,0,Local transmission,5,,,,,,,20200310,50
Latvia,6,3,0,0,Imported cases only,0,,,,,,,20200310,50
Luxembourg,5,3,0,0,Imported cases only,0,,,,,,,20200310,50
Bulgaria,4,0,0,0,Local transmission,2,,,,,,,20200310,50
Malta,4,1,0,0,Imported cases only,0,,,,,,,20200310,50
Albania,2,0,0,0,Imported cases only,1,,,,,,,20200310,50
"Bosnia and 
Herzegovina",2,0,0,0,Local transmission,5,,,,,,,20200310,50
Cyprus,2,2,0,0,Imported cases only,0,,,,,,,20200310,50
Andorra,1,0,0,0,Imported cases only,7,,,,,,,20200310,50
Armenia,1,0,0,0,Imported cases only,8,,,,,,,20200310,50
Holy See,1,0,0,0,Under investigation,4,,,,,,,20200310,50
Liechtenstein,1,0,0,0,Imported cases only,4,,,,,,,20200310,50
Lithuania,1,0,0,0,Imported cases only,11,,,,,,,20200310,50
Monaco,1,0,0,0,Under investigation,9,,,,,,,20200310,50
Republic of Moldova,1,0,0,0,Imported cases only,2,,,,,,,20200310,50
Serbia,1,0,0,0,Under investigation,4,,,,,,,20200310,50
Ukraine,1,0,0,0,Imported cases only,6,,,,,,,20200310,50
Territories**,,,,,,,,,,,,,20200310,50
"Faroe Islands 
2 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,,,20200310,50
"Gibraltar 
1 
0 
0 
0 
Under investigation 
6",,,,,,,,,,,,,20200310,50
"Guernsey 
1 
1 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,20200310,50
South-East Asia Region,,,,,,,,,,,,,20200310,50
Thailand,53,3,1,0,Local transmission,0,,,,,,,20200310,50
India,44,1,0,0,Local transmission,0,,,,,,,20200310,50
Indonesia,19,13,0,0,Local transmission,0,,,,,,,20200310,50
Maldives,4,0,0,0,Local transmission,1,,,,,,,20200310,50
Bangladesh,3,0,0,0,Local transmission,1,,,,,,,20200310,50
Bhutan,1,0,0,0,Imported cases only,4,,,,,,,20200310,50
Nepal,1,0,0,0,Imported cases only,46,,,,,,,20200310,50
Sri Lanka,1,0,0,0,Imported cases only,43,,,,,,,20200310,50
Eastern Mediterranean Region,,,,,,,,,,,,,20200310,50
"Iran (Islamic 
Republic of)",7161,595,237,43,Local transmission,0,,,,,,,20200310,50
Bahrain,109,30,0,0,Local transmission,0,,,,,,,20200310,50
Kuwait,65,1,0,0,Imported cases only,0,,,,,,,20200310,50
Iraq,61,1,6,0,Local transmission,0,,,,,,,20200310,50
Egypt,59,4,1,0,Local transmission,0,,,,,,,20200310,50
"United Arab 
Emirates",59,14,0,0,Local transmission,0,,,,,,,20200310,50
Lebanon,41,9,0,0,Local transmission,0,,,,,,,20200310,50
Oman,18,2,0,0,Imported cases only,0,,,,,,,20200310,50
Qatar,18,3,0,0,Imported cases only,0,,,,,,,20200310,50
Pakistan,16,10,0,0,Local transmission,0,,,,,,,20200310,50
Saudi Arabia,15,0,0,0,Imported cases only,1,,,,,,,20200310,50
Afghanistan,4,0,0,0,Imported cases only,2,,,,,,,20200310,50
Morocco,2,0,0,0,Imported cases only,5,,,,,,,20200310,50
Tunisia,2,0,0,0,Imported cases only,1,,,,,,,20200310,50
Jordan,1,0,0,0,Imported cases only,7,,,,,,,20200310,50
Territories**,,,,,,,,,,,,,20200310,50
"occupied Palestinian 
territory 
26 
7 
0 
0 
Local transmission 
0",,,,,,,,,,,,,20200310,50
Region of the Americas,,,,,,,,,,,,,20200310,50
"United States of 
America",472,259,19,8,Local transmission,0,,,,,,,20200310,50
Canada,77,15,0,0,Local transmission,0,,,,,,,20200310,50
Brazil,25,0,0,0,Local transmission,1,,,,,,,20200310,50
Ecuador,15,0,0,0,Local transmission,1,,,,,,,20200310,50
Chile,13,3,0,0,Local transmission,0,,,,,,,20200310,50
Argentina,12,0,1,0,Imported cases only,1,,,,,,,20200310,50
Costa Rica,9,0,0,0,Local transmission,1,,,,,,,20200310,50
Peru,9,3,0,0,Local transmission,0,,,,,,,20200310,50
Mexico,7,0,0,0,Imported cases only,2,,,,,,,20200310,50
Dominican Republic,5,4,0,0,Imported cases only,0,,,,,,,20200310,50
Colombia,3,2,0,0,Imported cases only,0,,,,,,,20200310,50
Panama,1,1,0,0,Imported cases only,0,,,,,,,20200310,50
Paraguay,1,0,0,0,Imported cases only,1,,,,,,,20200310,50
Territories**,,,,,,,,,,,,,20200310,50
French Guiana,5,0,0,0,Imported cases only,2,,,,,,,20200310,50
Martinique,2,0,0,0,Imported cases only,2,,,,,,,20200310,50
Saint Martin,2,0,0,0,Under investigation,7,,,,,,,20200310,50
Saint Barthelemy,1,0,0,0,Under investigation,7,,,,,,,20200310,50
African Region,,,,,,,,,,,,,20200310,50
Algeria,20,0,0,0,Local transmission,1,,,,,,,20200310,50
South Africa,7,4,0,0,Imported cases only,0,,,,,,,20200310,50
Senegal,4,0,0,0,Imported cases only,5,,,,,,,20200310,50
Cameroon,2,0,0,0,Local transmission,3,,,,,,,20200310,50
Nigeria,2,0,0,0,Imported cases only,1,,,,,,,20200310,50
Togo,1,0,0,0,Imported cases only,3,,,,,,,20200310,50
"Subtotal for all 
regions",32082,4105,865,186,,,,,,,,,20200310,50
"International 
conveyance 
(Diamond Princess)",696,0,7,0,Local transmission,2,,,,,,,20200310,50
Grand total,32778,4105,872,186,,,,,,,,,20200310,50
,,,,,,,,,,,,,20200310,50
,,,,,,,,,,,,,20200310,50
,,,,,,,,,,,,,20200310,50
