0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
,Announcement posted on the WHO Event Information Site (EIS),,,,,TOTAL,,,,,,,20200310,50
WHO Region,6 February,12 February,21 February,28 February,5 March,,,,,,,,20200310,50
African Region,-,1,-,-,-,1,,,,,,,20200310,50
"Region of the 
Americas",10,2,-,-,"1* 
5* updates",13,,,,,,,20200310,50
"Eastern 
Mediterranean 
Region",-,1,-,"1* 
1* update",1*,3,,,,,,,20200310,50
European Region,2,1,2,"5 (3*) 
1* update",2*,12,,,,,,,20200310,50
"South-East Asia 
Region",1,,,,,1,,,,,,,20200310,50
"Western Pacific 
Region",9,3,2,"1* 
6* updates","- 
8* updates",15,,,,,,,20200310,50
TOTAL,22,8,4,7,4,45,,,,,,,20200310,50
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,,,20200310,50
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,20200310,50
Hubei,5917,17,13,17,67760,3024,,,,,,,20200310,50
Guangdong,11346,1,0,0,1353,8,,,,,,,20200310,50
Henan,9605,0,0,0,1272,22,,,,,,,20200310,50
Zhejiang,5737,0,0,0,1215,1,,,,,,,20200310,50
Hunan,6899,0,0,0,1018,4,,,,,,,20200310,50
Anhui,6324,0,0,0,990,6,,,,,,,20200310,50
Jiangxi,4648,0,0,0,935,1,,,,,,,20200310,50
Shandong,10047,0,0,0,758,6,,,,,,,20200310,50
Jiangsu,8051,0,0,0,631,0,,,,,,,20200310,50
Chongqing,3102,0,0,0,576,6,,,,,,,20200310,50
Sichuan,8341,0,0,0,539,3,,,,,,,20200310,50
Heilongjiang,3773,0,0,0,481,13,,,,,,,20200310,50
Beijing,2154,1,9,0,429,8,,,,,,,20200310,50
Shanghai,2424,0,12,0,342,3,,,,,,,20200310,50
Hebei,7556,0,0,0,318,6,,,,,,,20200310,50
Fujian,3941,0,0,0,296,1,,,,,,,20200310,50
Guangxi,4926,0,0,0,252,2,,,,,,,20200310,50
Shaanxi,3864,0,0,0,245,1,,,,,,,20200310,50
Yunnan,4830,0,0,0,174,2,,,,,,,20200310,50
Hainan,934,0,0,0,168,6,,,,,,,20200310,50
Guizhou,3600,0,1,0,146,2,,,,,,,20200310,50
Tianjin,1560,0,1,0,136,3,,,,,,,20200310,50
Shanxi,3718,0,0,0,133,0,,,,,,,20200310,50
