0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,date,sitrep
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
"United States of America 
59 (6) 
14 (0) 
42 (6) 
2 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
"Canada 
11 (1) 
7 (0) 
2 (1) 
1 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
"Brazil 
1 (1) 
0 (0) 
1 (1) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Italy,400 (78),3 (0),0 (0),121 (0),276 (78),12 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Germany,21 (3),2 (0),1 (1),14 (0),4 (2),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
France,18 (6),6 (1),2 (2),7 (0),3 (3),2 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
The United Kingdom,13 (0),2 (0),10 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Spain,12 (10),0 (0),10 (8),1 (1),1 (1),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Croatia,3 (1),0 (0),2 (1),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
