0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
Iraq,233,19,20,3,Local transmission,0,,,,,,,20200323,63
Kuwait,189,13,0,0,Local transmission,0,,,,,,,20200323,63
United Arab Emirates,153,0,2,0,Local transmission,1,,,,,,,20200323,63
Morocco,115,29,4,1,Local transmission,0,,,,,,,20200323,63
Jordan,112,28,0,0,Imported cases only,0,,,,,,,20200323,63
Tunisia,75,15,3,2,Local transmission,0,,,,,,,20200323,63
Oman,55,3,0,0,Local transmission,0,,,,,,,20200323,63
Afghanistan,40,16,1,1,Imported cases only,0,,,,,,,20200323,63
Sudan,2,0,1,0,Imported cases only,1,,,,,,,20200323,63
Djibouti,1,0,0,0,Under investigation,5,,,,,,,20200323,63
Somalia,1,0,0,0,Imported cases only,6,,,,,,,20200323,63
Syrian Arab Republic,1,1,0,0,Imported cases only,0,,,,,,,20200323,63
Territories**,,,,,,,,,,,,,20200323,63
"occupied Palestinian 
59 
7 
0 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,20200323,63
Region of the Americas,,,,,,,,,,,,,20200323,63
"United States of 
America",31573,16354,402,201,Local transmission,0,,,,,,,20200323,63
Canada,1384,336,19,6,Local transmission,0,,,,,,,20200323,63
Brazil,904,0,11,0,Local transmission,1,,,,,,,20200323,63
Chile,632,198,1,0,Local transmission,0,,,,,,,20200323,63
Ecuador,532,26,7,0,Local transmission,0,,,,,,,20200323,63
Peru,318,0,2,0,Local transmission,1,,,,,,,20200323,63
Mexico,251,87,2,1,Local transmission,0,,,,,,,20200323,63
Panama,245,108,3,2,Local transmission,0,,,,,,,20200323,63
Argentina,225,67,4,1,Local transmission,0,,,,,,,20200323,63
Colombia,196,0,2,2,Local transmission,1,,,,,,,20200323,63
Uruguay,135,41,0,0,Imported cases only,0,,,,,,,20200323,63
Costa Rica,117,4,2,0,Local transmission,0,,,,,,,20200323,63
Dominican Republic,72,0,2,0,Local transmission,2,,,,,,,20200323,63
"Venezuela (Bolivarian 
Republic of)",70,34,0,0,Imported cases only,0,,,,,,,20200323,63
Trinidad and Tobago,50,41,0,0,Imported cases only,0,,,,,,,20200323,63
Honduras,26,2,0,0,Imported cases only,0,,,,,,,20200323,63
"Bolivia (Plurinational 
State of)",24,5,0,0,Local transmission,0,,,,,,,20200323,63
Paraguay,22,4,1,0,Local transmission,0,,,,,,,20200323,63
Jamaica,19,3,1,0,Local transmission,0,,,,,,,20200323,63
Guatemala,18,6,1,0,Imported cases only,0,,,,,,,20200323,63
Cuba,16,0,1,0,Imported cases only,2,,,,,,,20200323,63
Barbados,5,0,0,0,Imported cases only,2,,,,,,,20200323,63
Guyana,5,0,1,0,Local transmission,4,,,,,,,20200323,63
Bahamas,4,0,0,0,Local transmission,2,,,,,,,20200323,63
Haiti,2,0,0,0,Imported cases only,2,,,,,,,20200323,63
Nicaragua,2,0,0,0,Imported cases only,1,,,,,,,20200323,63
Saint Lucia,2,0,0,0,Imported cases only,7,,,,,,,20200323,63
Suriname,2,0,0,0,Imported cases only,2,,,,,,,20200323,63
Antigua and Barbuda,1,0,0,0,Imported cases only,9,,,,,,,20200323,63
El Salvador,1,0,0,0,Imported cases only,3,,,,,,,20200323,63
Grenada,1,1,0,0,Imported cases only,0,,,,,,,20200323,63
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,10,,,,,,,20200323,63
Territories**,,,,,,,,,,,,,20200323,63
"Guadeloupe 
56 
5 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,20200323,63
Martinique,32,0,0,0,Imported cases only,3,,,,,,,20200323,63
Puerto Rico,23,2,1,0,Imported cases only,0,,,,,,,20200323,63
French Guiana,18,3,0,0,Local transmission,0,,,,,,,20200323,63
Aruba,8,3,0,0,Imported cases only,0,,,,,,,20200323,63
"United States Virgin 
Islands",6,0,0,0,Imported cases only,1,,,,,,,20200323,63
Saint Martin,5,1,0,0,Under investigation,0,,,,,,,20200323,63
Cayman Islands,3,0,1,0,Imported cases only,3,,,,,,,20200323,63
Curaçao,3,0,1,0,Imported cases only,6,,,,,,,20200323,63
Saint Barthélemy,3,0,0,0,Under investigation,7,,,,,,,20200323,63
Bermuda,2,0,0,0,Imported cases only,4,,,,,,,20200323,63
Montserrat,1,0,0,0,Imported cases only,5,,,,,,,20200323,63
Sint Maarten,1,0,0,0,Imported cases only,5,,,,,,,20200323,63
African Region,,,,,,,,,,,,,20200323,63
South Africa,274,34,0,0,Local transmission,0,,,,,,,20200323,63
Algeria,201,107,17,2,Local transmission,0,,,,,,,20200323,63
Burkina Faso,75,3,3,0,Local transmission,0,,,,,,,20200323,63
Senegal,67,11,0,0,Local transmission,0,,,,,,,20200323,63
Cameroon,40,13,0,0,Local transmission,0,,,,,,,20200323,63
"Democratic Republic 
of the Congo",30,7,2,1,Local transmission,0,,,,,,,20200323,63
Côte d’Ivoire,25,16,0,0,Imported cases only,0,,,,,,,20200323,63
Ghana,24,5,0,0,Local transmission,0,,,,,,,20200323,63
Nigeria,22,0,0,0,Imported cases only,1,,,,,,,20200323,63
Rwanda,17,0,0,0,Local transmission,1,,,,,,,20200323,63
Togo,16,1,0,0,Imported cases only,0,,,,,,,20200323,63
Kenya,15,8,0,0,Local transmission,0,,,,,,,20200323,63
Madagascar,12,9,0,0,Under investigation,0,,,,,,,20200323,63
Mauritius,12,0,0,0,Imported cases only,2,,,,,,,20200323,63
"United Republic of 
Tanzania",12,6,0,0,Imported cases only,0,,,,,,,20200323,63
Ethiopia,11,2,0,0,Imported cases only,0,,,,,,,20200323,63
Seychelles,7,0,0,0,Imported cases only,1,,,,,,,20200323,63
Equatorial Guinea,6,0,0,0,Imported cases only,1,,,,,,,20200323,63
Gabon,6,3,1,0,Imported cases only,0,,,,,,,20200323,63
"Central African 
Republic",4,1,0,0,Imported cases only,0,,,,,,,20200323,63
Congo,4,0,0,0,Imported cases only,1,,,,,,,20200323,63
Eswatini,4,3,0,0,Imported cases only,0,,,,,,,20200323,63
Cabo Verde,3,0,0,0,Imported cases only,1,,,,,,,20200323,63
Liberia,3,0,0,0,Local transmission,1,,,,,,,20200323,63
Namibia,3,0,0,0,Imported cases only,3,,,,,,,20200323,63
Zambia,3,1,0,0,Imported cases only,0,,,,,,,20200323,63
Angola,2,0,0,0,Imported cases only,1,,,,,,,20200323,63
Benin,2,0,0,0,Imported cases only,3,,,,,,,20200323,63
Guinea,2,0,0,0,Imported cases only,3,,,,,,,20200323,63
Mauritania,2,0,0,0,Imported cases only,4,,,,,,,20200323,63
Zimbabwe,2,0,0,0,Imported cases only,1,,,,,,,20200323,63
Chad,1,0,0,0,Imported cases only,3,,,,,,,20200323,63
Eritrea,1,0,0,0,Imported cases only,1,,,,,,,20200323,63
Gambia,1,0,0,0,Imported cases only,5,,,,,,,20200323,63
Mozambique,1,1,0,0,Imported cases only,0,,,,,,,20200323,63
Niger,1,0,0,0,Imported cases only,3,,,,,,,20200323,63
Uganda,1,0,0,0,Imported cases only,1,,,,,,,20200323,63
Territories**,,,,,,,,,,,,,20200323,63
Réunion,64,17,0,0,Under investigation,0,,,,,,,20200323,63
Mayotte,14,3,0,0,Imported cases only,0,,,,,,,20200323,63
"Subtotal for all 
regions",332218,40788,14502,1727,,,,,,,,,20200323,63
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,7,,,,,,,20200323,63
Grand total,332930,40788,14509,1727,,,,,,,,,20200323,63
,,,,,,,,,,,,,20200323,63
,,,,,,,,,,,,,20200323,63
,,,,,,,,,,,,,20200323,63
