0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,20200323,63
Western Pacific Region,,,,,,,,,,,,,20200323,63
China,81601,103,3276,9,Local transmission,0,,,,,,,20200323,63
Republic of Korea,8961,64,111,7,Local transmission,0,,,,,,,20200323,63
Australia,1396,315,7,0,Local transmission,0,,,,,,,20200323,63
Malaysia,1306,123,10,7,Local transmission,0,,,,,,,20200323,63
Japan,1089,43,41,5,Local transmission,0,,,,,,,20200323,63
Singapore,455,23,2,0,Local transmission,0,,,,,,,20200323,63
Philippines,380,73,25,6,Local transmission,0,,,,,,,20200323,63
Viet Nam,113,19,0,0,Local transmission,0,,,,,,,20200323,63
New Zealand,102,36,0,0,Local transmission,0,,,,,,,20200323,63
Brunei Darussalam,88,5,0,0,Local transmission,0,,,,,,,20200323,63
Cambodia,84,31,0,0,Local transmission,0,,,,,,,20200323,63
Mongolia,10,0,0,0,Imported cases only,1,,,,,,,20200323,63
Fiji,2,0,0,0,Local transmission,1,,,,,,,20200323,63
Papua New Guinea,1,0,0,0,Imported cases only,2,,,,,,,20200323,63
Territories**,,,,,,,,,,,,,20200323,63
"Guam 
27 
12 
1 
1 
Local transmission 
0",,,,,,,,,,,,,20200323,63
"French Polynesia 
17 
2 
0 
0 
Local transmission 
0",,,,,,,,,,,,,20200323,63
"New Caledonia 
5 
1 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,20200323,63
European Region ^,,,,,,,,,,,,,20200323,63
Italy,59138,5560,5476,649,Local transmission,0,,,,,,,20200323,63
Spain,28572,3646,1720,394,Local transmission,0,,,,,,,20200323,63
Germany,24774,3311,94,27,Local transmission,0,,,,,,,20200323,63
France,15821,1525,674,112,Local transmission,0,,,,,,,20200323,63
Switzerland,6971,894,60,4,Local transmission,0,,,,,,,20200323,63
The United Kingdom,5687,669,281,48,Local transmission,0,,,,,,,20200323,63
Netherlands,4204,573,179,43,Local transmission,0,,,,,,,20200323,63
Austria,3631,607,16,8,Local transmission,0,,,,,,,20200323,63
Belgium,3401,586,75,8,Local transmission,0,,,,,,,20200323,63
Norway,2132,206,7,0,Local transmission,0,,,,,,,20200323,63
Sweden,1906,160,21,1,Local transmission,0,,,,,,,20200323,63
Portugal,1600,320,14,2,Local transmission,0,,,,,,,20200323,63
Denmark,1395,69,13,0,Local transmission,0,,,,,,,20200323,63
Turkey,1236,289,30,9,Local transmission,0,,,,,,,20200323,63
Czechia,1165,170,1,1,Local transmission,0,,,,,,,20200323,63
Israel,1071,188,1,0,Local transmission,0,,,,,,,20200323,63
Ireland,906,121,4,1,Local transmission,0,,,,,,,20200323,63
Luxembourg,798,128,8,0,Local transmission,0,,,,,,,20200323,63
Poland,634,98,7,2,Local transmission,0,,,,,,,20200323,63
Finland,626,105,1,0,Local transmission,0,,,,,,,20200323,63
Greece,624,94,15,2,Local transmission,0,,,,,,,20200323,63
Iceland,568,95,1,0,Local transmission,0,,,,,,,20200323,63
Russian Federation,438,132,0,0,Local transmission,0,,,,,,,20200323,63
Romania,433,66,2,2,Local transmission,0,,,,,,,20200323,63
Slovenia,414,31,1,0,Local transmission,0,,,,,,,20200323,63
Estonia,326,20,0,0,Local transmission,0,,,,,,,20200323,63
Croatia,235,29,0,0,Local transmission,0,,,,,,,20200323,63
Serbia,188,39,0,0,Local transmission,0,,,,,,,20200323,63
Armenia,190,30,0,0,Local transmission,0,,,,,,,20200323,63
Bulgaria,185,22,3,0,Local transmission,0,,,,,,,20200323,63
Slovakia,185,7,0,0,Local transmission,0,,,,,,,20200323,63
Hungary,167,36,7,3,Local transmission,0,,,,,,,20200323,63
San Marino,151,0,20,0,Local transmission,2,,,,,,,20200323,63
Lithuania,143,38,1,0,Local transmission,0,,,,,,,20200323,63
Latvia,139,15,0,0,Local transmission,0,,,,,,,20200323,63
"Bosnia and 
Herzegovina",125,33,1,0,Local transmission,0,,,,,,,20200323,63
North Macedonia,114,29,1,1,Local transmission,0,,,,,,,20200323,63
Andorra,113,25,0,0,Local transmission,0,,,,,,,20200323,63
Cyprus,95,11,0,0,Local transmission,0,,,,,,,20200323,63
Republic of Moldova,94,14,1,0,Local transmission,0,,,,,,,20200323,63
Malta,90,17,0,0,Local transmission,0,,,,,,,20200323,63
Albania,89,13,2,0,Local transmission,0,,,,,,,20200323,63
Belarus,76,0,0,0,Local transmission,1,,,,,,,20200323,63
Azerbaijan,65,12,1,0,Local transmission,0,,,,,,,20200323,63
Kazakhstan,60,4,0,0,Imported cases only,0,,,,,,,20200323,63
Georgia,54,5,0,0,Local transmission,0,,,,,,,20200323,63
Ukraine,47,0,3,0,Local transmission,1,,,,,,,20200323,63
Liechtenstein,46,10,0,0,Imported cases only,0,,,,,,,20200323,63
Uzbekistan,46,13,0,0,Local transmission,0,,,,,,,20200323,63
Monaco,23,5,0,0,Local transmission,0,,,,,,,20200323,63
Montenegro,21,7,0,0,Imported cases only,0,,,,,,,20200323,63
Kyrgyzstan,14,0,0,0,Imported cases only,1,,,,,,,20200323,63
Holy See,1,0,0,0,Under investigation,16,,,,,,,20200323,63
Territories**,,,,,,,,,,,,,20200323,63
Faroe Islands,115,23,0,0,Local transmission,0,,,,,,,20200323,63
Kosovo[1],31,7,1,1,Local transmission,0,,,,,,,20200323,63
Guernsey,17,16,0,0,Imported cases only,0,,,,,,,20200323,63
Gibraltar,15,5,0,0,Under investigation,0,,,,,,,20200323,63
Jersey,15,3,0,0,Imported cases only,0,,,,,,,20200323,63
Greenland,2,0,0,0,Under investigation,4,,,,,,,20200323,63
Isle of Man,2,0,0,0,Imported cases only,1,,,,,,,20200323,63
South-East Asia Region,,,,,,,,,,,,,20200323,63
Thailand,721,310,1,0,Local transmission,0,,,,,,,20200323,63
Indonesia,514,64,48,10,Local transmission,0,,,,,,,20200323,63
India,415,132,7,3,Local transmission,0,,,,,,,20200323,63
Sri Lanka,82,10,0,0,Local transmission,0,,,,,,,20200323,63
Bangladesh,27,3,2,0,Local transmission,0,,,,,,,20200323,63
Maldives,13,0,0,0,Local transmission,7,,,,,,,20200323,63
Bhutan,2,0,0,0,Imported cases only,3,,,,,,,20200323,63
Nepal,1,0,0,0,Imported cases only,59,,,,,,,20200323,63
Timor-Leste,1,0,0,0,Imported cases only,2,,,,,,,20200323,63
Eastern Mediterranean Region,,,,,,,,,,,,,20200323,63
"Iran (Islamic Republic 
of)",21638,1028,1685,129,Local transmission,0,,,,,,,20200323,63
Pakistan,784,289,5,2,Local transmission,0,,,,,,,20200323,63
Saudi Arabia,511,119,0,0,Local transmission,0,,,,,,,20200323,63
Qatar,494,24,0,0,Local transmission,0,,,,,,,20200323,63
Bahrain,337,31,2,1,Local transmission,0,,,,,,,20200323,63
Egypt,327,42,14,6,Local transmission,0,,,,,,,20200323,63
Lebanon,248,42,4,0,Local transmission,0,,,,,,,20200323,63
