0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,20200222,33
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,20200222,33
Hubei,5917,366,1125,106,63454,2250,,,,,,,,,,,,,,,,,20200222,33
Guangdong,11346,6,1,0,1339,5,,,,,,,,,,,,,,,,,20200222,33
Henan,9605,3,25,0,1270,19,,,,,,,,,,,,,,,,,20200222,33
Zhejiang,5737,2,4,0,1205,1,,,,,,,,,,,,,,,,,20200222,33
Hunan,6899,2,2,0,1013,4,,,,,,,,,,,,,,,,,20200222,33
Anhui,6324,1,0,0,989,6,,,,,,,,,,,,,,,,,20200222,33
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,20200222,33
Shandong,10047,2,3,0,750,4,,,,,,,,,,,,,,,,,20200222,33
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,20200222,33
Chongqing,3102,5,15,0,572,6,,,,,,,,,,,,,,,,,20200222,33
Sichuan,8341,1,21,0,526,3,,,,,,,,,,,,,,,,,20200222,33
Heilongjiang,3773,0,0,0,479,12,,,,,,,,,,,,,,,,,20200222,33
Beijing,2154,3,26,0,399,4,,,,,,,,,,,,,,,,,20200222,33
Shanghai,2424,0,48,1,334,3,,,,,,,,,,,,,,,,,20200222,33
Hebei,7556,1,0,1,309,6,,,,,,,,,,,,,,,,,20200222,33
Fujian,3941,0,0,0,293,1,,,,,,,,,,,,,,,,,20200222,33
Guangxi,4926,3,6,0,249,2,,,,,,,,,,,,,,,,,20200222,33
Shaanxi,3864,0,3,0,245,1,,,,,,,,,,,,,,,,,20200222,33
Yunnan,4830,0,14,0,174,2,,,,,,,,,,,,,,,,,20200222,33
Hainan,934,0,11,0,168,4,,,,,,,,,,,,,,,,,20200222,33
Guizhou,3600,0,2,0,146,2,,,,,,,,,,,,,,,,,20200222,33
Tianjin,1560,2,31,0,133,3,,,,,,,,,,,,,,,,,20200222,33
Shanxi,3718,0,2,0,132,0,,,,,,,,,,,,,,,,,20200222,33
Liaoning,4359,0,14,0,121,1,,,,,,,,,,,,,,,,,20200222,33
Jilin,2704,0,7,0,91,1,,,,,,,,,,,,,,,,,20200222,33
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,,20200222,33
Xinjiang,2487,0,0,1,76,2,,,,,,,,,,,,,,,,,20200222,33
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,,20200222,33
Ningxia,688,0,1,0,71,0,,,,,,,,,,,,,,,,,20200222,33
Hong Kong SAR,745,0,0,0,68*,2,,,,,,,,,,,,,,,,,20200222,33
Taipei and environs,2359,0,0,0,26,1,,,,,,,,,,,,,,,,,20200222,33
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,,20200222,33
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,,20200222,33
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,,20200222,33
Total,142823,397,1361,109,76392,2348,,,,,,,,,,,,,,,,,20200222,33
Country/Territory/Area,"Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,,20200222,33
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,,20200222,33
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,20200222,33
Republic of Korea,346 (142),13 (0),4 (0),288 (130),41 (12),2 (1),,,,,,,,,,,,,,,,,20200222,33
Japan,105 (12),28 (1),5 (0),68 (11),4 (0),1 (0),,,,,,,,,,,,,,,,,20200222,33
Singapore,86 (1),23 (0),0 (0),56 (1),7 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Australia,21 (4),12 (0),6 (4),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,20200222,33
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,20200222,33
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,20200222,33
"United States of 
America 
35 (20) 
14 (1) 
18 (18) 
2 (0) 
1 (1) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,20200222,33
"Canada 
8 (0) 
7 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,20200222,33
European Region,,,,,,,,,,,,,,,,,,,,,,,20200222,33
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,20200222,33
Italy,9 (6),3 (0),0 (0),6 (6),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
