0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,,20200309,49
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,20200309,49
Hubei,5917,36,28,21,67743,3007,,,,,,20200309,49
Guangdong,11346,0,0,1,1352,8,,,,,,20200309,49
Henan,9605,0,0,0,1272,22,,,,,,20200309,49
Zhejiang,5737,0,0,0,1215,1,,,,,,20200309,49
Hunan,6899,0,0,0,1018,4,,,,,,20200309,49
Anhui,6324,0,0,0,990,6,,,,,,20200309,49
Jiangxi,4648,0,0,0,935,1,,,,,,20200309,49
Shandong,10047,0,0,0,758,6,,,,,,20200309,49
Jiangsu,8051,0,0,0,631,0,,,,,,20200309,49
Chongqing,3102,0,0,0,576,6,,,,,,20200309,49
Sichuan,8341,0,0,0,539,3,,,,,,20200309,49
Heilongjiang,3773,0,1,0,481,13,,,,,,20200309,49
Beijing,2154,0,8,0,428,8,,,,,,20200309,49
Shanghai,2424,0,10,0,342,3,,,,,,20200309,49
Hebei,7556,0,0,0,318,6,,,,,,20200309,49
Fujian,3941,0,0,0,296,1,,,,,,20200309,49
Guangxi,4926,0,0,0,252,2,,,,,,20200309,49
Shaanxi,3864,0,0,0,245,1,,,,,,20200309,49
Yunnan,4830,0,0,0,174,2,,,,,,20200309,49
Hainan,934,0,0,0,168,6,,,,,,20200309,49
Guizhou,3600,0,0,0,146,2,,,,,,20200309,49
Tianjin,1560,0,10,0,136,3,,,,,,20200309,49
Shanxi,3718,0,0,0,133,0,,,,,,20200309,49
Liaoning,4359,0,2,0,125,1,,,,,,20200309,49
Gansu,2637,4,0,0,124,2,,,,,,20200309,49
Hong Kong SAR,745,5,0,1,114,3,,,,,,20200309,49
Jilin,2704,0,1,0,93,1,,,,,,20200309,49
Xinjiang,2487,0,0,0,76,3,,,,,,20200309,49
Inner Mongolia,2534,0,0,0,75,1,,,,,,20200309,49
Ningxia,688,0,0,0,75,0,,,,,,20200309,49
Taipei and environs,2359,0,0,0,45,1,,,,,,20200309,49
Qinghai,603,0,0,0,18,0,,,,,,20200309,49
Macao SAR,66,0,0,0,10,0,,,,,,20200309,49
