0,1,2,3,4,5,6,7,8,9,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,20200306,46
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
Ukraine,1,0,0,0,Imported cases only,2,,,,20200306,46
Territories**,,,,,,,,,,20200306,46
"Gibraltar 
1 
0 
0 
0 
Under investigation 
2",,,,,,,,,,20200306,46
South-East Asia Region,,,,,,,,,,20200306,46
Thailand,47,0,1,0,Local transmission,1,,,,20200306,46
India,30,1,0,0,Local transmission,0,,,,20200306,46
Indonesia,2,0,0,0,Local transmission,4,,,,20200306,46
Bhutan,1,1,0,0,Imported cases only,0,,,,20200306,46
Nepal,1,0,0,0,Imported cases only,42,,,,20200306,46
Sri Lanka,1,0,0,0,Imported cases only,39,,,,20200306,46
Eastern Mediterranean Region,,,,,,,,,,20200306,46
"Iran (Islamic 
Republic of)",3513,591,107,15,Local transmission,0,,,,20200306,46
Kuwait,58,0,0,0,Imported cases only,1,,,,20200306,46
Bahrain,49,0,0,0,Imported cases only,3,,,,20200306,46
Iraq,36,0,2,0,Imported cases only,1,,,,20200306,46
"United Arab 
Emirates",27,0,0,0,Local transmission,2,,,,20200306,46
Lebanon,16,3,0,0,Local transmission,0,,,,20200306,46
Oman,16,1,0,0,Imported cases only,0,,,,20200306,46
Qatar,8,0,0,0,Imported cases only,2,,,,20200306,46
Saudi Arabia,8,6,0,0,Imported cases only,0,,,,20200306,46
Pakistan,5,0,0,0,Imported cases only,3,,,,20200306,46
Egypt,3,1,0,0,Imported cases only,0,,,,20200306,46
Morocco,2,0,0,0,Imported cases only,1,,,,20200306,46
Afghanistan,1,0,0,0,Imported cases only,11,,,,20200306,46
Jordan,1,0,0,0,Imported cases only,3,,,,20200306,46
Tunisia,1,0,0,0,Imported cases only,3,,,,20200306,46
Territories**,,,,,,,,,,20200306,46
"Occupied 
7 
0 
0 
0 
Imported cases only 
1 
Palestinian Territory",,,,,,,,,,20200306,46
Region of the Americas,,,,,,,,,,20200306,46
"United States of 
America",148,19,10,1,Local transmission,0,,,,20200306,46
Canada,45,15,0,0,Local transmission,0,,,,20200306,46
Ecuador,13,6,0,0,Local transmission,0,,,,20200306,46
Brazil,7,4,0,0,Imported cases only,0,,,,20200306,46
Mexico,5,0,0,0,Imported cases only,4,,,,20200306,46
Argentina,1,0,0,0,Imported cases only,2,,,,20200306,46
Chile,1,0,0,0,Imported cases only,2,,,,20200306,46
Dominican Republic,1,0,0,0,Imported cases only,4,,,,20200306,46
Territories**,,,,,,,,,,20200306,46
"Saint Martin 
2 
0 
0 
0 
Under investigation 
3",,,,,,,,,,20200306,46
"Saint Barthélemy 
1 
0 
0 
0 
Under investigation 
3",,,,,,,,,,20200306,46
African Region,,,,,,,,,,20200306,46
Algeria,12,0,0,0,Local transmission,1,,,,20200306,46
Senegal,4,0,0,0,Imported cases only,1,,,,20200306,46
Cameroon,1,1,0,0,Imported cases only,0,,,,20200306,46
Nigeria,1,0,0,0,Imported cases only,7,,,,20200306,46
South Africa,1,1,0,0,Imported cases only,0,,,,20200306,46
"Subtotal for all 
regions",16785,2727,329,69,,,,,,20200306,46
"International 
conveyance 
(Diamond Princess)",696,0,6,0,Local transmission,0,,,,20200306,46
Grand total,17481,2727,335,69,,,,,,20200306,46
,,,,,,,,,,20200306,46
,,,,,,,,,,20200306,46
,,,,,,,,,,20200306,46
