0,1,2,3,4,5,6,7,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,20200229,40
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,20200229,40
Hubei,5917,423,159,45,66337,2727,,20200229,40
Guangdong,11346,1,0,0,1349,7,,20200229,40
Henan,9605,0,0,1,1272,21,,20200229,40
Zhejiang,5737,0,0,0,1205,1,,20200229,40
Hunan,6899,1,1,0,1018,4,,20200229,40
Anhui,6324,0,0,0,990,6,,20200229,40
Jiangxi,4648,0,1,0,935,1,,20200229,40
Shandong,10047,0,0,0,756,6,,20200229,40
Jiangsu,8051,0,0,0,631,0,,20200229,40
Chongqing,3102,0,7,0,576,6,,20200229,40
Sichuan,8341,0,2,0,538,3,,20200229,40
Heilongjiang,3773,0,0,0,480,13,,20200229,40
Beijing,2154,1,9,1,411,8,,20200229,40
Shanghai,2424,0,28,0,337,3,,20200229,40
Hebei,7556,0,0,0,318,6,,20200229,40
Fujian,3941,0,0,0,296,1,,20200229,40
Guangxi,4926,0,0,0,252,2,,20200229,40
Shaanxi,3864,0,0,0,245,1,,20200229,40
Yunnan,4830,0,3,0,174,2,,20200229,40
Hainan,934,0,5,0,168,5,,20200229,40
Guizhou,3600,0,1,0,146,2,,20200229,40
Tianjin,1560,0,14,0,136,3,,20200229,40
Shanxi,3718,0,0,0,133,0,,20200229,40
Liaoning,4359,0,15,0,121,1,,20200229,40
Hong Kong SAR,745,1,0,0,94,2,,20200229,40
Jilin,2704,0,3,0,93,1,,20200229,40
Gansu,2637,0,0,0,91,2,,20200229,40
Xinjiang,2487,0,0,0,76,3,,20200229,40
Inner Mongolia,2534,0,0,0,75,0,,20200229,40
Ningxia,688,1,0,0,73,0,,20200229,40
Taipei and environs,2359,7,0,0,39,1,,20200229,40
Qinghai,603,0,0,0,18,0,,20200229,40
Macao SAR,66,0,0,0,10,0,,20200229,40
Xizang,344,0,0,0,1,0,,20200229,40
Total,142823,435,248,47,79394,2838,,20200229,40
,,,,,,,,20200229,40
,,,,,,,,20200229,40
,,,,,,,,20200229,40
