0,1,2,3,4,5,6,7,8,9,10,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,20200308,48
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,20200308,48
Hubei,5917,41,42,27,67707,2986,,,,,20200308,48
Guangdong,11346,0,0,0,1352,7,,,,,20200308,48
Henan,9605,0,0,0,1272,22,,,,,20200308,48
Zhejiang,5737,0,0,0,1215,1,,,,,20200308,48
Hunan,6899,0,0,0,1018,4,,,,,20200308,48
Anhui,6324,0,0,0,990,6,,,,,20200308,48
Jiangxi,4648,0,0,0,935,1,,,,,20200308,48
Shandong,10047,0,0,0,758,6,,,,,20200308,48
Jiangsu,8051,0,0,0,631,0,,,,,20200308,48
Chongqing,3102,0,0,0,576,6,,,,,20200308,48
Sichuan,8341,0,1,0,539,3,,,,,20200308,48
Heilongjiang,3773,0,0,0,481,13,,,,,20200308,48
Beijing,2154,2,3,0,428,8,,,,,20200308,48
Shanghai,2424,0,25,0,342,3,,,,,20200308,48
Hebei,7556,0,0,0,318,6,,,,,20200308,48
Fujian,3941,0,0,0,296,1,,,,,20200308,48
Guangxi,4926,0,0,0,252,2,,,,,20200308,48
Shaanxi,3864,0,0,0,245,1,,,,,20200308,48
Yunnan,4830,0,1,0,174,2,,,,,20200308,48
Hainan,934,0,0,0,168,6,,,,,20200308,48
Guizhou,3600,0,0,0,146,2,,,,,20200308,48
Tianjin,1560,0,9,0,136,3,,,,,20200308,48
Shanxi,3718,0,0,0,133,0,,,,,20200308,48
Liaoning,4359,0,3,0,125,1,,,,,20200308,48
Gansu,2637,1,0,0,120,2,,,,,20200308,48
Hong Kong SAR,745,2,0,0,109,2,,,,,20200308,48
Jilin,2704,0,0,0,93,1,,,,,20200308,48
Xinjiang,2487,0,0,0,76,3,,,,,20200308,48
Inner Mongolia,2534,0,0,0,75,1,,,,,20200308,48
Ningxia,688,0,0,0,75,0,,,,,20200308,48
Taipei and environs,2359,0,0,0,45,1,,,,,20200308,48
Qinghai,603,0,0,0,18,0,,,,,20200308,48
Macao SAR,66,0,0,0,10,0,,,,,20200308,48
Xizang,344,0,0,0,1,0,,,,,20200308,48
Total,142823,46,84,27,80859,3100,,,,,20200308,48
"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,,,,,,20200308,48
Western Pacific Region,,,,,,,,,,,20200308,48
Republic of Korea,7134,367,50,6,Local transmission,0,,,,,20200308,48
Japan,455,48,6,0,Local transmission,0,,,,,20200308,48
Singapore,138,8,0,0,Local transmission,0,,,,,20200308,48
Malaysia,93,10,0,0,Local transmission,0,,,,,20200308,48
Australia,74,12,3,1,Local transmission,0,,,,,20200308,48
Viet Nam,21,4,0,0,Local transmission,0,,,,,20200308,48
Philippines,6,1,1,0,Local transmission,0,,,,,20200308,48
New Zealand,5,0,0,0,Local transmission,1,,,,,20200308,48
Cambodia,2,1,0,0,Local transmission,0,,,,,20200308,48
European Region,,,,,,,,,,,20200308,48
Italy,5883,1247,234,37,Local transmission,0,,,,,20200308,48
Germany,795,156,0,0,Local transmission,0,,,,,20200308,48
France,706,93,10,1,Local transmission,0,,,,,20200308,48
Spain,430,56,5,0,Local transmission,0,,,,,20200308,48
Switzerland,264,55,2,1,Local transmission,0,,,,,20200308,48
The United Kingdom,210,43,2,1,Local transmission,0,,,,,20200308,48
Netherlands,188,60,1,0,Local transmission,0,,,,,20200308,48
Belgium,169,60,0,0,Local transmission,0,,,,,20200308,48
Sweden,161,24,0,0,Local transmission,0,,,,,20200308,48
Norway,147,34,0,0,Local transmission,0,,,,,20200308,48
Austria,104,38,0,0,Local transmission,0,,,,,20200308,48
Greece,66,34,0,0,Local transmission,0,,,,,20200308,48
Iceland,45,0,0,0,Local transmission,1,,,,,20200308,48
Denmark,31,8,0,0,Local transmission,0,,,,,20200308,48
San Marino,27,3,1,1,Local transmission,0,,,,,20200308,48
Czechia,26,14,0,0,Local transmission,0,,,,,20200308,48
Israel,25,6,0,0,Local transmission,0,,,,,20200308,48
Portugal,21,8,0,0,Local transmission,0,,,,,20200308,48
Finland,19,0,0,0,Local transmission,1,,,,,20200308,48
Ireland,19,1,0,0,Local transmission,0,,,,,20200308,48
Romania,13,6,0,0,Local transmission,0,,,,,20200308,48
Georgia,12,3,0,0,Imported cases only,0,,,,,20200308,48
Slovenia,12,3,0,0,Local transmission,0,,,,,20200308,48
Croatia,11,0,0,0,Local transmission,1,,,,,20200308,48
Estonia,10,0,0,0,Imported cases only,1,,,,,20200308,48
Azerbaijan,9,0,0,0,Imported cases only,1,,,,,20200308,48
Hungary,7,3,0,0,Local transmission,0,,,,,20200308,48
Russian Federation,7,0,0,0,Imported cases only,1,,,,,20200308,48
Belarus,6,0,0,0,Local transmission,3,,,,,20200308,48
Poland,6,1,0,0,Imported cases only,0,,,,,20200308,48
Malta,3,3,0,0,Imported cases only,0,,,,,20200308,48
North Macedonia,3,0,0,0,Imported cases only,1,,,,,20200308,48
