0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
Latvia,244,23,0,0,Local transmission,0,,,,,,,,,,20200327,67
Andorra,231,18,3,0,Local transmission,0,,,,,,,,,,20200327,67
Slovakia,226,10,0,0,Local transmission,0,,,,,,,,,,20200327,67
San Marino,218,10,21,0,Local transmission,0,,,,,,,,,,20200327,67
Ukraine,218,62,5,0,Local transmission,0,,,,,,,,,,20200327,67
"Bosnia and 
Herzegovina",213,40,3,0,Local transmission,0,,,,,,,,,,20200327,67
North Macedonia,201,24,3,1,Local transmission,0,,,,,,,,,,20200327,67
Albania,186,12,8,3,Local transmission,0,,,,,,,,,,20200327,67
Republic of Moldova,177,28,2,1,Local transmission,0,,,,,,,,,,20200327,67
Cyprus,146,14,3,0,Local transmission,0,,,,,,,,,,20200327,67
Malta,134,5,0,0,Local transmission,0,,,,,,,,,,20200327,67
Kazakhstan,125,28,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Azerbaijan,122,29,3,1,Local transmission,0,,,,,,,,,,20200327,67
Belarus,86,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Uzbekistan,83,18,0,0,Local transmission,0,,,,,,,,,,20200327,67
Georgia,81,4,0,0,Local transmission,0,,,,,,,,,,20200327,67
Montenegro,67,15,1,0,Local transmission,0,,,,,,,,,,20200327,67
Kyrgyzstan,58,14,0,0,Local transmission,0,,,,,,,,,,20200327,67
Liechtenstein,56,5,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Monaco,19,0,0,0,Local transmission,4,,,,,,,,,,20200327,67
Holy See,4,0,0,0,Under investigation,1,,,,,,,,,,20200327,67
Territories**,,,,,,,,,,,,,,,,20200327,67
Faroe Islands,140,8,0,0,Local transmission,0,,,,,,,,,,20200327,67
Kosovo[1],79,8,1,0,Local transmission,0,,,,,,,,,,20200327,67
Gibraltar,35,9,0,0,Local transmission,0,,,,,,,,,,20200327,67
Guernsey,34,4,0,0,Local transmission,0,,,,,,,,,,20200327,67
Jersey,32,14,1,1,Local transmission,0,,,,,,,,,,20200327,67
Isle of Man,26,3,0,0,Local transmission,0,,,,,,,,,,20200327,67
Greenland,6,1,0,0,Under investigation,0,,,,,,,,,,20200327,67
South-East Asia Region,,,,,,,,,,,,,,,,20200327,67
Thailand,1136,202,5,1,Local transmission,0,,,,,,,,,,20200327,67
Indonesia,893,103,78,20,Local transmission,0,,,,,,,,,,20200327,67
India,724,75,17,4,Local transmission,0,,,,,,,,,,20200327,67
Sri Lanka,106,4,0,0,Local transmission,0,,,,,,,,,,20200327,67
Bangladesh,48,9,5,1,Local transmission,0,,,,,,,,,,20200327,67
Maldives,13,0,0,0,Local transmission,11,,,,,,,,,,20200327,67
Myanmar,5,2,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Bhutan,3,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Nepal,3,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Timor-Leste,1,0,0,0,Imported cases only,6,,,,,,,,,,20200327,67
Eastern Mediterranean Region,,,,,,,,,,,,,,,,20200327,67
"Iran (Islamic Republic 
of)",29406,2389,2234,157,Local transmission,0,,,,,,,,,,20200327,67
Pakistan,1057,0,8,0,Local transmission,1,,,,,,,,,,20200327,67
Saudi Arabia,1012,112,3,1,Local transmission,0,,,,,,,,,,20200327,67
Qatar,549,12,0,0,Local transmission,0,,,,,,,,,,20200327,67
Egypt,495,39,24,3,Local transmission,0,,,,,,,,,,20200327,67
Bahrain,458,39,4,0,Local transmission,0,,,,,,,,,,20200327,67
Iraq,382,36,36,7,Local transmission,0,,,,,,,,,,20200327,67
Lebanon,368,35,6,2,Local transmission,0,,,,,,,,,,20200327,67
United Arab Emirates,333,0,2,0,Local transmission,1,,,,,,,,,,20200327,67
Morocco,275,50,10,4,Local transmission,0,,,,,,,,,,20200327,67
Jordan,212,40,0,0,Local transmission,0,,,,,,,,,,20200327,67
Kuwait,208,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Tunisia,197,24,5,0,Local transmission,0,,,,,,,,,,20200327,67
Oman,109,10,0,0,Local transmission,0,,,,,,,,,,20200327,67
Afghanistan,80,0,2,0,Local transmission,1,,,,,,,,,,20200327,67
Djibouti,12,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Syrian Arab Republic,5,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Somalia,3,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Sudan,3,0,1,0,Imported cases only,2,,,,,,,,,,20200327,67
Libya,1,0,0,0,Imported cases only,2,,,,,,,,,,20200327,67
Territories**,,,,,,,,,,,,,,,,20200327,67
"occupied Palestinian 
84 
20 
1 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,,20200327,67
Region of the Americas,,,,,,,,,,,,,,,,20200327,67
"United States of 
America",68334,4764,991,107,Local transmission,0,,,,,,,,,,20200327,67
Canada,3555,146,35,0,Local transmission,0,,,,,,,,,,20200327,67
Brazil,2433,0,57,0,Local transmission,1,,,,,,,,,,20200327,67
Chile,1306,164,4,1,Local transmission,0,,,,,,,,,,20200327,67
Ecuador,1211,0,29,0,Local transmission,1,,,,,,,,,,20200327,67
Peru,580,100,9,0,Local transmission,0,,,,,,,,,,20200327,67
Panama,558,0,8,0,Local transmission,1,,,,,,,,,,20200327,67
Argentina,502,115,8,2,Local transmission,0,,,,,,,,,,20200327,67
Dominican Republic,488,96,10,0,Local transmission,0,,,,,,,,,,20200327,67
Mexico,478,0,5,0,Local transmission,1,,,,,,,,,,20200327,67
Colombia,470,0,4,0,Local transmission,1,,,,,,,,,,20200327,67
Uruguay,217,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Costa Rica,201,0,2,0,Local transmission,1,,,,,,,,,,20200327,67
"Venezuela (Bolivarian 
Republic of)",91,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Cuba,67,10,1,0,Local transmission,0,,,,,,,,,,20200327,67
Trinidad and Tobago,61,1,1,0,Local transmission,0,,,,,,,,,,20200327,67
Honduras,52,0,1,1,Local transmission,1,,,,,,,,,,20200327,67
Paraguay,41,0,3,0,Local transmission,1,,,,,,,,,,20200327,67
"Bolivia (Plurinational 
State of)",39,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Jamaica,26,0,1,0,Local transmission,1,,,,,,,,,,20200327,67
Guatemala,24,0,1,0,Local transmission,1,,,,,,,,,,20200327,67
Barbados,18,0,0,0,Local transmission,2,,,,,,,,,,20200327,67
El Salvador,13,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Dominica,11,4,0,0,Local transmission,0,,,,,,,,,,20200327,67
Haiti,8,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Grenada,7,6,0,0,Local transmission,0,,,,,,,,,,20200327,67
Suriname,7,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Bahamas,5,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Guyana,5,0,1,0,Local transmission,8,,,,,,,,,,20200327,67
Antigua and Barbuda,3,0,0,0,Imported cases only,2,,,,,,,,,,20200327,67
Saint Lucia,3,0,0,0,Imported cases only,3,,,,,,,,,,20200327,67
Belize,2,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Nicaragua,2,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Saint Kitts and Nevis,2,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,14,,,,,,,,,,20200327,67
Territories**,,,,,,,,,,,,,,,,20200327,67
Guadeloupe,76,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Martinique,66,0,1,0,Imported cases only,1,,,,,,,,,,20200327,67
Puerto Rico,64,13,2,0,Imported cases only,0,,,,,,,,,,20200327,67
French Guiana,28,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Aruba,19,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
"United States Virgin 
Islands",17,0,0,0,Imported cases only,3,,,,,,,,,,20200327,67
Saint Martin,11,0,0,0,Under investigation,1,,,,,,,,,,20200327,67
Cayman Islands,8,0,1,0,Imported cases only,1,,,,,,,,,,20200327,67
Bermuda,7,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Curaçao,7,1,1,0,Imported cases only,0,,,,,,,,,,20200327,67
Saint Barthélemy,3,0,0,0,Under investigation,11,,,,,,,,,,20200327,67
Anguilla,2,2,0,0,Local transmission,0,,,,,,,,,,20200327,67
British Virgin Islands,2,2,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Montserrat,2,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Sint Maarten,2,0,0,0,Imported cases only,3,,,,,,,,,,20200327,67
"Turks and Caicos 
Islands",2,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
African Region,,,,,,,,,,,,,,,,20200327,67
South Africa,927,218,0,0,Local transmission,0,,,,,,,,,,20200327,67
Algeria,305,41,21,4,Local transmission,0,,,,,,,,,,20200327,67
Burkina Faso,146,0,3,0,Local transmission,1,,,,,,,,,,20200327,67
Ghana,132,64,3,1,Local transmission,0,,,,,,,,,,20200327,67
Senegal,105,6,0,0,Local transmission,0,,,,,,,,,,20200327,67
Mauritius,81,34,2,0,Imported cases only,0,,,,,,,,,,20200327,67
Côte d’Ivoire,80,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Cameroon,75,5,1,0,Local transmission,0,,,,,,,,,,20200327,67
Nigeria,65,19,1,0,Local transmission,0,,,,,,,,,,20200327,67
"Democratic Republic 
of the Congo",54,3,4,1,Local transmission,0,,,,,,,,,,20200327,67
Rwanda,50,9,0,0,Local transmission,0,,,,,,,,,,20200327,67
Kenya,25,0,1,1,Local transmission,2,,,,,,,,,,20200327,67
Madagascar,24,5,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Togo,24,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Uganda,14,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
"United Republic of 
Tanzania",13,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Ethiopia,12,0,0,0,Imported cases only,2,,,,,,,,,,20200327,67
Niger,10,8,1,1,Imported cases only,0,,,,,,,,,,20200327,67
Namibia,8,3,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Seychelles,7,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Benin,6,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Equatorial Guinea,6,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Eritrea,6,2,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Eswatini,6,2,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Gabon,6,0,1,0,Imported cases only,4,,,,,,,,,,20200327,67
"Central African 
Republic",5,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Chad,5,2,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Guinea,5,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Mozambique,5,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Congo,4,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Cabo Verde,3,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Liberia,3,0,0,0,Local transmission,5,,,,,,,,,,20200327,67
Mauritania,3,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
Zambia,3,0,0,0,Imported cases only,4,,,,,,,,,,20200327,67
Zimbabwe,3,1,1,0,Imported cases only,0,,,,,,,,,,20200327,67
Angola,2,0,0,0,Imported cases only,5,,,,,,,,,,20200327,67
Gambia,2,0,0,0,Imported cases only,2,,,,,,,,,,20200327,67
Guinea-Bissau,2,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Mali,2,0,0,0,Imported cases only,1,,,,,,,,,,20200327,67
Territories**,,,,,,,,,,,,,,,,20200327,67
Réunion,135,41,0,0,Local transmission,0,,,,,,,,,,20200327,67
Mayotte,50,15,0,0,Local transmission,0,,,,,,,,,,20200327,67
"Subtotal for all 
regions",508452,46484,23328,2501,,,,,,,,,,,,20200327,67
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,11,,,,,,,,,,20200327,67
Grand total,509164,46484,23335,2501,,,,,,,,,,,,20200327,67
,,,,,,,,,,,,,,,,20200327,67
,,,,,,,,,,,,,,,,20200327,67
,,,,,,,,,,,,,,,,20200327,67
