0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
,,,,,,,,"TOTAL 
new 
reports",,,,,,,,20200327,67
"WHO 
Region",12 Feb,21 Feb,28 Feb,5 Mar,12 Mar,19 Mar,26 Mar,,,,,,,,,20200327,67
AFR,1,-,-,-,-,-,"22 (#) 
1 update",23,,,,,,,,20200327,67
AMR,2,-,-,"1* 
5* 
updates",1,"11 
12 updates","6 
17 updates",31,,,,,,,,20200327,67
EMR,1,-,"1* 
1* update",1*,-,"1 
1 update",1,5,,,,,,,,20200327,67
EUR,1,2,"5 (3*) 
1* update",2*,"5 
3 updates","18 
19 updates","6  
20 updates",41,,,,,,,,20200327,67
SEAR,-,-,-,-,-,6,"4 
8 updates",11,,,,,,,,20200327,67
WPR,3,2,"1* 
6* 
updates","- 
8* 
updates","3
 updates","2 
4 updates","8 
12 updates",25,,,,,,,,20200327,67
TOTAL,8,4,7,4,6,38,47,136,,,,,,,,20200327,67
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,,,,20200327,67
Western Pacific Region,,,,,,,,,,,,,,,,20200327,67
China,82078,117,3298,5,Local transmission,0,,,,,,,,,,20200327,67
Republic of Korea,9332,91,139,8,Local transmission,0,,,,,,,,,,20200327,67
Australia,2985,186,13,2,Local transmission,0,,,,,,,,,,20200327,67
Malaysia,2031,235,23,4,Local transmission,0,,,,,,,,,,20200327,67
Japan,1387,96,46,1,Local transmission,0,,,,,,,,,,20200327,67
Philippines,707,71,45,7,Local transmission,0,,,,,,,,,,20200327,67
Singapore,683,52,2,0,Local transmission,0,,,,,,,,,,20200327,67
New Zealand,338,76,0,0,Local transmission,0,,,,,,,,,,20200327,67
Viet Nam,153,12,0,0,Local transmission,0,,,,,,,,,,20200327,67
Brunei Darussalam,114,5,0,0,Local transmission,0,,,,,,,,,,20200327,67
Cambodia,98,2,0,0,Local transmission,0,,,,,,,,,,20200327,67
Mongolia,11,1,0,0,Imported cases only,0,,,,,,,,,,20200327,67
"Lao People's 
Democratic Republic",6,3,0,0,Under investigation,0,,,,,,,,,,20200327,67
Fiji,5,0,0,0,Local transmission,1,,,,,,,,,,20200327,67
Papua New Guinea,1,0,0,0,Imported cases only,6,,,,,,,,,,20200327,67
Territories**,,,,,,,,,,,,,,,,20200327,67
"Guam 
45 
8 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,,20200327,67
"French Polynesia 
30 
5 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,,20200327,67
"New Caledonia 
14 
0 
0 
0 
Local transmission 
1",,,,,,,,,,,,,,,,20200327,67
European Region,,,,,,,,,,,,,,,,20200327,67
Italy,80539,6153,8165,660,Local transmission,0,,,,,,,,,,20200327,67
Spain,56188,8578,4089,655,Local transmission,0,,,,,,,,,,20200327,67
Germany,42288,5780,253,55,Local transmission,0,,,,,,,,,,20200327,67
France,28786,3866,1695,364,Local transmission,0,,,,,,,,,,20200327,67
The United Kingdom,11662,2129,578,115,Local transmission,0,,,,,,,,,,20200327,67
Switzerland,10714,1000,161,58,Local transmission,0,,,,,,,,,,20200327,67
Netherlands,7431,1019,434,78,Local transmission,0,,,,,,,,,,20200327,67
Austria,7029,1141,52,18,Local transmission,0,,,,,,,,,,20200327,67
Belgium,6235,1298,220,42,Local transmission,0,,,,,,,,,,20200327,67
Turkey,3629,1196,75,16,Local transmission,0,,,,,,,,,,20200327,67
Portugal,3544,549,60,17,Local transmission,0,,,,,,,,,,20200327,67
Norway,3156,240,14,2,Local transmission,0,,,,,,,,,,20200327,67
Israel,3035,666,10,5,Local transmission,0,,,,,,,,,,20200327,67
Sweden,2806,296,66,24,Local transmission,0,,,,,,,,,,20200327,67
Czechia,2062,408,9,3,Local transmission,0,,,,,,,,,,20200327,67
Denmark,1877,153,41,7,Local transmission,0,,,,,,,,,,20200327,67
Ireland,1819,255,19,10,Local transmission,0,,,,,,,,,,20200327,67
Luxembourg,1453,120,9,1,Local transmission,0,,,,,,,,,,20200327,67
Poland,1221,170,16,2,Local transmission,0,,,,,,,,,,20200327,67
Russian Federation,1036,196,3,1,Local transmission,0,,,,,,,,,,20200327,67
Romania,1029,123,17,4,Local transmission,0,,,,,,,,,,20200327,67
Finland,958,78,4,1,Local transmission,0,,,,,,,,,,20200327,67
Greece,892,71,26,4,Local transmission,0,,,,,,,,,,20200327,67
Iceland,802,65,2,0,Local transmission,0,,,,,,,,,,20200327,67
Slovenia,577,49,5,1,Local transmission,0,,,,,,,,,,20200327,67
Estonia,538,134,1,0,Local transmission,0,,,,,,,,,,20200327,67
Croatia,495,77,2,1,Local transmission,0,,,,,,,,,,20200327,67
Serbia,457,73,7,3,Local transmission,0,,,,,,,,,,20200327,67
Armenia,329,39,1,1,Local transmission,0,,,,,,,,,,20200327,67
Hungary,300,39,10,0,Local transmission,0,,,,,,,,,,20200327,67
Lithuania,299,25,4,0,Local transmission,0,,,,,,,,,,20200327,67
Bulgaria,264,22,3,0,Local transmission,0,,,,,,,,,,20200327,67
