0,1,2,3,4,5,6,7,8,9,10,date,sitrep
Afghanistan,16,6,0,0,Imported cases only,0,,,,,20200316,56
Jordan,6,5,0,0,Imported cases only,0,,,,,20200316,56
Sudan,1,0,1,1,Imported cases only,1,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
"occupied Palestinian 
38 
0 
0 
0 
Local transmission 
2 
territory",,,,,,,,,,,20200316,56
Region of the Americas,,,,,,,,,,,20200316,56
"United States of 
America",1678,0,41,0,Local transmission,2,,,,,20200316,56
Canada,304,60,1,0,Local transmission,0,,,,,20200316,56
Brazil,200,79,0,0,Local transmission,0,,,,,20200316,56
Chile,75,14,0,0,Local transmission,0,,,,,20200316,56
Peru,71,28,0,0,Local transmission,0,,,,,20200316,56
Argentina,56,11,2,0,Local transmission,0,,,,,20200316,56
Mexico,53,12,0,0,Imported cases only,0,,,,,20200316,56
Panama,43,16,1,0,Local transmission,0,,,,,20200316,56
Ecuador,37,14,2,2,Local transmission,0,,,,,20200316,56
Colombia,24,0,0,0,Local transmission,1,,,,,20200316,56
Costa Rica,23,0,0,0,Local transmission,2,,,,,20200316,56
"Bolivia (Plurinational 
State of)",11,8,0,0,Imported cases only,0,,,,,20200316,56
Jamaica,10,2,0,0,Local transmission,0,,,,,20200316,56
Paraguay,8,2,0,0,Local transmission,0,,,,,20200316,56
Dominican Republic,5,0,0,0,Imported cases only,6,,,,,20200316,56
Cuba,4,0,0,0,Imported cases only,2,,,,,20200316,56
Guyana,4,3,1,0,Local transmission,0,,,,,20200316,56
Uruguay,4,4,0,0,Imported cases only,0,,,,,20200316,56
Honduras,2,0,0,0,Imported cases only,4,,,,,20200316,56
Trinidad and Tobago,2,1,0,0,Imported cases only,0,,,,,20200316,56
"Venezuela (Bolivarian 
Republic of)",2,0,0,0,Imported cases only,2,,,,,20200316,56
Antigua and Barbuda,1,0,0,0,Imported cases only,2,,,,,20200316,56
Guatemala,1,0,1,0,Imported cases only,1,,,,,20200316,56
Saint Lucia,1,0,0,0,Imported cases only,1,,,,,20200316,56
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,3,,,,,20200316,56
Suriname,1,0,0,0,Imported cases only,1,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
Martinique,15,5,0,0,Imported cases only,0,,,,,20200316,56
French Guiana,7,0,0,0,Imported cases only,2,,,,,20200316,56
Guadeloupe,6,3,0,0,Imported cases only,0,,,,,20200316,56
Puerto Rico,3,0,0,0,Imported cases only,2,,,,,20200316,56
Saint Barthelemy,3,2,0,0,Under investigation,0,,,,,20200316,56
Curaçao,2,0,0,0,Imported cases only,1,,,,,20200316,56
Saint Martin,2,0,0,0,Under investigation,13,,,,,20200316,56
Cayman Islands,1,0,1,1,Imported cases only,1,,,,,20200316,56
African Region,,,,,,,,,,,20200316,56
South Africa,51,13,0,0,Local transmission,0,,,,,20200316,56
Algeria,49,12,3,0,Local transmission,0,,,,,20200316,56
Senegal,26,5,0,0,Local transmission,0,,,,,20200316,56
Ghana,6,0,0,0,Imported cases only,1,,,,,20200316,56
Rwanda,5,5,0,0,Local transmission,0,,,,,20200316,56
Burkina Faso,3,0,0,0,Imported cases only,1,,,,,20200316,56
Cameroon,3,0,0,0,Local transmission,1,,,,,20200316,56
Cote d’Ivoire,3,0,0,0,Imported cases only,1,,,,,20200316,56
"Democratic Republic 
of the Congo",2,0,0,0,Imported cases only,2,,,,,20200316,56
Namibia,2,0,0,0,Imported cases only,1,,,,,20200316,56
Nigeria,2,0,0,0,Imported cases only,7,,,,,20200316,56
Seychelles,2,2,0,0,Imported cases only,0,,,,,20200316,56
"Central African 
Republic",1,0,0,0,Imported cases only,1,,,,,20200316,56
Congo,1,0,0,0,Imported cases only,1,,,,,20200316,56
Equatorial Guinea,1,0,0,0,Imported cases only,1,,,,,20200316,56
Eswatini,1,0,0,0,Imported cases only,1,,,,,20200316,56
Ethiopia,1,0,0,0,Imported cases only,2,,,,,20200316,56
Gabon,1,0,0,0,Imported cases only,2,,,,,20200316,56
Guinea,1,0,0,0,Imported cases only,2,,,,,20200316,56
Kenya,1,0,0,0,Imported cases only,2,,,,,20200316,56
Mauritania,1,0,0,0,Imported cases only,1,,,,,20200316,56
Togo,1,0,0,0,Imported cases only,9,,,,,20200316,56
Territories**,,,,,,,,,,,20200316,56
Réunion,9,3,0,0,Imported cases only,0,,,,,20200316,56
Mayotte,1,0,0,0,Imported cases only,1,,,,,20200316,56
"Subtotal for all 
regions",166803,13888,6599,862,,,,,,,20200316,56
"International 
conveyance 
(Diamond Princess)",712,15,7,0,Local transmission,0,,,,,20200316,56
Grand total,167515,13903,6606,862,,,,,,,20200316,56
,,,,,,,,,,,20200316,56
,,,,,,,,,,,20200316,56
,,,,,,,,,,,20200316,56
