0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
"Total (new) 
Total (new) cases 
Total (new) 
cases with 
with possible    or 
cases with site 
Country/Territory/Ar
Confirmed 
Total (new) 
WHO Region  
travel 
confirmed 
of transmission 
ea 
(new) cases  
deaths 
history to 
transmission 
under 
China  
outside of China 
investigation 
Western Pacific Region 
South-East Asia Region 
Region of the Americas 
European Region 
Eastern Mediterranean 
Region",,,,,,,,,,,,,20200205,16
,China*,24363 (3893),,,,491 (66),,,,,,,20200205,16
,Japan,33 (13),20 (3),13 (10),0,0,,,,,,,20200205,16
,Republic of Korea,18 (2),8,7 (2),3,0,,,,,,,20200205,16
,Viet Nam,10 (1),7,3 (1),0,0,,,,,,,20200205,16
,Singapore,24 (6),20 (2),4 (4),0,0,,,,,,,20200205,16
,Australia,13 (1),13 (1),0,0,0,,,,,,,20200205,16
,Malaysia,10,7,2,1,0,,,,,,,20200205,16
,Cambodia,1,1,0,0,0,,,,,,,20200205,16
,Philippines,3 (1),2 (1),0,1,1,,,,,,,20200205,16
,Thailand,25 (6),20 (2),5 (4),0,0,,,,,,,20200205,16
,Nepal,1,1,0,0,0,,,,,,,20200205,16
,Sri Lanka,1,1,0,0,0,,,,,,,20200205,16
,India,3,3,0,0,0,,,,,,,20200205,16
,"United States of 
America",11,8,2,1,0,,,,,,,20200205,16
,Canada,5 (1),3,0,2(1),0,,,,,,,20200205,16
,France,6,5,1,0,0,,,,,,,20200205,16
,Finland,1,1,0,0,0,,,,,,,20200205,16
,Germany,12,2,10,0,0,,,,,,,20200205,16
,Italy,2,2,0,0,0,,,,,,,20200205,16
,Russian Federation,2,2,0,0,0,,,,,,,20200205,16
,Spain,1,0,1,0,0,,,,,,,20200205,16
,Sweden,1,1,0,0,0,,,,,,,20200205,16
,United Kingdom,2,1,1,0,0,,,,,,,20200205,16
,Belgium,1 (1),1 (1),0,0,0,,,,,,,20200205,16
,United Arab Emirates,5,5,0,0,0,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
,,,,,,,,,,,,,20200205,16
