0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,20200220,31
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,20200220,31
Hubei,5917,349,880,108,62031,2029,,,,,,,,,,,,,,,,20200220,31
Guangdong,11346,1,1,0,1332,5,,,,,,,,,,,,,,,,20200220,31
Henan,9605,4,66,0,1265,19,,,,,,,,,,,,,,,,20200220,31
Zhejiang,5737,2,6,0,1175,0,,,,,,,,,,,,,,,,20200220,31
Hunan,6899,2,5,0,1010,4,,,,,,,,,,,,,,,,20200220,31
Anhui,6324,1,0,0,987,6,,,,,,,,,,,,,,,,20200220,31
Jiangxi,4648,1,0,0,934,1,,,,,,,,,,,,,,,,20200220,31
Jiangsu,8051,0,1,0,631,0,,,,,,,,,,,,,,,,20200220,31
Chongqing,3102,5,45,0,560,5,,,,,,,,,,,,,,,,20200220,31
Shandong,10047,2,10,1,546,4,,,,,,,,,,,,,,,,20200220,31
Sichuan,8341,6,21,0,520,3,,,,,,,,,,,,,,,,20200220,31
Heilongjiang,3773,6,4,0,476,12,,,,,,,,,,,,,,,,20200220,31
Beijing,2154,2,25,0,395,4,,,,,,,,,,,,,,,,20200220,31
Shanghai,2424,0,56,1,333,2,,,,,,,,,,,,,,,,20200220,31
Hebei,7556,1,0,1,307,5,,,,,,,,,,,,,,,,20200220,31
Fujian,3941,0,0,1,293,1,,,,,,,,,,,,,,,,20200220,31
Guangxi,4926,1,17,0,245,2,,,,,,,,,,,,,,,,20200220,31
Shaanxi,3864,3,8,1,245,1,,,,,,,,,,,,,,,,20200220,31
Yunnan,4830,0,21,1,172,1,,,,,,,,,,,,,,,,20200220,31
Hainan,934,5,16,0,168,4,,,,,,,,,,,,,,,,20200220,31
Guizhou,3600,0,2,0,146,2,,,,,,,,,,,,,,,,20200220,31
Shanxi,3718,0,1,0,131,0,,,,,,,,,,,,,,,,20200220,31
Tianjin,1560,2,57,0,130,3,,,,,,,,,,,,,,,,20200220,31
Liaoning,4359,0,26,0,121,1,,,,,,,,,,,,,,,,20200220,31
Gansu,2637,1,9,0,91,1,,,,,,,,,,,,,,,,20200220,31
Jilin,2704,0,0,0,91,2,,,,,,,,,,,,,,,,20200220,31
Xinjiang,2487,0,0,0,76,1,,,,,,,,,,,,,,,,20200220,31
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,20200220,31
Ningxia,688,0,0,0,71,0,,,,,,,,,,,,,,,,20200220,31
Hong Kong SAR,745,3,0,1,65,2,,,,,,,,,,,,,,,,20200220,31
Taipei and environs,2359,2,0,0,24,1,,,,,,,,,,,,,,,,20200220,31
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,20200220,31
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,20200220,31
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,20200220,31
Total,142823,399,1277,115,74675,2121,,,,,,,,,,,,,,,,20200220,31
"Country/Territory/
Area","Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,20200220,31
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,20200220,31
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,20200220,31
Republic of Korea,104 (53),13 (0),4 (0),72 (43),15 (10),1 (1),,,,,,,,,,,,,,,,20200220,31
Japan,85 (12),26 (0),5 (2),46 (7),8 (3),1 (0),,,,,,,,,,,,,,,,20200220,31
Singapore,84 (3),23 (0),0 (0),54 (3),7 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Australia,15 (0),12 (0),0 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,20200220,31
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,20200220,31
