0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Iran (Islamic Republic 
of)",19644,1237,1433,149,Local transmission,0,,,,,,20200321,61
Pakistan,461,159,2,0,Imported cases only,0,,,,,,20200321,61
Qatar,460,8,0,0,Local transmission,0,,,,,,20200321,61
Bahrain,285,16,1,0,Local transmission,0,,,,,,20200321,61
Saudi Arabia,274,36,0,0,Local transmission,0,,,,,,20200321,61
Egypt,256,46,7,1,Local transmission,0,,,,,,20200321,61
Iraq,193,16,14,2,Local transmission,0,,,,,,20200321,61
Lebanon,163,14,4,0,Local transmission,0,,,,,,20200321,61
Kuwait,159,11,0,0,Local transmission,0,,,,,,20200321,61
United Arab Emirates,140,0,0,0,Local transmission,1,,,,,,20200321,61
Morocco,74,13,3,1,Local transmission,0,,,,,,20200321,61
Jordan,69,13,0,0,Imported cases only,0,,,,,,20200321,61
Tunisia,54,15,1,1,Local transmission,0,,,,,,20200321,61
Oman,48,9,0,0,Local transmission,0,,,,,,20200321,61
Afghanistan,24,2,0,0,Imported cases only,0,,,,,,20200321,61
Djibouti,1,0,0,0,Under investigation,2,,,,,,20200321,61
Somalia,1,0,0,0,Imported cases only,4,,,,,,20200321,61
Sudan,1,0,1,0,Imported cases only,6,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
"occupied Palestinian 
48 
1 
0 
0 
Local transmission 
0 
territory",,,,,,,,,,,,20200321,61
Region of the Americas,,,,,,,,,,,,20200321,61
"United States of 
America",15219,4777,201,51,Local transmission,0,,,,,,20200321,61
Canada,846,110,9,0,Local transmission,0,,,,,,20200321,61
Brazil,621,193,4,0,Local transmission,0,,,,,,20200321,61
Chile,434,92,0,0,Local transmission,0,,,,,,20200321,61
Ecuador,367,168,5,2,Local transmission,0,,,,,,20200321,61
Peru,234,0,2,2,Local transmission,1,,,,,,20200321,61
Mexico,164,46,1,0,Imported cases only,0,,,,,,20200321,61
Colombia,145,37,0,0,Local transmission,0,,,,,,20200321,61
Panama,137,28,1,0,Local transmission,0,,,,,,20200321,61
Argentina,128,31,3,1,Local transmission,0,,,,,,20200321,61
Costa Rica,113,26,2,1,Local transmission,0,,,,,,20200321,61
Uruguay,94,15,0,0,Imported cases only,0,,,,,,20200321,61
Dominican Republic,72,38,2,0,Local transmission,0,,,,,,20200321,61
"Venezuela (Bolivarian 
Republic of)",36,0,0,0,Imported cases only,2,,,,,,20200321,61
Honduras,24,12,0,0,Imported cases only,0,,,,,,20200321,61
"Bolivia (Plurinational 
State of)",16,1,0,0,Local transmission,0,,,,,,20200321,61
Cuba,16,5,1,0,Imported cases only,0,,,,,,20200321,61
Jamaica,16,1,1,0,Local transmission,0,,,,,,20200321,61
Paraguay,13,2,0,0,Local transmission,0,,,,,,20200321,61
Guatemala,12,3,1,0,Imported cases only,0,,,,,,20200321,61
Trinidad and Tobago,9,0,0,0,Imported cases only,1,,,,,,20200321,61
Barbados,5,3,0,0,Imported cases only,0,,,,,,20200321,61
Guyana,5,0,1,0,Local transmission,2,,,,,,20200321,61
Bahamas,4,1,0,0,Local transmission,0,,,,,,20200321,61
Haiti,2,2,0,0,Imported cases only,0,,,,,,20200321,61
Saint Lucia,2,0,0,0,Imported cases only,5,,,,,,20200321,61
Suriname,2,1,0,0,Imported cases only,0,,,,,,20200321,61
Antigua and Barbuda,1,0,0,0,Imported cases only,7,,,,,,20200321,61
El Salvador,1,0,0,0,Imported cases only,1,,,,,,20200321,61
Nicaragua,1,0,0,0,Imported cases only,1,,,,,,20200321,61
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,7,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
"Guadeloupe 
51 
6 
0 
0 
Imported cases only 
0",,,,,,,,,,,,20200321,61
"Martinique 
32 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,,20200321,61
"French Guiana 
15 
0 
0 
0 
Local transmission 
1",,,,,,,,,,,,20200321,61
Puerto Rico,14,8,0,0,Imported cases only,0,,,,,,20200321,61
Aruba,5,0,0,0,Imported cases only,1,,,,,,20200321,61
Saint Martin,4,0,0,0,Under investigation,2,,,,,,20200321,61
Cayman Islands,3,0,1,0,Imported cases only,1,,,,,,20200321,61
Curaçao,3,0,0,0,Imported cases only,3,,,,,,20200321,61
Saint Barthélemy,3,0,0,0,Under investigation,5,,,,,,20200321,61
"United States Virgin 
Islands",3,0,0,0,Imported cases only,2,,,,,,20200321,61
Bermuda,2,0,0,0,Imported cases only,2,,,,,,20200321,61
Montserrat,1,0,0,0,Imported cases only,2,,,,,,20200321,61
Sint Maarten,1,0,0,0,Imported cases only,2,,,,,,20200321,61
African Region,,,,,,,,,,,,20200321,61
South Africa,205,55,0,0,Local transmission,0,,,,,,20200321,61
Algeria,94,12,10,3,Local transmission,0,,,,,,20200321,61
Burkina Faso,40,0,1,0,Imported cases only,1,,,,,,20200321,61
Senegal,38,0,0,0,Local transmission,1,,,,,,20200321,61
Cameroon,22,7,0,0,Local transmission,0,,,,,,20200321,61
Ghana,16,5,0,0,Local transmission,0,,,,,,20200321,61
"Democratic Republic 
of the Congo",14,0,0,0,Local transmission,1,,,,,,20200321,61
Mauritius,12,5,0,0,Imported cases only,0,,,,,,20200321,61
Nigeria,12,0,0,0,Imported cases only,1,,,,,,20200321,61
Rwanda,11,0,0,0,Local transmission,2,,,,,,20200321,61
Côte d’Ivoire,9,0,0,0,Imported cases only,2,,,,,,20200321,61
Ethiopia,9,0,0,0,Imported cases only,1,,,,,,20200321,61
Togo,9,0,0,0,Imported cases only,1,,,,,,20200321,61
Kenya,7,0,0,0,Local transmission,2,,,,,,20200321,61
Seychelles,6,0,0,0,Imported cases only,2,,,,,,20200321,61
"United Republic of 
Tanzania",6,0,0,0,Imported cases only,1,,,,,,20200321,61
Equatorial Guinea,4,0,0,0,Imported cases only,1,,,,,,20200321,61
Congo,3,0,0,0,Imported cases only,2,,,,,,20200321,61
Gabon,3,0,1,1,Imported cases only,2,,,,,,20200321,61
Namibia,3,0,0,0,Imported cases only,1,,,,,,20200321,61
Benin,2,0,0,0,Imported cases only,1,,,,,,20200321,61
Guinea,2,0,0,0,Imported cases only,1,,,,,,20200321,61
Liberia,2,0,0,0,Local transmission,2,,,,,,20200321,61
Mauritania,2,0,0,0,Imported cases only,2,,,,,,20200321,61
Zambia,2,0,0,0,Imported cases only,2,,,,,,20200321,61
Cabo Verde,1,1,0,0,Imported cases only,0,,,,,,20200321,61
"Central African 
Republic",1,0,0,0,Imported cases only,6,,,,,,20200321,61
Chad,1,0,0,0,Imported cases only,1,,,,,,20200321,61
Eswatini,1,0,0,0,Imported cases only,6,,,,,,20200321,61
Gambia,1,0,0,0,Imported cases only,2,,,,,,20200321,61
Niger,1,0,0,0,Imported cases only,1,,,,,,20200321,61
Zimbabwe,1,1,0,0,Imported cases only,0,,,,,,20200321,61
Territories**,,,,,,,,,,,,20200321,61
Réunion,28,13,0,0,Imported cases only,0,,,,,,20200321,61
Mayotte,4,0,0,0,Imported cases only,1,,,,,,20200321,61
"Subtotal for all 
regions",265361,32000,11176,1343,,,,,,,,20200321,61
"International 
conveyance",712,0,7,0,Local transmission,5,,,,,,20200321,61
,,,,,,,,,,,,20200321,61
,,,,,,,,,,,,20200321,61
,,,,,,,,,,,,20200321,61
